,Unnamed: 0,Number,text,contains_ref,spellchecked_text,normalized_text
103,103,104,"Crushed mint leaves released a sharp, refreshing scent into the air.",True,Crushed mint leaves released a sharp refreshing scent into the air,crush mint leave release sharp refreshing scent air
104,104,105,"The workshop smelled of sawdust, varnish, and years of craftsmanship.",True,The workshop smelled of sawdust varnish and years of craftsmanship,workshop smelled sawdust varnish year craftsmanship
105,105,106,The earthy aroma of mushrooms filled the forager,True,The earthy aroma of mushrooms filled the forager,earthy aroma mushroom fill forager
106,106,107,'92s basket in autumn.,True,'92s basket in autumn,basket autumn
107,107,108,The spicy aroma of turmeric lingered in the simmering curry pot.,True,The spicy aroma of turmeric lingered in the simmering curry pot,spicy aroma turmeric linger simmer curry pot
108,108,109,"A faint, sweet scent of peaches drifted from the orchard.",True,A faint sweet scent of peaches drifted from the orchard,faint sweet scent peach drift orchard
109,109,110,The metallic smell of blood tinged the sterile hospital air.,True,The metallic smell of blood tinged the sterile hospital air,metallic smell blood tinge sterile hospital air
110,110,111,"Autumn leaves crackled underfoot, releasing a woody, smoky fragrance.",True,Autumn leaves crackled underfoot releasing a woody smoky fragrance,autumn leave crackle underfoot release woody smoky fragrance
111,111,112,Warm bread rolls carried the comforting scent of home-cooked meals.,True,Warm bread rolls carried the comforting scent of home-cooked meals,warm bread roll carry comforting scent home cook meal
112,112,113,A pungent odor of rotting seaweed overwhelmed the quiet shoreline.,True,A pungent odor of rotting seaweed overwhelmed the quiet shoreline,pungent odor rot seaweed overwhelm quiet shoreline
113,113,114,The acrid scent of burning hair wafted from the curling iron.,True,The acrid scent of burning hair wafted from the curling iron,acrid scent burn hair waft curl iron
114,114,115,"Ripe bananas filled the kitchen with their soft, sugary fragrance.",True,Ripe bananas filled the kitchen with their soft sugary fragrance,ripe banana fill kitchen soft sugary fragrance
115,115,116,"Sun-drenched hay released a sweet, dry aroma in the fields.",True,Sun-drenched hay released a sweet dry aroma in the fields,sun drench hay release sweet dry aroma field
116,116,117,The fresh scent of mint tea lifted her spirits instantly.,True,The fresh scent of mint tea lifted her spirits instantly,fresh scent mint tea lift spirit instantly
117,117,118,The metallic tang of pennies lingered on his fingertips.,True,The metallic tang of pennies lingered on his fingertips,metallic penny linger fingertip
118,118,119,The perfume of blooming gardenias enveloped the small greenhouse.,True,The perfume of blooming gardenias enveloped the small greenhouse,perfume bloom gardenias envelop small greenhouse
119,119,120,"The sour, tangy smell of yogurt filled the small bowl.",True,The sour tangy smell of yogurt filled the small bowl,sour tangy smell fill small bowl
120,120,121,"Crisp cucumbers exuded a fresh, watery aroma on the chopping board.",True,Crisp cucumbers exuded a fresh watery aroma on the chopping board,crisp cucumber exude fresh watery aroma chopping board
121,121,122,A hint of wet clay mingled with the pottery studio air.,True,A hint of wet clay mingled with the pottery studio air,hint wet clay mingle pottery studio air
122,122,123,"The strong, nutty smell of peanut butter spread through the kitchen.",True,The strong nutty smell of peanut butter spread through the kitchen,strong nutty smell peanut butter spread kitchen
123,123,124,Steamed broccoli carried a sulfurous odor that filled the dining room.,True,Steamed broccoli carried a sulfurous odor that filled the dining room,steamed broccoli carry sulfurous odor fill dining room
124,124,125,A faint hint of sawdust lingered on the carpenter,True,A faint hint of sawdust lingered on the carpenter,faint hint sawdust linger carpenter
125,125,126,'92s workbench.,True,'92s workbench,workbench
126,126,127,"Toasted sesame seeds gave off a warm, nutty fragrance.",True,Toasted sesame seeds gave off a warm nutty fragrance,toasted sesame seed give warm nutty fragrance
127,127,128,"Aged whiskey barrels exuded a rich, smoky aroma in the cellar.",True,Aged whiskey barrels exuded a rich smoky aroma in the cellar,aged whiskey barrel exude rich smoky aroma cellar
128,128,129,The sharp scent of freshly grated ginger tingled her nose.,True,The sharp scent of freshly grated ginger tingled her nose,sharp scent freshly grate ginger tingle nose
129,129,130,Morning coffee mingled with the scent of dew-covered grass outside.,True,Morning coffee mingled with the scent of dew-covered grass outside,morning coffee mingle scent dew cover grass outside
130,130,131,The sulfuric smell of fireworks lingered after the vibrant display.,True,The sulfuric smell of fireworks lingered after the vibrant display,sulfuric smell firework linger vibrant display
131,131,132,Old photographs carried a faint musty smell of aged paper.,True,Old photographs carried a faint musty smell of aged paper,old photograph carry faint musty smell aged paper
132,132,133,"A strong, zesty citrus aroma rose from the cut grapefruit.",True,A strong zesty citrus aroma rose from the cut grapefruit,strong zesty citrus aroma rise cut grapefruit
133,133,134,The faint odor of mothballs clung to the antique clothes chest.,True,The faint odor of mothballs clung to the antique clothes chest,faint odor mothball cling antique clothe chest
134,134,135,"Chopped onions filled the air with a sharp, pungent scent.",True,Chopped onions filled the air with a sharp pungent scent,chop onion fill air sharp pungent scent
135,135,136,"A rich, earthy scent of truffles wafted from the gourmet dish.",True,A rich earthy scent of truffles wafted from the gourmet dish,rich earthy scent truffle waft gourmet dish
136,136,137,The warm smell of baking pies welcomed guests into the house.,True,The warm smell of baking pies welcomed guests into the house,warm smell bake pie welcome guest house
137,137,138,A faint smell of roses clung to the vintage perfume bottle.,True,A faint smell of roses clung to the vintage perfume bottle,faint smell rose cling vintage perfume bottle
138,138,139,"The rich, buttery aroma of croissants enveloped the busy caf",True,The rich buttery aroma of croissants enveloped the busy can,rich buttery aroma croissant envelop busy
139,139,140,'e9.,True,'e9.,
140,140,141,"Burnt matches left a fleeting, acrid odor in the kitchen.",True,Burnt matches left a fleeting acrid odor in the kitchen,burn match leave fleeting acrid odor kitchen
141,141,142,"A floral, powdery scent rose from the freshly ironed linens.",True,A floral powdery scent rose from the freshly ironed linens,floral powdery scent rise freshly iron linen
142,142,143,Stale cigarette smoke clung stubbornly to the heavy velvet curtains.,True,Stale cigarette smoke clung stubbornly to the heavy velvet curtains,stale cigarette smoke cling stubbornly heavy velvet curtain
143,143,144,"Fresh rosemary exuded a piney, herbal scent in the bright kitchen.",True,Fresh rosemary exuded a piney herbal scent in the bright kitchen,fresh rosemary exude piney herbal scent bright kitchen
144,144,145,The sour smell of fermenting grapes filled the winery's cellar.,True,The sour smell of fermenting grapes filled the winery's cellar,sour smell ferment grape fill winery cellar
145,145,146,The faint odor of old leather wafted from the vintage armchair.,True,The faint odor of old leather wafted from the vintage armchair,faint odor old leather waft vintage armchair
146,146,147,The smoky aroma of grilled meat filled the outdoor patio.,True,The smoky aroma of grilled meat filled the outdoor patio,smoky aroma grill meat fill outdoor patio
147,147,148,The acrid smell of melting plastic rose from the broken appliance.,True,The acrid smell of melting plastic rose from the broken appliance,acrid smell melt plastic rise broken appliance
148,148,149,The scent of fresh basil filled the garden after watering.,True,The scent of fresh basil filled the garden after watering,scent fresh basil fill garden water
149,149,150,"Warm cinnamon rolls carried their sweet, spiced aroma into the hallway.",True,Warm cinnamon rolls carried their sweet spiced aroma into the hallway,warm cinnamon roll carry sweet spiced aroma hallway
150,150,151,"Damp wool socks carried an earthy, musty smell after the hike.",True,Damp wool socks carried an earthy musty smell after the hike,damp wool sock carry earthy musty smell hike
151,151,152,A faint floral sweetness clung to the bouquet of chrysanthemums.,True,A faint floral sweetness clung to the bouquet of chrysanthemums,faint floral sweetness cling bouquet chrysanthemum
152,152,153,"The sharp, bracing smell of rubbing alcohol filled the exam room.",True,The sharp bracing smell of rubbing alcohol filled the exam room,sharp brace smell rub alcohol fill exam room
153,153,154,"Steamed dumplings released a savory, umami-rich aroma into the dining area.",True,Steamed dumplings released a savory umami-rich aroma into the dining area,steamed dumpling release savory umami rich aroma dining area
154,154,155,"The rich, oily scent of fried fish filled the tiny diner.",True,The rich oily scent of fried fish filled the tiny diner,rich oily scent fry fish fill tiny diner
155,155,156,A faint metallic scent accompanied the cool steel of the elevator.,True,A faint metallic scent accompanied the cool steel of the elevator,faint metallic scent accompany cool steel elevator
156,156,157,"Smoked paprika added a bold, spicy fragrance to the simmering stew.",True,Smoked paprika added a bold spicy fragrance to the simmering stew,smoke paprika add bold spicy fragrance simmer stew
157,157,158,"Old bookshelves carried the woody, papery scent of forgotten stories.",True,Old bookshelves carried the woody papery scent of forgotten stories,old bookshelf carry woody papery scent forget story
158,158,159,"The briny, salty scent of oysters rose from the plate.",True,The briny salty scent of oysters rose from the plate,briny salty scent oyster rise plate
159,159,160,The earthy scent of freshly tilled soil filled the garden.,True,The earthy scent of freshly tilled soil filled the garden,earthy scent freshly till soil fill garden
160,160,161,Sweet vanilla extract gave the cake batter a comforting aroma.,True,Sweet vanilla extract gave the cake batter a comforting aroma,sweet vanilla extract give cake batter comforting aroma
161,161,162,The air smelled of wet pavement after the afternoon rainstorm.,True,The air smelled of wet pavement after the afternoon rainstorm,air smell wet pavement afternoon rainstorm
162,162,163,The musty odor of damp shoes lingered in the entryway.,True,The musty odor of damp shoes lingered in the entryway,musty odor damp shoe linger entryway
163,163,164,"A soft, floral perfume clung to her silk scarf.",True,A soft floral perfume clung to her silk scarf,soft floral perfume cling silk scarf
164,164,165,The bitter scent of espresso filled the bustling coffee shop.,True,The bitter scent of espresso filled the bustling coffee shop,bitter scent espresso fill bustling coffee shop
165,165,166,A faint hint of cedarwood came from the antique chest.,True,A faint hint of cedarwood came from the antique chest,faint hint cedarwood come chest
166,166,167,The sharp smell of freshly peeled oranges lifted her mood.,True,The sharp smell of freshly peeled oranges lifted her mood,sharp smell freshly peel orange lift mood
167,167,168,"The barnyard carried a strong, pungent odor of livestock and hay.",True,The barnyard carried a strong pungent odor of livestock and hay,barnyard carry strong pungent odor livestock hay
168,168,169,A faint smoky smell wafted from the distant forest fire.,True,A faint smoky smell wafted from the distant forest fire,faint smoky smell waft distant forest fire
169,169,170,The zesty aroma of lime zest brightened the tropical cocktail.,True,The zesty aroma of lime zest brightened the tropical cocktail,zesty aroma lime zest brighten tropical cocktail
170,170,171,A whiff of chlorine reminded her of summer days at the pool.,True,A whiff of chlorine reminded her of summer days at the pool,whiff chlorine remind summer day pool
171,171,172,"The oily, metallic scent of machinery filled the factory floor.",True,The oily metallic scent of machinery filled the factory floor,oily metallic scent machinery fill factory floor
172,172,173,"Freshly picked lavender released a calming, herbal fragrance in her hands.",True,Freshly picked lavender released a calming herbal fragrance in her hands,freshly pick lavender release calm herbal fragrance hand
173,173,174,A faint odor of sulfur rose from the natural hot spring.,True,A faint odor of sulfur rose from the natural hot spring,faint odor sulfur rise natural hot spring
174,174,175,"The warm, yeasty smell of fresh bagels filled the bakery.",True,The warm yeasty smell of fresh bagels filled the bakery,warm yeasty smell fresh bagel fill bakery
175,175,176,The heady perfume of blooming jasmine hung in the twilight air.,True,The heady perfume of blooming jasmine hung in the twilight air,heady perfume bloom jasmine hang air
176,176,177,A faintly sweet smell of honey lingered in the bee farm.,True,A faintly sweet smell of honey lingered in the bee farm,faintly sweet smell honey linger farm
177,177,178,"The sharp, bitter tang of grapefruit lingered on her fingertips.",True,The sharp bitter tang of grapefruit lingered on her fingertips,sharp bitter tang grapefruit linger fingertip
178,178,179,"The kitchen smelled of sage, thyme, and roasting chicken.",True,The kitchen smelled of sage thyme and roasting chicken,kitchen smelled sage thyme roast chicken
179,179,180,The acrid stench of burnt toast filled the tiny apartment.,True,The acrid stench of burnt toast filled the tiny apartment,acrid stench burn toast fill tiny apartment
180,180,181,"A sweet, tropical pineapple aroma wafted from the fruit salad.",True,A sweet tropical pineapple aroma wafted from the fruit salad,sweet tropical pineapple aroma waft fruit salad
181,181,182,The warm smell of beeswax candles filled the dimly lit chapel.,True,The warm smell of beeswax candles filled the dimly lit chapel,warm smell beeswax candle fill dimly light chapel
182,182,183,The sharp scent of vinegar filled the air in the pickling workshop.,True,The sharp scent of vinegar filled the air in the pickling workshop,sharp scent vinegar fill air pickling workshop
183,183,184,"A faint, earthy smell of moss rose from the forest trail.",True,A faint earthy smell of moss rose from the forest trail,faint earthy smell moss rise forest trail
184,184,185,"The sweet, sugary aroma of caramelized apples filled the air.",True,The sweet sugary aroma of caramelized apples filled the air,sweet sugary aroma caramelize apple fill air
185,185,186,The tangy smell of barbecue sauce lingered after the cookout.,True,The tangy smell of barbecue sauce lingered after the cookout,tangy smell barbecue sauce linger cookout
186,186,187,Freshly brewed herbal tea carried the soothing scent of chamomile.,True,Freshly brewed herbal tea carried the soothing scent of chamomile,freshly brew herbal tea carry soothing scent chamomile
187,187,188,The smell of wet paint was strong in the renovated room.,True,The smell of wet paint was strong in the renovated room,smell wet paint strong renovate room
188,188,189,"A light, airy floral scent came from the blooming tulips.",True,A light airy floral scent came from the blooming tulips,light airy floral scent come bloom tulip
189,189,190,The musty smell of an old attic filled the abandoned house.,True,The musty smell of an old attic filled the abandoned house,musty smell old attic fill abandon house
190,190,191,"Crushed coriander seeds released a citrusy, spicy aroma in the grinder.",True,Crushed coriander seeds released a citrus spicy aroma in the grinder,crush coriander seed release citrus spicy aroma grinder
191,191,192,"The rich, buttery fragrance of popcorn filled the movie theater.",True,The rich buttery fragrance of popcorn filled the movie theater,rich buttery fragrance popcorn fill movie theater
192,192,193,"A faint, minty scent of toothpaste clung to the bathroom air.",True,A faint minty scent of toothpaste clung to the bathroom air,faint minty scent toothpaste cling bathroom air
193,193,194,The acrid odor of fireworks hung in the smoky night.,True,The acrid odor of fireworks hung in the smoky night,acrid odor firework hang smoky night
194,194,195,A faint vanilla bean aroma infused the custard with sweetness.,True,A faint vanilla bean aroma infused the custard with sweetness,faint vanilla bean aroma infuse custard sweetness
