,clean_sentence,clean_token,ref_type,original_ref_type
380,honeycomb fresh cut smell rich sweet,honeycomb smell sweet  ,Olfactive,Quality
316,maple bacon fry kitchen send sweet smoky scent,bacon smoky sweet scent  ,Olfactive,Quality
76,sweet milky scent coconut oil linger skin,coconut scent sweet  ,Olfactive,Quality
527,autumn leaf pile burn sharp smoke smell,burn leaf sharp smoke  ,Olfactive,Quality
568,walnut crack shell release woody nutty aroma,aroma nutty walnut woody  ,Olfactive,Quality
30,burn sugar leave bitter smell small kitchen,bitter smell  ,Olfactive,Quality
73,sweet strawberry peak ripeness release juicy sugary fragrance,fragrance sweet  ,Olfactive,Quality
163,banana peel sit sun emit sour odor,banana odor sour  ,Olfactive,Quality
361,egg salad sandwich emit sulfur smell,sulfur smell  ,Olfactive,Quality
420,frying bacon fill room mouthwatering scent,bacon scent  ,Olfactive,Quality
572,fridge whiff stale meat onion linger,meat onion stale whiff  ,Olfactive,Quality
39,steamed rice release neutral soft smell simple comfort,smell  ,Olfactive,Quality
408,fridge emit faint onion fish smell,fish onion smell  ,Olfactive,Quality
208,curry simmer pot fill room exotic spicy aroma,aroma curry spicy  ,Olfactive,Quality
554,garlic crush paste give strong aroma,aroma garlic strong  ,Olfactive,Quality
81,earthy decay vegetation scent,earthy scent  ,Olfactive,Quality
356,mint leaf tea cup release crisp scent,crisp mint scent  ,Olfactive,Quality
499,simmer broth carry garlic lemongrass aroma,aroma broth garlic lemongrass  ,Olfactive,Quality
60,delicate scent lilac remind spring morning,scent  ,Olfactive,Quality
78,aromatic clove give cider festive spicy fragrance,clove fragrance spicy  ,Olfactive,Quality
228,burn marshmallow give sugary charred smell,charred smell sugary  ,Olfactive,Quality
274,whiff manure drift wind farm,manure whiff  ,Olfactive,Quality
