,phrases,identified_terms,positive_negative,positive_terms
18,Morning dew carried the faint scent of blooming roses.\,"['Morning', 'dew', 'blooming', 'roses.\\', 'scent']",1.0,
19,"The spicy, earthy aroma of cinnamon filled the cozy caf\'e9.\","['spicy,', 'earthy', 'aroma', 'cinnamon', ""caf\\'e9.\\""]",1.0,
20,A hint of chlorine wafted from the sparkling blue pool.\,"['chlorine', 'pool.\\']",1.0,
21,"Freshly cut grass brought a bright, lively smell to summer.\","['Freshly', 'cut', 'grass', 'lively', 'smell']",1.0,
22,The scent of freshly sharpened pencils filled the quiet classroom.\,"['freshly', 'sharpened', 'pencils']",1.0,
23,Heavily spiced incense clouded the temple with its warm fragrance.\,"['spiced', 'incense', 'temple', 'fragrance.\\']",1.0,
24,The bakery's yeasty aroma tempted passersby with its comforting familiarity.\,"[""bakery's"", 'yeasty', 'aroma', 'passersby']",1.0,
25,The acrid scent of sulfur followed the striking of the match.\,"['acrid', 'scent', 'sulfur', 'match.\\']",1.0,
26,"Old leather-bound books released a nostalgic, woody smell of history.\","['leather-bound', 'books', 'woody', 'smell']",1.0,
27,"Warm asphalt after rain exuded a rich, mineral-like scent.\","['Warm', 'asphalt', 'rain', 'rich,', 'mineral-like']",1.0,
28,A faint floral perfume clung to the note in the envelope.\,"['floral', 'perfume', 'envelope.\\']",1.0,
29,Burnt sugar left a bitter after-smell in the small kitchen.\,"['Burnt', 'sugar', 'bitter', 'after-smell', 'kitchen.\\']",1.0,
30,Honey's golden sweetness perfumed the jar as the lid opened.\,"[""Honey's"", 'sweetness', 'perfumed', 'jar']",1.0,
31,"The forest smelled like damp moss, fallen leaves, and freedom.\","['forest', 'smelled', 'damp', 'moss,', 'leaves,', 'freedom.\\']",1.0,
32,"Laundry dried on the line carried fresh, sunlit air.\","['Laundry', 'fresh,']",1.0,
33,The cloying smell of cheap cologne lingered in the crowded elevator.\,"['cloying', 'smell', 'cheap', 'cologne', 'elevator.\\']",1.0,
34,"Smoke curled from the candle, leaving a faint, burnt odor.\","['Smoke', 'candle,', 'faint,', 'burnt', 'odor.\\']",1.0,
35,Freshly painted walls gave off a chemical but clean scent.\,"['Freshly', 'painted', 'walls', 'chemical', 'clean', 'scent.\\']",1.0,
36,A faint fishy aroma rose from the market's icy stalls.\,"['faint', 'fishy', 'aroma', ""market's"", 'icy', 'stalls.\\']",1.0,
37,Blossoming citrus trees enveloped the orchard in their zesty perfume.\,"['Blossoming', 'citrus', 'trees', 'orchard', 'zesty', 'perfume.\\']",1.0,
38,"Steamed rice released a neutral, soft smell of simple comfort.\","['Steamed', 'rice', 'neutral,', 'soft', 'smell', 'comfort.\\']",1.0,
39,Autumn carried woodsy notes of fallen acorns and crisp leaves.\,"['Autumn', 'woodsy', 'fallen', 'acorns', 'crisp', 'leaves.\\']",1.0,
40,"Peppermint oil tickled the senses with its sharp, cooling aroma.\","['Peppermint', 'oil', 'senses', 'sharp,', 'cooling', 'aroma.\\']",1.0,
41,"The old house smelled of mildew, history, and forgotten time.\","['old', 'house', 'smelled', 'mildew,', 'history,', 'forgotten', 'time.\\']",1.0,
42,Campfire smoke clung to clothes with a nostalgic outdoor scent.\,"['Campfire', 'smoke', 'clothes', 'outdoor', 'nostalgic', 'scent.\\']",1.0,
43,The pungent odor of blue cheese dominated the charcuterie platter.\,"['pungent', 'odor', 'blue', 'cheese', 'charcuterie']",1.0,
44,A hint of lavender calmed the air in the bedroom.\,"['hint', 'lavender', 'air', 'bedroom.\\']",1.0,
45,Faint whiffs of tar and saltwater defined the harbor\'92s atmosphere.\,"['Faint', 'whiffs', 'tar', 'saltwater', 'atmosphere.\\', ""harbor\\'92s""]",1.0,
46,"Sizzling bacon filled the room with a savory, irresistible aroma.\","['Sizzling', 'bacon', 'room', 'savory,', 'irresistible', 'aroma.\\']",1.0,
47,The smell of wet dog after the rain was overwhelming.\,"['smell', 'wet', 'dog', 'rain', 'overwhelming.\\']",1.0,
48,"Crisp apples at the orchard carried their fresh, tangy scent.\","['Crisp', 'apples', 'orchard', 'fresh,', 'tangy', 'scent.\\']",1.0,
49,Perfumed soap left a lingering floral trail on her hands.\,"['Perfumed', 'soap', 'lingering', 'floral', 'hands.\\']",1.0,
50,The sweet scent of wild honeysuckle intertwined with the humid air.\,"['sweet', 'scent', 'wild', 'honeysuckle', 'humid', 'air.\\']",1.0,
51,Charred wood from the bonfire lingered faintly in the clearing.\,"['Charred', 'wood', 'bonfire', 'faintly', 'clearing.\\']",1.0,
52,The pungent aroma of vinegar pickles wafted from the jar.\,"['pungent', 'aroma', 'vinegar', 'pickles', 'jar.\\']",1.0,
53,"A breeze carried the sharp, mineral scent of the mountains.\","['breeze', 'sharp,', 'mineral', 'scent', 'mountains.\\']",1.0,
54,"Freshly brewed coffee released a rich, nutty, and comforting fragrance.\","['Freshly', 'brewed', 'coffee', 'rich,', 'nutty,', 'comforting', 'fragrance.\\']",1.0,
55,The sharp bite of ammonia stung my nostrils in the lab.\,"['sharp', 'bite', 'ammonia', 'stung', 'lab.\\']",1.0,
56,A faint metallic odor clung to the rusty iron gate.\,"['faint', 'metallic', 'odor', 'rusty', 'iron', 'gate.\\']",1.0,
57,"Damp pages of the ancient book exuded a musty, earthy smell.\","['Damp', 'pages', 'ancient', 'book', 'musty,', 'earthy', 'smell.\\']",1.0,
58,The delicate scent of lilacs reminded her of spring mornings.\,"['delicate', 'scent', 'lilacs', 'spring', 'mornings.\\']",1.0,
59,Burnt rubber filled the air after the car screeched to a stop.\,"['Burnt', 'rubber', 'air', 'car']",1.0,
60,The tropical sweetness of ripe mangoes perfumed the farmer\'92s market stall.\,"['tropical', 'sweetness', 'ripe', 'mangoes', 'perfumed', ""farmer\\'92s"", 'market', 'stall.\\']",1.0,
61,A salty tang accompanied the scent of drying fish on the docks.\,"['salty', 'tang', 'scent', 'drying', 'fish', 'docks.\\']",1.0,
62,"Baking chocolate chip cookies filled the kitchen with warm, sugary notes.\","['Baking', 'chocolate', 'chip', 'cookies', 'kitchen', 'warm,', 'sugary', 'notes.\\']",1.0,
63,"Morning frost carried the crisp, clean smell of impending winter.\","['Morning', 'frost', 'crisp,', 'clean', 'smell', 'winter.\\']",1.0,
64,A bouquet of lilies filled the room with a heady perfume.\,"['bouquet', 'lilies', 'room', 'heady', 'perfume.\\']",1.0,
65,"The harsh, acrid smell of smoke signaled a distant fire.\","['harsh,', 'acrid', 'smell', 'smoke', 'distant', 'fire.\\']",1.0,
66,The sharp tang of lemon zest brightened the kitchen's aroma.\,"['sharp', 'tang', 'lemon', 'zest', ""kitchen's"", 'aroma.\\']",1.0,
67,"The earthy, bitter smell of coffee beans lingered in the caf\'e9.\","['earthy,', 'bitter', 'smell', 'coffee', 'beans', ""caf\\'e9.\\""]",1.0,
68,"Fresh paint had a sharp, chemical tang in the closed room.\","['Fresh', 'paint', 'sharp,', 'chemical', 'tang', 'closed', 'room.\\']",1.0,
69,"Sweet strawberries at peak ripeness released their juicy, sugary fragrance.\","['Sweet', 'strawberries', 'peak', 'ripeness', 'released', 'juicy,', 'sugary', 'fragrance.\\']",1.0,
70,A faint whiff of gasoline came from the recently parked car.\,"['faint', 'whiff', 'gasoline', 'parked', 'car.\\']",1.0,
71,"Burning incense filled the temple with its rich, spicy smoke.\","['Burning', 'incense', 'temple', 'smoke.\\']",1.0,
72,"The sweet, milky scent of coconut oil lingered on her skin.\","['sweet,', 'milky', 'scent', 'coconut', 'oil', 'her', 'skin.\\']",1.0,
73,"The barn smelled of hay, leather, and the warm scent of animals.\","['barn', 'smelled', 'hay,', 'leather,', 'warm', 'scent', 'animals.\\']",1.0,
74,"Aromatic cloves gave the cider a festive, spicy fragrance.\","['Aromatic', 'cloves', 'cider', 'festive,', 'spicy', 'fragrance.\\']",1.0,
75,Clean linens smelled faintly of lavender and sunlight after washing.\,"['Clean', 'linens', 'smelled', 'faintly', 'lavender', 'sunlight', 'washing.\\']",1.0,
76,"The humid air carried the swamp\'92s earthy, decaying vegetation scent.\","['humid', 'air', ""swamp\\'92s"", 'earthy,', 'decaying', 'vegetation', 'scent.\\']",1.0,
77,"Ripe tomatoes at the stand smelled earthy, fresh, and tangy.\","['Ripe', 'tomatoes', 'stand', 'smelled', 'earthy,', 'fresh,', 'tangy.\\']",1.0,
78,"The sharp, peppery aroma of arugula filled the garden in spring.\","['sharp,', 'peppery', 'aroma', 'arugula', 'garden', 'spring.\\']",1.0,
79,"Melted chocolate gave off its irresistible, sweet, and creamy perfume.\","['Melted', 'chocolate', 'irresistible,', 'sweet,', 'creamy', 'perfume.\\']",1.0,
80,The wet dog smell filled the car after the beach trip.\,"['wet', 'dog', 'smell', 'car', 'beach']",1.0,
81,A faint smell of ozone hung in the air after lightning.\,"['faint', 'smell', 'air', 'lightning.\\']",1.0,
82,Hot asphalt carried the smell of summer heat and city life.\,"['Hot', 'asphalt', 'smell', 'summer', 'heat', 'city', 'life.\\']",1.0,
83,"The laundry smelled of detergent, fresh air, and faint lavender.\","['laundry', 'smelled', 'detergent,', 'fresh', 'air,', 'faint', 'lavender.\\']",1.0,
84,The overwhelming stench of spoiled milk filled the kitchen.\,"['overwhelming', 'stench', 'spoiled', 'milk', 'kitchen.\\']",1.0,
85,"Eucalyptus leaves gave the sauna its soothing, herbal fragrance.\","['Eucalyptus', 'leaves', 'sauna', 'soothing,', 'herbal', 'fragrance.\\']",1.0,
86,The salty smell of pretzels wafted through the bustling street fair.\,"['salty', 'smell', 'pretzels', 'street', 'fair.\\']",1.0,
87,A faint sulfurous odor hinted at the nearby hot springs.\,"['faint', 'sulfurous', 'odor', 'hot', 'springs.\\']",1.0,
88,"Freshly grated nutmeg gave the pie its warm, spicy aroma.\","['Freshly', 'grated', 'nutmeg', 'pie', 'warm,', 'spicy', 'aroma.\\']",1.0,
89,"New leather boots carried their distinct, polished smell into the house.\","['leather', 'boots', 'polished', 'smell', 'distinct,', 'house.\\']",1.0,
90,The barn\'92s musty scent was mixed with hay and manure.\,"[""barn\\'92s"", 'musty', 'scent', 'hay', 'manure.\\']",1.0,
91,A faint fruity aroma came from the fermenting wine barrels.\,"['faint', 'fruity', 'aroma', 'fermenting', 'wine', 'barrels.\\']",1.0,
92,"The soft, powdery smell of baby lotion clung to the nursery.\","['soft,', 'powdery', 'smell', 'baby', 'lotion', 'nursery.\\']",1.0,
93,"The forest floor smelled damp, rich, and alive after the rain.\","['forest', 'floor', 'smelled', 'damp,', 'rich,', 'alive']",1.0,
94,A hint of cinnamon and cloves lingered in the holiday air.\,"['hint', 'cinnamon', 'cloves', 'lingered', 'air.\\']",1.0,
95,"Ocean spray carried the salty, briny scent of distant waves.\","['spray', 'salty,', 'briny', 'scent', 'distant', 'waves.\\']",1.0,
96,The sharp odor of bleach filled the freshly cleaned bathroom.\,"['sharp', 'odor', 'bleach', 'bathroom.\\']",1.0,
97,"Crushed mint leaves released a sharp, refreshing scent into the air.\","['Crushed', 'mint', 'leaves', 'released', 'sharp,', 'refreshing', 'scent', 'air.\\']",1.0,
98,"The workshop smelled of sawdust, varnish, and years of craftsmanship.\","['workshop', 'smelled', 'sawdust,', 'varnish,', 'years', 'craftsmanship.\\']",1.0,
99,The earthy aroma of mushrooms filled the forager\'92s basket in autumn.\,"['earthy', 'aroma', 'mushrooms', ""forager\\'92s"", 'basket', 'autumn.\\']",1.0,
100,The spicy aroma of turmeric lingered in the simmering curry pot.\,"['spicy', 'aroma', 'turmeric', 'curry', 'pot.\\']",1.0,
101,"A faint, sweet scent of peaches drifted from the orchard.\","['faint,', 'sweet', 'scent', 'peaches', 'orchard.\\']",1.0,
102,The metallic smell of blood tinged the sterile hospital air.\,"['metallic', 'smell', 'blood', 'sterile', 'hospital', 'air.\\']",1.0,
103,"Autumn leaves crackled underfoot, releasing a woody, smoky fragrance.\","['Autumn', 'leaves', 'woody,', 'smoky', 'fragrance.\\']",1.0,
104,Warm bread rolls carried the comforting scent of home-cooked meals.\,"['Warm', 'bread', 'rolls', 'comforting', 'scent', 'home-cooked', 'meals.\\']",1.0,
105,A pungent odor of rotting seaweed overwhelmed the quiet shoreline.\,"['pungent', 'odor', 'rotting', 'seaweed', 'overwhelmed', 'shoreline.\\']",1.0,
106,The acrid scent of burning hair wafted from the curling iron.\,"['acrid', 'scent', 'burning', 'hair', 'curling', 'iron.\\']",1.0,
107,"Ripe bananas filled the kitchen with their soft, sugary fragrance.\","['Ripe', 'bananas', 'kitchen', 'soft,', 'sugary', 'fragrance.\\']",1.0,
108,"Sun-drenched hay released a sweet, dry aroma in the fields.\","['Sun-drenched', 'hay', 'sweet,', 'dry', 'aroma', 'fields.\\']",1.0,
109,The fresh scent of mint tea lifted her spirits instantly.\,"['fresh', 'scent', 'mint', 'tea']",1.0,
110,The metallic tang of pennies lingered on his fingertips.\,"['metallic', 'tang', 'pennies', 'fingertips.\\']",1.0,
111,The perfume of blooming gardenias enveloped the small greenhouse.\,"['perfume', 'blooming', 'gardenias', 'small', 'greenhouse.\\']",1.0,
112,"The sour, tangy smell of yogurt filled the small bowl.\","['sour,', 'tangy', 'smell', 'yogurt', 'small', 'bowl.\\']",1.0,
113,"Crisp cucumbers exuded a fresh, watery aroma on the chopping board.\","['Crisp', 'cucumbers', 'fresh,', 'watery', 'aroma']",1.0,
114,A hint of wet clay mingled with the pottery studio air.\,"['hint', 'wet', 'clay', 'mingled', 'pottery', 'studio', 'air.\\']",1.0,
115,"The strong, nutty smell of peanut butter spread through the kitchen.\","['strong,', 'nutty', 'smell', 'peanut', 'butter', 'kitchen.\\']",1.0,
116,Steamed broccoli carried a sulfurous odor that filled the dining room.\,"['Steamed', 'broccoli', 'sulfurous', 'odor', 'dining', 'room.\\']",1.0,
117,A faint hint of sawdust lingered on the carpenter\'92s workbench.\,"['faint', 'hint', 'sawdust', ""carpenter\\'92s"", 'workbench.\\']",1.0,
118,"Toasted sesame seeds gave off a warm, nutty fragrance.\","['Toasted', 'sesame', 'seeds', 'warm,', 'nutty', 'fragrance.\\']",1.0,
119,"Aged whiskey barrels exuded a rich, smoky aroma in the cellar.\","['Aged', 'whiskey', 'barrels', 'rich,', 'smoky', 'aroma', 'cellar.\\']",1.0,
120,The sharp scent of freshly grated ginger tingled her nose.\,"['sharp', 'scent', 'freshly', 'grated', 'ginger', 'nose.\\']",1.0,
121,Morning coffee mingled with the scent of dew-covered grass outside.\,"['coffee', 'scent', 'dew-covered', 'grass', 'outside.\\']",1.0,
122,The sulfuric smell of fireworks lingered after the vibrant display.\,"['sulfuric', 'smell', 'fireworks']",1.0,
123,Old photographs carried a faint musty smell of aged paper.\,"['Old', 'photographs', 'faint', 'musty', 'smell', 'aged', 'paper.\\']",1.0,
124,"A strong, zesty citrus aroma rose from the cut grapefruit.\","['strong,', 'zesty', 'citrus', 'aroma', 'cut', 'grapefruit.\\']",1.0,
125,The faint odor of mothballs clung to the antique clothes chest.\,"['faint', 'odor', 'mothballs', 'antique', 'clothes', 'chest.\\']",1.0,
126,"Chopped onions filled the air with a sharp, pungent scent.\","['Chopped', 'onions', 'air', 'sharp,', 'pungent', 'scent.\\']",1.0,
127,"A rich, earthy scent of truffles wafted from the gourmet dish.\","['rich,', 'earthy', 'scent', 'truffles', 'gourmet', 'dish.\\']",1.0,
128,The warm smell of baking pies welcomed guests into the house.\,"['warm', 'smell', 'baking', 'pies', 'house.\\']",1.0,
129,A faint smell of roses clung to the vintage perfume bottle.\,"['faint', 'smell', 'roses', 'vintage', 'perfume', 'bottle.\\']",1.0,
130,"The rich, buttery aroma of croissants enveloped the busy caf\'e9.\","['buttery', 'aroma', 'croissants', ""caf\\'e9.\\""]",1.0,
131,"Burnt matches left a fleeting, acrid odor in the kitchen.\","['Burnt', 'matches', 'fleeting,', 'acrid', 'odor', 'kitchen.\\']",1.0,
132,"A floral, powdery scent rose from the freshly ironed linens.\","['floral,', 'powdery', 'scent', 'freshly', 'ironed', 'linens.\\']",1.0,
133,Stale cigarette smoke clung stubbornly to the heavy velvet curtains.\,"['Stale', 'cigarette', 'smoke', 'velvet', 'curtains.\\']",1.0,
134,"Fresh rosemary exuded a piney, herbal scent in the bright kitchen.\","['Fresh', 'rosemary', 'piney,', 'herbal', 'scent', 'kitchen.\\']",1.0,
135,The sour smell of fermenting grapes filled the winery's cellar.\,"['sour', 'smell', 'fermenting', 'grapes', ""winery's"", 'cellar.\\']",1.0,
136,The faint odor of old leather wafted from the vintage armchair.\,"['faint', 'odor', 'old', 'leather', 'vintage', 'armchair.\\']",1.0,
137,The smoky aroma of grilled meat filled the outdoor patio.\,"['smoky', 'grilled', 'meat', 'outdoor', 'patio.\\']",1.0,
138,The acrid smell of melting plastic rose from the broken appliance.\,"['acrid', 'smell', 'melting', 'plastic', 'broken', 'appliance.\\']",1.0,
139,The scent of fresh basil filled the garden after watering.\,"['scent', 'fresh', 'basil', 'garden', 'watering.\\']",1.0,
140,"Warm cinnamon rolls carried their sweet, spiced aroma into the hallway.\","['cinnamon', 'rolls', 'sweet,', 'spiced', 'aroma', 'hallway.\\']",1.0,
141,"Damp wool socks carried an earthy, musty smell after the hike.\","['Damp', 'wool', 'socks', 'earthy,', 'musty', 'smell', 'hike.\\']",1.0,
142,A faint floral sweetness clung to the bouquet of chrysanthemums.\,"['faint', 'floral', 'sweetness', 'bouquet', 'chrysanthemums.\\']",1.0,
143,"The sharp, bracing smell of rubbing alcohol filled the exam room.\","['sharp,', 'bracing', 'smell', 'rubbing', 'alcohol', 'exam', 'room.\\']",1.0,
144,"Steamed dumplings released a savory, umami-rich aroma into the dining area.\","['Steamed', 'dumplings', 'savory,', 'umami-rich', 'aroma', 'dining']",1.0,
145,"The rich, oily scent of fried fish filled the tiny diner.\","['rich,', 'oily', 'scent', 'fried', 'fish', 'diner.\\']",1.0,
146,A faint metallic scent accompanied the cool steel of the elevator.\,"['faint', 'metallic', 'scent', 'cool', 'steel', 'elevator.\\']",1.0,
147,"Smoked paprika added a bold, spicy fragrance to the simmering stew.\","['Smoked', 'paprika', 'bold,', 'spicy', 'fragrance', 'stew.\\']",1.0,
148,"Old bookshelves carried the woody, papery scent of forgotten stories.\","['Old', 'bookshelves', 'woody,', 'papery', 'scent', 'stories.\\']",1.0,
149,"The briny, salty scent of oysters rose from the plate.\","['briny,', 'salty', 'scent', 'oysters', 'plate.\\']",1.0,
150,The earthy scent of freshly tilled soil filled the garden.\,"['earthy', 'scent', 'freshly', 'tilled', 'soil', 'garden.\\']",1.0,
151,Sweet vanilla extract gave the cake batter a comforting aroma.\,"['Sweet', 'vanilla', 'extract', 'cake', 'batter', 'comforting', 'aroma.\\']",1.0,
152,The air smelled of wet pavement after the afternoon rainstorm.\,"['air', 'smelled', 'wet', 'pavement', 'rainstorm.\\']",1.0,
153,The musty odor of damp shoes lingered in the entryway.\,"['musty', 'odor', 'damp', 'shoes', 'entryway.\\']",1.0,
154,"A soft, floral perfume clung to her silk scarf.\","['soft,', 'floral', 'perfume', 'silk', 'scarf.\\']",1.0,
155,The bitter scent of espresso filled the bustling coffee shop.\,"['bitter', 'scent', 'espresso', 'coffee', 'shop.\\']",1.0,
156,A faint hint of cedarwood came from the antique chest.\,"['faint', 'hint', 'cedarwood', 'antique', 'chest.\\']",1.0,
157,The sharp smell of freshly peeled oranges lifted her mood.\,"['sharp', 'smell', 'freshly', 'peeled', 'oranges', 'mood.\\']",1.0,
158,"The barnyard carried a strong, pungent odor of livestock and hay.\","['barnyard', 'strong,', 'pungent', 'odor', 'livestock', 'hay.\\']",1.0,
159,A faint smoky smell wafted from the distant forest fire.\,"['faint', 'smoky', 'smell', 'wafted', 'forest', 'fire.\\']",1.0,
160,The zesty aroma of lime zest brightened the tropical cocktail.\,"['zesty', 'aroma', 'lime', 'zest', 'tropical', 'cocktail.\\']",1.0,
161,A whiff of chlorine reminded her of summer days at the pool.\,"['whiff', 'chlorine', 'reminded', 'summer', 'days', 'pool.\\']",1.0,
162,"The oily, metallic scent of machinery filled the factory floor.\","['oily,', 'metallic', 'scent', 'machinery', 'factory', 'floor.\\']",1.0,
163,"Freshly picked lavender released a calming, herbal fragrance in her hands.\","['Freshly', 'picked', 'lavender', 'calming,', 'herbal', 'fragrance', 'hands.\\']",1.0,
164,A faint odor of sulfur rose from the natural hot spring.\,"['faint', 'odor', 'sulfur', 'natural', 'hot', 'spring.\\']",1.0,
165,"The warm, yeasty smell of fresh bagels filled the bakery.\","['warm,', 'yeasty', 'smell', 'fresh', 'bagels', 'bakery.\\']",1.0,
166,The heady perfume of blooming jasmine hung in the twilight air.\,"['heady', 'perfume', 'blooming', 'jasmine', 'twilight', 'air.\\']",1.0,
167,A faintly sweet smell of honey lingered in the bee farm.\,"['faintly', 'sweet', 'smell', 'honey', 'bee', 'farm.\\']",1.0,
168,"The sharp, bitter tang of grapefruit lingered on her fingertips.\","['sharp,', 'bitter', 'tang', 'grapefruit', 'fingertips.\\']",1.0,
169,"The kitchen smelled of sage, thyme, and roasting chicken.\","['kitchen', 'smelled', 'sage,', 'thyme,', 'roasting', 'chicken.\\']",1.0,
170,The acrid stench of burnt toast filled the tiny apartment.\,"['acrid', 'stench', 'burnt', 'toast', 'apartment.\\']",1.0,
171,"A sweet, tropical pineapple aroma wafted from the fruit salad.\","['sweet,', 'tropical', 'pineapple', 'aroma', 'fruit', 'salad.\\']",1.0,
172,The warm smell of beeswax candles filled the dimly lit chapel.\,"['warm', 'smell', 'beeswax', 'candles', 'chapel.\\']",1.0,
173,The sharp scent of vinegar filled the air in the pickling workshop.\,"['sharp', 'scent', 'vinegar', 'air', 'workshop.\\']",1.0,
174,"A faint, earthy smell of moss rose from the forest trail.\","['faint,', 'earthy', 'smell', 'moss', 'forest']",1.0,
175,"The sweet, sugary aroma of caramelized apples filled the air.\","['sweet,', 'sugary', 'aroma', 'caramelized', 'apples', 'air.\\']",1.0,
176,The tangy smell of barbecue sauce lingered after the cookout.\,"['tangy', 'smell', 'barbecue', 'sauce', 'cookout.\\']",1.0,
177,Freshly brewed herbal tea carried the soothing scent of chamomile.\,"['Freshly', 'brewed', 'herbal', 'tea', 'scent', 'chamomile.\\']",1.0,
178,The smell of wet paint was strong in the renovated room.\,"['smell', 'wet', 'paint', 'renovated', 'room.\\']",1.0,
179,"A light, airy floral scent came from the blooming tulips.\","['light,', 'airy', 'floral', 'scent', 'blooming', 'tulips.\\']",1.0,
180,The musty smell of an old attic filled the abandoned house.\,"['musty', 'smell', 'old', 'attic', 'abandoned', 'house.\\']",1.0,
181,"Crushed coriander seeds released a citrusy, spicy aroma in the grinder.\","['Crushed', 'coriander', 'seeds', 'citrusy,', 'spicy', 'aroma', 'grinder.\\']",1.0,
182,"The rich, buttery fragrance of popcorn filled the movie theater.\","['rich,', 'buttery', 'fragrance', 'popcorn', 'movie', 'theater.\\']",1.0,
183,"A faint, minty scent of toothpaste clung to the bathroom air.\","['faint,', 'minty', 'toothpaste', 'bathroom', 'air.\\']",1.0,
184,The acrid odor of fireworks hung in the smoky night.\,"['acrid', 'odor', 'fireworks', 'smoky', 'night.\\']",1.0,
185,A faint vanilla bean aroma infused the custard with sweetness.\,"['faint', 'vanilla', 'bean', 'aroma', 'custard', 'sweetness.\\']",1.0,
186,"Freshly cut grass exuded a sweet, slightly tangy summer smell.\","['Freshly', 'cut', 'grass', 'sweet,', 'slightly', 'tangy', 'summer', 'smell.\\']",1.0,
187,The earthy aroma of mushrooms cooked in butter filled the skillet.\,"['earthy', 'aroma', 'mushrooms', 'butter', 'skillet.\\']",1.0,
188,"A faint, salty ocean breeze carried a hint of seaweed.\","['faint,', 'salty', 'ocean', 'breeze', 'hint', 'seaweed.\\']",1.0,
189,The acrid smell of burning tires filled the racetrack\'92s pits.\,"['acrid', 'smell', 'burning', 'tires', ""racetrack\\'92s""]",1.0,
190,"The sweet, floral scent of cherry blossoms filled the park.\","['sweet,', 'floral', 'scent', 'cherry', 'blossoms', 'park.\\']",1.0,
191,The smell of hot asphalt was overwhelming in the midday heat.\,"['smell', 'hot', 'asphalt', 'heat.\\']",1.0,
192,"Warm molasses cookies carried a rich, spicy aroma through the house.\","['Warm', 'molasses', 'cookies', 'rich,', 'spicy', 'aroma', 'house.\\']",1.0,
193,A faint smoky aroma lingered after extinguishing the scented candle.\,"['faint', 'smoky', 'aroma', 'scented', 'candle.\\']",1.0,
194,"The clean, sharp scent of eucalyptus filled the spa\'92s steam room.\","['clean,', 'sharp', 'scent', 'eucalyptus', ""spa\\'92s"", 'steam', 'room.\\']",1.0,
195,"A salty, briny odor of clams rose from the simmering pot.\","['salty,', 'briny', 'odor', 'clams', 'pot.\\']",1.0,
196,"The nutty, roasted scent of almonds wafted from the confectioner\'92s shop.\","['nutty,', 'roasted', 'scent', 'almonds', ""confectioner\\'92s"", 'shop.\\']",1.0,
197,A faintly metallic smell of rain filled the air before the storm.\,"['faintly', 'metallic', 'smell', 'rain', 'air', 'storm.\\']",1.0,
198,"The sweet, citrusy tang of tangerines perfumed the market stall.\","['sweet,', 'citrusy', 'tang', 'tangerines', 'perfumed', 'market', 'stall.\\']",1.0,
199,"Burning wood released a nostalgic, smoky aroma into the crisp night air.\","['Burning', 'wood', 'nostalgic,', 'smoky', 'aroma', 'night', 'air.\\']",1.0,
200,"The rich, chocolatey aroma of brownies baking spread through the house.\","['rich,', 'chocolatey', 'aroma', 'brownies', 'baking', 'house.\\']",1.0,
201,The spicy scent of cloves added warmth to the mulled wine.\,"['spicy', 'scent', 'cloves', 'warmth', 'mulled', 'wine.\\']",1.0,
202,"The sharp, piney smell of a Christmas tree filled the room.\","['sharp,', 'piney', 'smell', 'Christmas', 'tree', 'room.\\']",1.0,
