,phrases,positive_terms,positive_negative
49,smell wet dog rain overwhelming,"rain, smell  ",1
50,crisp apple orchard carry fresh tangy scent,"apple, crisp, fresh, scent  ",1
51,perfumed soap leave linger floral trail hand,floral  ,1
52,sweet scent wild honeysuckle intertwine humid air,"scent, sweet  ",1
53,charred wood bonfire linger faintly clearing,wood  ,1
54,pungent aroma vinegar pickle waft jar,"aroma, pungent, vinegar  ",1
55,breeze carry sharp mineral scent mountain,"scent, sharp  ",1
56,freshly brew coffee release rich nutty comforting fragrance,"coffee, fragrance  ",1
57,sharp bite ammonia sting nostril lab,sharp  ,1
58,faint metallic odor cling rusty iron gate,"metallic, odor  ",1
59,damp page ancient book exude musty earthy smell,"earthy, musty, smell  ",1
60,delicate scent lilac remind spring morning,scent  ,1
61,burn rubber fill air car screech stop,  ,1
62,tropical sweetness ripe mango perfume farmer,"mango, perfume  ",1
63,market stall,  ,1
64,salty tang accompany scent dry fish dock,"fish, salty, scent, tang  ",1
65,bake chocolate chip cookie fill kitchen warm sugary note,  ,1
66,morning frost carry crisp clean smell impending winter,"clean, crisp, smell  ",1
67,bouquet lily fill room heady perfume,"heady, perfume  ",1
68,harsh acrid smell smoke signal distant fire,"smell, smoke  ",1
69,sharp tang lemon zest brighten kitchen aroma,"aroma, lemon, sharp, tang  ",1
70,earthy bitter smell coffee bean linger,"bitter, coffee, earthy, smell  ",1
71,,  ,1
72,fresh paint sharp chemical tang closed room,"chemical, fresh, sharp, tang  ",1
73,sweet strawberry peak ripeness release juicy sugary fragrance,"fragrance, sweet  ",1
74,faint whiff gasoline come recently park care,"gasoline, whiff  ",1
75,burn incense fill temple rich spicy smoke,"incense, smoke, spicy  ",1
76,sweet milky scent coconut oil linger skin,"coconut, scent, sweet  ",1
77,barn smelled hay leather warm scent animal,"hay, leather, scent  ",1
78,aromatic clove give cider festive spicy fragrance,"clove, fragrance, spicy  ",1
79,clean linen smell faintly lavender sunlight wash,"clean, lavender, smell  ",1
80,humid air carry swamp,  ,1
81,earthy decay vegetation scent,"earthy, scent  ",1
82,ripe tomato stand smell earthy fresh tangy,"earthy, fresh, smell  ",1
83,sharp peppery aroma arugula fill garden spring,"aroma, sharp  ",1
84,melt chocolate give irresistible sweet creamy perfume,"creamy, perfume, sweet  ",1
85,wet dog smell fill car beach trip,smell  ,1
86,faint smell ozone hang air lightne,smell  ,1
87,hot asphalt carry smell summer heat city life,"asphalt, smell  ",1
88,laundry smelled detergent fresh air faint lavender,"detergent, fresh, lavender  ",1
89,overwhelming stench spoiled milk fill kitchen,stench  ,1
90,eucalyptus leave give sauna soothing herbal fragrance,"eucalyptus, fragrance  ",1
91,salty smell pretzel waft bustling street fair,"salty, smell  ",1
92,faint sulfurous odor hint nearby hot spring,odor  ,1
93,freshly grate nutmeg give pie warm spicy aroma,"aroma, nutmeg, spicy  ",1
94,new leather boot carry distinct polished smell house,"leather, smell  ",1
95,barn,  ,1
96,musty scent mix hay manure,"hay, manure, musty, scent  ",1
97,faint fruity aroma come ferment wine barrel,aroma  ,1
98,soft powdery smell baby lotion cling nursery,"powdery, smell  ",1
99,forest floor smell damp rich alive rain,"rain, smell  ",1
100,waft scent burnt sugar bring back childhood fair,"scent, sugar  ",1
101,rich smoky aroma barbecue drift backyard,"aroma, smoky  ",1
102,pillow carry lingering trace perfume partner,perfume  ,1
103,tangy zest grapefruit brighten kitchen air,"grapefruit, tangy  ",1
104,whiff fresh paint sting nose,"fresh, paint, whiff  ",1
105,decay autumn leave smell forest floor,"decay, smell  ",1
106,splash bleach carry sharp nose tingle,"bleach, sharp  ",1
107,pet store smell mix fur kibble sawdust,smell  ,1
108,air carry burnt hair unpleasant odor,"burnt, hair, odor  ",1
109,warm buttery croissant give off inviting aroma,"aroma, buttery  ",1
110,hall hospital sterile carry faint scent antiseptic,"antiseptic, scent  ",1
111,scent cinnamon bun waft bakery door,"cinnamon, scent  ",1
112,sun warm pine needle release woody fresh smell,"fresh, pine, smell, woody  ",1
113,plastic toy give off synthetic chemical odor,"chemical, odor, plastic, synthetic  ",1
114,soft breeze carry honeysuckle hint evening walk,honeysuckle  ,1
115,old wine cellar filled musky scent age barrel,"barrel, musky, scent  ",1
116,campground air thick aroma bacon egg sizzle,"aroma, bacon  ",1
117,fridge release sour odor leftover week,"sour, odor  ",1
118,steamed bun smell slightly sweet yeasty comforting,"smell, sweet, yeasty  ",1
119,sweat linger gym equipment acrid,"acrid, sweat  ",1
120,vanilla extract rich sweet aroma fill kitchen,"aroma, sweet, vanilla  ",1
121,armpit give off sharp unpleasant smell,"sharp, smell  ",1
122,fish market filled briny salty scent ocean,"briny, fish, salty, scent  ",1
123,fresh rain hit asphalt create earthy smell,"asphalt, earthy, rain, smell  ",1
124,cheese counter emit strong pungent odor,"cheese, odor, pungent  ",1
125,roses bloom exude classic floral fragrance,"floral, fragrance, roses  ",1
126,turmeric cumin spice stew fill kitchen scent,"cumin, scent, spice, turmeric  ",1
127,heavy perfume cloud entrance theater,perfume  ,1
128,baby skin smell faint lotion powder,smell  ,1
129,old refrigerator emit musty stale odor,"musty, odor, stale  ",1
130,summer field filled aroma fresh hay,"aroma, fresh, hay  ",1
131,sour milk curdle glass produce foul stench,"foul, milk, sour, stench  ",1
132,popcorn butter scent drift cinema lobby,"butter, popcorn, scent  ",1
133,zoo air heavy animal scent straw,scent  ,1
134,hair salon reek dye ammonia product,"ammonia, dye, reek  ",1
135,damp basement exude musty moldy odor,"moldy, musty, odor  ",1
136,lemon cleaner leave sharp citrusy smell counter,"lemon, sharp, smell  ",1
137,fresh basil crush under knife release pungent aroma,"aroma, basil, pungent  ",1
138,pine cone crack underfoot forest floor smell woody,"pine, smell, woody  ",1
139,detergent aisle grocery store smell artificial floral,"detergent, floral, smell  ",1
140,pepper grind salad release spicy pungent scent,"pungent, scent, spicy  ",1
141,sharp smell acetone fill nail salon,"acetone, sharp, smell  ",1
142,fried onion fill kitchen sweet savory aroma,"aroma, onion, savory, sweet  ",1
143,bakery sweet scent sugar glaze donut rise morning,"scent, sugar, sweet  ",1
144,new book smell crisp ink paper,"crisp, ink, smell  ",1
145,peach tree orchard emit fruity floral fragrance,"floral, fragrance, fruity, peach  ",1
146,humid cave carry scent mineral earth,scent  ,1
147,nose wrinkle unpleasant odor public restroom,"odor, unpleasant  ",1
148,old closet smell mix cedar mothball,"cedar, mothball, smell",1
149,burning tire release acrid black smoke,"acrid, burning, smoke  ",1
150,fresh cilantro emit pungent citrusy scent,"pungent, scent  ",1
151,hint chocolate linger after hot drink finish,chocolate  ,1
152,bleach clean scent bathroom overpowering,"bleach, clean, scent  ",1
153,alley behind restaurant reek oil garbage,"garbage, oil, reek  ",1
154,rosewater perfume evoke memory grandmother,"perfume, rosewater  ",1
155,rainforest air thick aroma damp vegetation,"aroma, damp  ",1
156,air freshener spray release sharp synthetic floral odor,"floral, odor, sharp, synthetic  ",1
157,fresh popcorn fill theater warm buttery scent,"buttery, popcorn, scent  ",1
158,hospital corridor sterile smell bleach medicine,"bleach, medicine, smell  ",1
159,compost pile give earthy smell rot leaf,"earthy, leaf, rot, smell  ",1
160,garage filled oily metallic scent,"metallic, oily, scent  ",1
161,vanilla bean simmer milk sweet creamy aroma,"aroma, creamy, sweet, vanilla  ",1
162,cigar smoke hang heavy velvet curtain,smoke  ,1
163,banana peel sit sun emit sour odor,"banana, odor, sour  ",1
164,newly mown grass fill park green scent,"grass, scent  ",1
165,garlic sauteed olive oil release mouthwatering aroma,"aroma, garlic, oil  ",1
166,playground filled scent sunscreen bubblegum,scent  ,1
167,cooked cabbage fill house unmistakable odor,"cabbage, odor  ",1
168,hotel lobby scented artificial jasmine oil,"jasmine, oil, scented  ",1
169,vinegar clean leave acrid smell linger,"acrid, smell, vinegar  ",1
170,lime zest give off bright tangy scent,"lime, scent, tangy  ",1
171,old attic smell dust history,"dust, smell  ",1
172,basil mint blend pesto fill room herbal fragrance,"basil, fragrance, herbal, mint  ",1
173,fireplace emit warm woody scent crackle fire,"scent, woody  ",1
174,rubber boot drying sun smell scorched,"rubber, smell  ",1
175,bowl fresh berries release sweet fruity aroma,"aroma, fruity, sweet  ",1
176,damp dog jump couch smell fill room,"dog, smell  ",1
177,fried food stall exude thick greasy aroma,"aroma, greasy  ",1
178,scent fresh cut flowers bouquet kitchen,"flowers, fresh, scent  ",1
179,kitchen smell yeast rising dough,"dough, smell, yeast  ",1
180,burn hair unpleasant sharp acrid odor,"acrid, hair, odor, sharp  ",1
181,smell strong cologne announce arrival,smell  ,1
182,woodshop filled scent sawdust pine,"pine, sawdust, scent  ",1
183,cinnamon spice candle burn evening warmth,"candle, cinnamon, spice  ",1
184,cooked shrimp carry distinctive briny aroma,"aroma, briny, shrimp  ",1
185,locker room heavy scent sweat disinfectant,"scent, sweat  ",1
186,summer breeze carry scent blooming jasmine,"jasmine, scent  ",1
187,airplane cabin faint odor stale air,"odor, stale  ",1
188,pastry oven release buttery flaky fragrance,"buttery, fragrance  ",1
189,sulfur spring reek rotten egg odor,"odor, reek, sulfur  ",1
190,air humid smell chlorinated pool,"chlorinated, smell  ",1
191,apple pie cooling window spread warm spicy aroma,"apple, aroma, spicy  ",1
192,dandelion field carry light sweet scent,"scent, sweet  ",1
193,roast beef kitchen fill meaty rich aroma,"aroma, beef  ",1
194,elevator filled scent floral detergent,"detergent, floral, scent  ",1
195,stew pot simmer scent thyme garlic bay leaf,"garlic, scent, thyme  ",1
196,old toy chest smell faint plastic childhood,"plastic, smell  ",1
197,pillowcase smell shampoo hint lavender,"lavender, shampoo, smell  ",1
198,carpet shampoo leave room strong soapy odor,"odor, shampoo, soapy",1
199,coconut lotion linger beach towel,"beach, coconut, lotion  ",1
200,tang orange peel fill air breakfast table,"orange, tang  ",1
201,soggy cardboard carry faint moldy odor,"moldy, odor  ",1
202,scent fresh snowfall crisp air,"crisp, fresh, scent  ",1
203,barbecue sauce caramelize meat release smoky aroma,"aroma, smoky  ",1
204,attic smell dust mothball memory,"dust, mothball, smell  ",1
205,subway car filled odor damp coat,"coat, damp, odor  ",1
206,cup chamomile tea release soothing floral scent,"chamomile, floral, scent  ",1
207,engine oil spill leave sharp bitter odor,"bitter, odor, oil, sharp  ",1
208,curry simmer pot fill room exotic spicy aroma,"aroma, curry, spicy  ",1
209,old photograph smell faint ink decay,"decay, ink, smell  ",1
210,musty smell linger forgotten cellar,"musty, smell  ",1
211,tomato basil soup emit rich hearty fragrance,"basil, fragrance, tomato  ",1
212,puddle gasoline shimmer release tangy chemical smell,"chemical, gasoline, smell, tangy  ",1
213,rubber tire stack warehouse emit industrial odor,"odor, rubber  ",1
214,whipped cream sweet scent top hot cocoa,"scent, sweet  ",1
215,public restroom reek bleach urine,"bleach, reek, urine  ",1
216,flower shop bloom carry overwhelming floral fragrance,"floral, fragrance  ",1
217,ocean breeze salt spray tang air,"salt, spray, tang  ",1
218,bar smell stale beer smoke,"beer, smell, smoke, stale  ",1
219,creosote log cabin wall give pungent smoky odor,"odor, pungent, smoky  ",1
220,spilled milk sun emit cloying sour smell,"milk, smell, sour  ",1
221,mustard seed toast pan release earthy sharp scent,"earthy, scent, sharp  ",1
222,wine glass hold fruity dry aroma,"aroma, fruity  ",1
223,newspaper smell ink fresh print,"ink, smell  ",1
224,compost bin emit rotten earthy odor,"earthy, odor, rotten  ",1
225,fresh thyme crush hand herbal tang,"herbal, tang, thyme  ",1
226,old shoes smell mildew sweat,"mildew, smell, sweat  ",1
227,jasmine flower open dusk release seductive scent,"jasmine, scent  ",1
228,burn marshmallow give off sugary charred smell,"charred, smell, sugary  ",1
229,nail polish remover emit sharp acetone odor,"acetone, odor, sharp  ",1
230,kitchen sink drain smell sour detergent,"detergent, smell, sour  ",1
231,pencil shaving give woody nostalgic scent,"woody, scent  ",1
232,garage carry faint scent gasoline grease,"gasoline, grease, scent  ",1
233,rose petal scattered bath release soft fragrance,"fragrance, rose  ",1
234,wet soil smell spring rain,"rain, smell, soil  ",1
235,open sewer emit foul choking stench,"foul, stench  ",1
236,bottle sunscreen pop smell tropical coconut,"coconut, smell, tropical  ",1
237,oven mitt retain scent roast chicken,"chicken, scent  ",1
238,faint trace perfume linger sweater collar,perfume  ,1
239,dog fur smell outside adventure,"fur, smell  ",1
240,dry erase marker give chemical smell,"chemical, smell  ",1
241,hot tar road construction emit acrid smoky odor,"acrid, odor, smoky, tar  ",1
242,mint toothpaste refresh breath crisp scent,"crisp, mint, scent, toothpaste  ",1
243,lavender sachet drawer perfume clothe,"lavender, perfume  ",1
244,musty trunk smell travel long end,"musty, smell  ",1
245,hot chocolate steam rich cocoa fragrance,"cocoa, fragrance  ",1
246,grease trap reek fried food rot,"food, grease, reek  ",1
247,pine air freshener hang car mirror sharp scent,"pine, scent, sharp  ",1
248,sunlight grass release fresh earthy smell,"earthy, fresh, grass, smell",1
249,apple cider mull spice sweet scent,"apple, scent, spice, sweet  ",1
250,burn toast emit acrid smell linger room,"acrid, smell, toast  ",1
251,scent tobacco pipe fill library warmth,"tobacco, scent  ",1
252,musty crawl space smell earth rot,"earth, musty, rot, smell  ",1
253,tang tomato vine cling hand garden,"tomato, tang  ",1
254,old letter sealed wax faint smoke odor,"odor, smoke, wax  ",1
255,fresh sheet smell sun air,"fresh, sheet, smell  ",1
256,chewing gum breath carry minty scent,"minty, scent  ",1
257,charcoal grill smoke season air barbecue,"barbecue, charcoal, smoke  ",1
258,simmer stew fill house savory herbal aroma,"aroma, herbal, savory, stew  ",1
259,gas leak faint rotten egg scent alert danger,"egg, rotten, scent  ",1
260,lemon rind grate tart citrus smell,"lemon, rind, smell, tart  ",1
261,musty book line ancient library shelf,"book, musty  ",1
262,puppy breath soft yeasty sweet,"yeasty, sweet  ",1
263,open suitcase smell mildew disuse,"mildew, smell  ",1
264,butcher shop smell raw meat faint bleach,"bleach, meat, smell  ",1
265,orchid greenhouse carry subtle floral aroma,"aroma, floral, orchid  ",1
266,match strike flare sulfur scent,"scent, sulfur  ",1
267,refrigerator contain week old fish reek,"fish, reek  ",1
268,simmer garlic onion olive oil fill home smell,"garlic, oil, onion, smell  ",1
269,barn cat nest hay scent linger,"hay, scent  ",1
270,flavored lip balm smell artificial strawberry,"smell, strawberry  ",1
271,spring breeze scatter pollen floral perfume,"floral, perfume  ",1
272,peanut butter jar give nutty aroma,"aroma, nutty  ",1
273,dinner table laden curry turmeric spicy fragrance,"curry, fragrance, spicy, turmeric  ",1
274,whiff manure drift wind farm,"manure, whiff  ",1
275,bar soap blend oatmeal lavender scent,"lavender, oatmeal, scent  ",1
276,burn plastic emit toxic chemical odor,"chemical, odor, plastic  ",1
277,grated parmesan add pungent aroma pasta,"pungent, aroma, parmesan  ",1
278,lilac bush release strong floral scent garden,"floral, lilac, scent  ",1
279,gas station smell fuel rubber asphalt,"asphalt, fuel, rubber, smell  ",1
280,damp towel mildew smell laundry basket,"mildew, smell, towel  ",1
281,scent sunscreen signal summer beach memory,"scent, sunscreen  ",1
282,vanilla frosting sweeten kitchen air,"air, sweet, vanilla  ",1
283,pine forest path carry crisp woody aroma,"aroma, crisp, pine, woody  ",1
284,boiling vinegar cleanse air acrid odor,"acrid, odor, vinegar  ",1
285,sizzling sausage fill breakfast scent,"scent, sausage  ",1
286,lavender essential oil defuse bedroom sleep,"lavender, oil  ",1
287,brew beer smell yeasty hoppy scent,"hoppy, scent, yeasty  ",1
288,mildew cling shower curtain stale odor,"mildew, odor  ",1
289,ice cream parlor sweet sugary aroma drift street,"aroma, sugary, sweet  ",1
290,paint thinner strong sharp chemical smell,"chemical, sharp, smell  ",1
291,popcorn stand carnival waft butter salt scent,"butter, popcorn, salt, scent  ",1
292,faint odor nail polish linger salon,"odor, polish  ",1
293,cinnamon pinecone holiday decor emit spicy fragrance,"cinnamon, fragrance, pinecone, spicy  ",1
294,leather jacket hang closet rich smell,"leather, smell  ",1
295,aroma toast jam bring breakfast table,"aroma, jam, toast  ",1
296,onion sizzle pan sharp sweet smell,"onion, sharp, smell, sweet  ",1
297,whiff perfume remind mother,"perfume, whiff  ",1
298,carpet hold scent pet foot traffic,scent,1
299,steamed rice release subtle nutty aroma,"aroma, nutty, rice  ",1
300,old theater filled dust velvet scent,"dust, scent  ",1
301,baby powder scent fill nursery,"powder, scent  ",1
302,apple peel cinnamon stew fill kitchen warm fragrance,"apple, cinnamon, fragrance, warm  ",1
303,chimney smoke drift village evening air,smoke  ,1
304,faint scent maple syrup linger plate,"scent, syrup  ",1
305,grilled corn exude sweet charred aroma,"aroma, charred, corn, sweet  ",1
306,fridge smell forgotten broccoli cheese,"mold, smell  ",1
307,wood polish scent linger antique table,"polish, scent  ",1
308,overripe banana emit strong fruity odor,"banana, fruity, odor  ",1
309,pineapple slice release juicy tang sweet scent,"pineapple, scent, sweet, tang  ",1
310,sawdust pile give raw woody smell,"sawdust, smell, woody  ",1
311,fresh mozzarella mild milky aroma,"aroma, milky, mozzarella  ",1
312,room spray burst artificial citrus fragrance,"citrus, fragrance  ",1
313,campfire smoke soak jacket weekend trip,"campfire, smoke  ",1
314,barista hand over cup rich espresso aroma,"aroma, espresso  ",1
315,damp towel sour mildew smell,"damp, mildew, smell  ",1
316,maple bacon fry kitchen send sweet smoky scent,"bacon, smoky, sweet, scent  ",1
317,sneeze pollen cloud flower shop,"sneeze, pollen  ",1
318,fresh rosemary crush palm emit piney scent,"palm, piney, rosemary, scent  ",1
319,rotten potato bottom sack release foul odor,"foul, odor, potato, rotten  ",1
320,bookstore carry scent ink paper dust,"dust, ink, paper, scent  ",1
321,candy store burst fruity sugary fragrance,"fragrance, fruity, sugary  ",1
322,petting zoo smell hay fur animal,"animal, fur, hay, smell  ",1
323,butter melt pancake give off rich aroma,"aroma, butter  ",1
324,cut grass smell cling leg walk field,"grass, smell  ",1
325,candle shop filled spicy woody sweet scent,"scent, spicy, sweet, woody  ",1
326,fresh mint leaf bruise finger strong aroma,"aroma, mint  ",1
327,gravy simmer roast pan fill kitchen savory fragrance,"fragrance, gravy, savory  ",1
328,locker stink old shoe sweat detergent,"detergent, locker, sweat  ",1
329,frying fish fill house oily odor,"fish, odor, oily  ",1
330,perfumed letter envelope hint lavender oil,"lavender, oil, perfumed  ",1
331,charcoal smoke rise grill scent fill patio,"charcoal, scent, smoke  ",1
332,moldy bread emit sour pungent smell,"moldy, pungent, smell, sour  ",1
333,vanilla bean custard warm oven fragrance,"custard, fragrance, vanilla  ",1
334,mothball scent cling winter coat,"scent, mothball  ",1
335,sizzling garlic fill kitchen sharp aroma,"aroma, garlic, sharp  ",1
336,cologne trail behind man pass,"scent, cologne  ",1
337,faint aroma maple bacon linger plate,"bacon, aroma, maple  ",1
338,laundry hung line breeze fresh scent,"fresh, laundry, scent  ",1
339,sharp whiff paint thinner hit nose,"paint, thinner, whiff  ",1
340,oatmeal cinnamon bubble stovetop homey smell,"cinnamon, oatmeal, smell  ",1
341,toothpaste minty foam smell clean,"clean, minty, smell  ",1
342,open coconut release tropical creamy scent,"coconut, creamy, scent  ",1
343,firecracker smoke linger air after celebration,smoke  ,1
344,kitchen filled scent vanilla sugar cookie,"baking, scent, sugar, vanilla  ",1
345,sharp scent lemon cleanser hang sink,"cleanser, lemon, scent, sharp  ",1
346,old barn wood hay animal musk,"hay, musk, wood  ",1
347,fresh plum burst juice sweet fruity smell,"fruity, plum, smell, sweet  ",1
348,onion skin peel emit faint sharp odor,"onion, sharp, odor  ",1
349,car seat hold scent sunscreen leather,"leather, scent, sunscreen  ",1
350,smoke chimney mix cold morning air,smoke  ,1
351,zookeeper coat smell straw dung,"dung, smell, straw  ",1
352,fruit basket emit ripe mango banana aroma,"aroma, banana, mango, ripe  ",1
353,restaurant kitchen filled scent spice broth,"broth, scent, spice  ",1
354,old letter drawer smell age ink,"ink, letter, smell  ",1
355,public bus faint odor food perfume people,"food, odor, perfume  ",1
356,mint leaf tea cup release crisp scent,"crisp, mint, scent  ",1
357,refrigerator open smell garlic leftover,"garlic, smell  ",1
358,saddle room filled leather hay musk,"hay, leather, musk  ",1
359,sauna air thick eucalyptus steam scent,"eucalyptus, scent  ",1
360,baby wipe leave sweet synthetic scent hand,"synthetic, scent, sweet  ",1
361,egg salad sandwich emit sulfur smell,"sulfur, smell  ",1
362,fall breeze carry scent bonfire fallen leaf,"bonfire, leaf, scent  ",1
363,freshly caught fish sea brine scent,"fish, brine, scent  ",1
364,scent incense curl air prayer room,"incense, scent  ",1
365,sharp ammonia sting nostril spill floor,"ammonia, sharp  ",1
366,mashed potato butter release creamy aroma,"aroma, butter, creamy  ",1
367,beach towel hold scent salt sun lotion,"lotion, salt, scent  ",1
368,grandmother quilt smell lavender cedar chest,"cedar, lavender, quilt, smell  ",1
369,fruit stand full melon peach tang,"melon, peach, tang  ",1
370,faint diesel hang truck stop,diesel  ,1
371,box crayon open release waxy scent,"crayon, scent, waxy  ",1
372,cabbage boil pot fill house strong odor,"cabbage, odor  ",1
373,hot syrup pour waffle fill room scent,"scent, syrup  ",1
374,cool basement carry musty wet cement smell,"cement, musty, smell  ",1
375,lavender field hum bee breeze floral scent,"floral, lavender, scent  ",1
376,sweet scent icing linger bakery door,"icing, scent, sweet  ",1
377,chopped cilantro release earthy sharp fragrance,"cilantro, earthy, fragrance, sharp  ",1
378,gasoline pump whiff fuel hit air,"fuel, gasoline, whiff  ",1
379,sunflower field carry dry earthy scent,"earthy, sunflower, scent  ",1
380,honeycomb fresh cut smell rich sweet,"honeycomb, smell, sweet  ",1
381,clothing store smell fabric dye plastic,"dye, fabric, plastic, smell  ",1
382,muddy boot leave smell wet grass manure,"grass, manure, smell  ",1
383,eggplant grill char release smoky scent,"char, eggplant, smoky, scent  ",1
384,sweet cherry pie cool window fill house aroma,"aroma, cherry, sweet  ",1
385,creamy cheese counter carry musty odor,"cheese, musty, odor  ",1
386,baking bread scent waft open window,"bread, scent  ",1
387,dusty old fan blow faint burning odor,"burning, dusty, odor  ",1
388,dill pickle jar open release sour briny smell,"briny, dill, pickle, smell, sour  ",1
389,orange blossom tree fill garden floral scent,"blossom, floral, orange, scent  ",1
390,tar bubble street summer heat pungent odor,"odor, pungent, tar  ",1
391,closet smell dust age perfume faint,"dust, perfume, smell  ",1
392,fresh mint toothpaste sting morning breath,"mint, sting, toothpaste  ",1
393,whiff body odor linger crowded elevator,"body, odor, whiff  ",1
394,sack potato rot release earthy foul smell,"earthy, foul, potato, rot, smell  ",1
395,aftershave scent trail skin towel,"aftershave, scent  ",1
396,charred pepper give sweet smoky fragrance,"charred, pepper, smoky, sweet  ",1
397,perfume bottle uncapped jasmine vanilla hit air,"jasmine, perfume, vanilla  ",1
398,melt wax scent cinnamon orange drift house,"cinnamon, orange, scent, wax  ",1
399,dog wet fur smell linger carpet,"dog, fur, smell  ",1
400,air smell sulfur warning nearby spring,"sulfur, smell  ",1
401,fresh eucalyptus branch snap clean herbal scent,"eucalyptus, herbal, scent  ",1
402,kitchen filled aroma roast garlic rosemary,"aroma, garlic, rosemary  ",1
403,aged cheese platter emit pungent tangy odor,"cheese, odor, pungent, tangy  ",1
404,cut lemon squirt air tart citrus scent,"citrus, lemon, scent, tart  ",1
405,child blanket smell detergent mother perfume,"detergent, perfume, smell  ",1
406,fallen leaf damp path give musty aroma,"aroma, leaf, musty  ",1
407,bacon sizzle pan rich savory scent,"bacon, savory, scent  ",1
408,fridge emit faint onion fish smell,"fish, onion, smell  ",1
409,mossy rock creekside exude earthy damp scent,"earthy, mossy, scent  ",1
410,pastry counter smell vanilla almond sweet,"almond, sweet, vanilla, smell  ",1
411,cotton candy twirl stick sugary scent drift,"scent, sugary  ",1
412,fresh ink pen bleed paper chemical odor,"chemical, ink, odor  ",1
413,cup noodle steam rise salty artificial scent,"artificial, salty, scent  ",1
414,"lavender soap scent cling towel lavender, scent, soap  ",,1
415,cooking pot fill curry cardamom spicy aroma,"aroma, cardamom, curry, spicy  ",1
416,baby blanket soft scent milk powder,"milk, powder, scent  ",1
417,bus seat carry lingering body odor perfume,"body, odor, perfume  ",1
418,sunshine warm wood deck give pine scent,"pine, scent, wood  ",1
419,dry leaf burn pile acrid smoke rise,"acrid, leaf, smoke  ",1
420,frying bacon fill room mouthwatering scent,"bacon, scent  ",1
421,toddler hair smell sweet shampoo,"scent, shampoo, sweet  ",1
422,ripe tomato vine emit grassy tang,"grassy, tang, tomato  ",1
423,kitchen sponge give off sour moldy odor,"moldy, odor, sour, sponge  ",1
424,school hallway smell pencil disinfectant sweat,"disinfectant, pencil, smell, sweat  ",1
425,carpet store filled scent glue fiber,"fiber, glue, scent  ",1
426,potpourri bowl living room cinnamon floral aroma,"aroma, cinnamon, floral, potpourri  ",1
427,sun-warmed backpack emit scent plastic sunblock,"plastic, scent, sunblock  ",1
