,normalized_text,text,contains_ref
40,peppermint oil tickle sense sharp cool aroma,peppermint oil tickle sense sharp cool aroma,True
41,old house smell mildew history forget time,old house smell mildew history forget time,True
42,campfire smoke cling clothe nostalgic outdoor scent,campfire smoke cling clothe nostalgic outdoor scent,True
43,pungent odor blue cheese dominate charcuterie platter,pungent odor blue cheese dominate charcuterie platter,True
44,hint lavender calm air bedroom,hint lavender calm air bedroom,True
45,faint whiff tar saltwater define atmosphere,faint whiff tar saltwater define atmosphere,True
46,sizzle bacon fill room savory irresistible aroma,sizzle bacon fill room savory irresistible aroma,True
47,smell wet dog rain overwhelming,smell wet dog rain overwhelming,True
48,crisp apple orchard carry fresh tangy scent,crisp apple orchard carry fresh tangy scent,True
49,perfumed soap leave linger floral trail hand,perfumed soap leave linger floral trail hand,True
50,sweet scent wild honeysuckle intertwine air,sweet scent wild honeysuckle intertwine air,True
51,charred wood bonfire linger faintly clearing,charred wood bonfire linger faintly clearing,True
52,pungent aroma vinegar pickle waft jar,pungent aroma vinegar pickle waft jar,True
53,breeze carry sharp mineral scent mountain,breeze carry sharp mineral scent mountain,True
54,freshly brew coffee release rich nutty comforting fragrance,freshly brew coffee release rich nutty comforting fragrance,True
55,sharp bite ammonia sting nostril lab,sharp bite ammonia sting nostril lab,True
56,faint metallic odor cling rusty iron gate,faint metallic odor cling rusty iron gate,True
57,damp page ancient book exude musty earthy smell,damp page ancient book exude musty earthy smell,True
58,delicate scent lilac remind spring morning,delicate scent lilac remind spring morning,True
59,burn rubber fill air car screech stop,burn rubber fill air car screech stop,True
60,tropical sweetness ripe mango perfume market stall,tropical sweetness ripe mango perfume market stall,True
61,salty tang accompany scent dry fish dock,salty tang accompany scent dry fish dock,True
62,bake chocolate chip cookie fill kitchen warm sugary note,bake chocolate chip cookie fill kitchen warm sugary note,True
63,morning frost carry crisp clean smell impend winter,morning frost carry crisp clean smell impend winter,True
64,bouquet lily fill room heady perfume,bouquet lily fill room heady perfume,True
65,harsh acrid smell smoke signal distant fire,harsh acrid smell smoke signal distant fire,True
66,sharp tang lemon zest brighten kitchen aroma,sharp tang lemon zest brighten kitchen aroma,True
67,earthy bitter smell coffee bean linger,earthy bitter smell coffee bean linger,True
68,fresh paint sharp chemical tang closed room,fresh paint sharp chemical tang closed room,True
69,sweet strawberry peak ripeness release juicy sugary fragrance,sweet strawberry peak ripeness release juicy sugary fragrance,True
70,faint whiff gasoline come recently park care,faint whiff gasoline come recently park care,True
71,burn incense fill temple rich spicy smoke,burn incense fill temple rich spicy smoke,True
72,sweet milky scent coconut oil linger skin,sweet milky scent coconut oil linger skin,True
73,barn smell hay leather warm scent animal,barn smell hay leather warm scent animal,True
74,aromatic clove give cider festive spicy fragrance,aromatic clove give cider festive spicy fragrance,True
75,clean linen smell faintly lavender sunlight wash,clean linen smell faintly lavender sunlight wash,True
76,air carry earthy decay vegetation scent,air carry earthy decay vegetation scent,True
77,ripe tomato stand smell earthy fresh tangy,ripe tomato stand smell earthy fresh tangy,True
78,sharp peppery aroma arugula fill garden spring,sharp peppery aroma arugula fill garden spring,True
79,melt chocolate give irresistible sweet creamy perfume,melt chocolate give irresistible sweet creamy perfume,True
80,wet dog smell fill car beach trip,wet dog smell fill car beach trip,True
81,faint smell ozone hang air lightning,faint smell ozone hang air lightning,True
82,hot asphalt carry smell summer heat city life,hot asphalt carry smell summer heat city life,True
83,laundry smelled detergent fresh air faint lavender,laundry smelled detergent fresh air faint lavender,True
84,overwhelming stench spoiled milk fill kitchen,overwhelming stench spoiled milk fill kitchen,True
85,eucalyptus leave give sauna soothe herbal fragrance,eucalyptus leave give sauna soothe herbal fragrance,True
86,salty smell pretzel waft bustle street fair,salty smell pretzel waft bustle street fair,True
87,faint sulfurous odor hint nearby hot spring,faint sulfurous odor hint nearby hot spring,True
88,freshly grate nutmeg give pie warm spicy aroma,freshly grate nutmeg give pie warm spicy aroma,True
89,new leather boot carry distinct polished smell house,new leather boot carry distinct polished smell house,True
90,musty scent mix hay manure,musty scent mix hay manure,True
91,faint fruity aroma come ferment wine barrel,faint fruity aroma come ferment wine barrel,True
92,soft powdery smell baby lotion cling nursery,soft powdery smell baby lotion cling nursery,True
93,forest floor smell damp rich alive rain,forest floor smell damp rich alive rain,True
94,hint cinnamon clove linger holiday air,hint cinnamon clove linger holiday air,True
95,carry salty briny scent distant wave,carry salty briny scent distant wave,True
96,sharp odor bleach fill freshly clean bathroom,sharp odor bleach fill freshly clean bathroom,True
97,crush mint leave release sharp refreshing scent air,crush mint leave release sharp refreshing scent air,True
98,workshop smell sawdust varnish year craftsmanship,workshop smell sawdust varnish year craftsmanship,True
99,earthy aroma mushroom fill basket autumn,earthy aroma mushroom fill basket autumn,True
100,spicy aroma turmeric linger simmer curry pot,spicy aroma turmeric linger simmer curry pot,True
101,faint sweet scent peach drift orchard,faint sweet scent peach drift orchard,True
102,metallic smell blood tinge sterile hospital air,metallic smell blood tinge sterile hospital air,True
103,autumn leave crackle underfoot release woody smoky fragrance,autumn leave crackle underfoot release woody smoky fragrance,True
104,warm bread roll carry comforting scent home cook meal,warm bread roll carry comforting scent home cook meal,True
105,pungent odor rot seaweed overwhelm quiet shoreline,pungent odor rot seaweed overwhelm quiet shoreline,True
106,acrid scent burn hair waft curl iron,acrid scent burn hair waft curl iron,True
107,ripe banana fill kitchen soft sugary fragrance,ripe banana fill kitchen soft sugary fragrance,True
108,sun drench hay release sweet dry aroma field,sun drench hay release sweet dry aroma field,True
109,fresh scent tea lift spirit instantly,fresh scent tea lift spirit instantly,True
110,metallic tang penny linger fingertip,metallic tang penny linger fingertip,True
111,perfume bloom gardenia envelop small greenhouse,perfume bloom gardenia envelop small greenhouse,True
112,sour tangy smell yogurt fill small bowl,sour tangy smell yogurt fill small bowl,True
113,crisp cucumber exude fresh watery aroma chop board,crisp cucumber exude fresh watery aroma chop board,True
114,hint wet clay mingle pottery studio air,hint wet clay mingle pottery studio air,True
115,strong nutty smell peanut butter spread kitchen,strong nutty smell peanut butter spread kitchen,True
116,steam broccoli carry sulfurous odor fill dining room,steam broccoli carry sulfurous odor fill dining room,True
117,faint hint sawdust linger workbench,faint hint sawdust linger workbench,True
118,toast sesame seed give warm nutty fragrance,toast sesame seed give warm nutty fragrance,True
119,aged whiskey barrel exude rich smoky aroma cellar,aged whiskey barrel exude rich smoky aroma cellar,True
120,sharp scent freshly grate ginger tingle nose,sharp scent freshly grate ginger tingle nose,True
121,morning coffee mingle scent dew cover grass,morning coffee mingle scent dew cover grass,True
122,sulfuric smell firework linger vibrant display,sulfuric smell firework linger vibrant display,True
123,old photograph carry faint musty smell aged paper,old photograph carry faint musty smell aged paper,True
124,strong zesty citrus aroma rise cut grapefruit,strong zesty citrus aroma rise cut grapefruit,True
125,faint odor mothball cling antique clothe chest,faint odor mothball cling antique clothe chest,True
126,chop onion fill air sharp pungent scent,chop onion fill air sharp pungent scent,True
127,rich earthy scent truffle waft gourmet dish,rich earthy scent truffle waft gourmet dish,True
128,warm smell baking pie welcome guest house,warm smell baking pie welcome guest house,True
129,faint smell rose cling vintage perfume bottle,faint smell rose cling vintage perfume bottle,True
130,rich buttery aroma croissant envelop busy,rich buttery aroma croissant envelop busy,True
131,burn match leave fleeting acrid odor kitchen,burn match leave fleeting acrid odor kitchen,True
132,floral powdery scent rise freshly iron linen,floral powdery scent rise freshly iron linen,True
133,stale cigarette smoke cling stubbornly heavy velvet curtain,stale cigarette smoke cling stubbornly heavy velvet curtain,True
134,fresh rosemary exude piney herbal scent bright kitchen,fresh rosemary exude piney herbal scent bright kitchen,True
135,sour smell ferment grape fill winery cellar,sour smell ferment grape fill winery cellar,True
136,faint odor old leather waft vintage armchair,faint odor old leather waft vintage armchair,True
137,smoky aroma grill meat fill outdoor patio,smoky aroma grill meat fill outdoor patio,True
138,acrid smell melt plastic rise broken appliance,acrid smell melt plastic rise broken appliance,True
139,scent fresh basil fill garden water,scent fresh basil fill garden water,True
140,warm cinnamon roll carry sweet spiced aroma hallway,warm cinnamon roll carry sweet spiced aroma hallway,True
141,damp wool sock carry earthy musty smell hike,damp wool sock carry earthy musty smell hike,True
142,faint floral sweetness cling bouquet chrysanthemum,faint floral sweetness cling bouquet chrysanthemum,True
143,sharp bracing smell rub alcohol fill exam room,sharp bracing smell rub alcohol fill exam room,True
144,steamed dumpling release savory umami rich aroma dining area,steamed dumpling release savory umami rich aroma dining area,True
145,rich oily scent fried fish fill tiny diner,rich oily scent fried fish fill tiny diner,True
146,faint metallic scent accompany cool steel elevator,faint metallic scent accompany cool steel elevator,True
147,smoke paprika add bold spicy fragrance simmer stew,smoke paprika add bold spicy fragrance simmer stew,True
148,old bookshelf carry woody papery scent forget story,old bookshelf carry woody papery scent forget story,True
149,briny salty scent oyster rise plate,briny salty scent oyster rise plate,True
150,earthy scent freshly till soil fill garden,earthy scent freshly till soil fill garden,True
151,sweet vanilla extract give cake batter comfort aroma,sweet vanilla extract give cake batter comfort aroma,True
152,air smell wet pavement afternoon rainstorm,air smell wet pavement afternoon rainstorm,True
153,musty odor damp shoe linger entryway,musty odor damp shoe linger entryway,True
154,soft floral perfume cling silk scarf,soft floral perfume cling silk scarf,True
155,bitter scent espresso fill bustling coffee shop,bitter scent espresso fill bustling coffee shop,True
156,faint hint cedarwood come antique chest,faint hint cedarwood come antique chest,True
157,sharp smell freshly peel orange lift mood,sharp smell freshly peel orange lift mood,True
158,barnyard carry strong pungent odor livestock hay,barnyard carry strong pungent odor livestock hay,True
159,faint smoky smell waft distant forest fire,faint smoky smell waft distant forest fire,True
160,zesty aroma lime zest brighten tropical cocktail,zesty aroma lime zest brighten tropical cocktail,True
161,whiff chlorine remind summer day pool,whiff chlorine remind summer day pool,True
162,oily metallic scent machinery fill factory floor,oily metallic scent machinery fill factory floor,True
163,freshly pick lavender release calm herbal fragrance hand,freshly pick lavender release calm herbal fragrance hand,True
164,faint odor sulfur rise natural hot spring,faint odor sulfur rise natural hot spring,True
165,warm yeasty smell fresh bagel fill bakery,warm yeasty smell fresh bagel fill bakery,True
166,heady perfume bloom jasmine hang twilight air,heady perfume bloom jasmine hang twilight air,True
167,faintly sweet smell honey linger farm,faintly sweet smell honey linger farm,True
168,sharp bitter tang grapefruit linger fingertip,sharp bitter tang grapefruit linger fingertip,True
169,kitchen smell sage thyme roast chicken,kitchen smell sage thyme roast chicken,True
170,acrid stench burn toast fill tiny apartment,acrid stench burn toast fill tiny apartment,True
171,sweet tropical pineapple aroma waft fruit salad,sweet tropical pineapple aroma waft fruit salad,True
172,warm smell beeswax candle fill dimly light chapel,warm smell beeswax candle fill dimly light chapel,True
173,sharp scent vinegar fill air pickling workshop,sharp scent vinegar fill air pickling workshop,True
174,faint earthy smell moss rise forest trail,faint earthy smell moss rise forest trail,True
175,sweet sugary aroma caramelize apple fill air,sweet sugary aroma caramelize apple fill air,True
176,tangy smell barbecue sauce linger cookout,tangy smell barbecue sauce linger cookout,True
177,freshly brew herbal tea carry soothing scent chamomile,freshly brew herbal tea carry soothing scent chamomile,True
178,smell wet paint strong renovate room,smell wet paint strong renovate room,True
179,light airy floral scent come bloom tulip,light airy floral scent come bloom tulip,True
180,musty smell old attic fill abandon house,musty smell old attic fill abandon house,True
181,crush coriander seed release citrus spicy aroma grinder,crush coriander seed release citrus spicy aroma grinder,True
182,rich buttery fragrance popcorn fill movie theater,rich buttery fragrance popcorn fill movie theater,True
183,faint minty scent toothpaste cling bathroom air,faint minty scent toothpaste cling bathroom air,True
184,acrid odor firework hang smoky night,acrid odor firework hang smoky night,True
185,faint vanilla bean aroma infuse custard sweetness,faint vanilla bean aroma infuse custard sweetness,True
186,freshly cut grass exude sweet slightly tangy summer smell,freshly cut grass exude sweet slightly tangy summer smell,True
187,earthy aroma mushroom cook butter fill skillet,earthy aroma mushroom cook butter fill skillet,True
188,faint salty ocean breeze carry hint seaweed,faint salty ocean breeze carry hint seaweed,True
189,acrid smell burn tire fill pit,acrid smell burn tire fill pit,True
190,sweet floral scent cherry blossom fill park,sweet floral scent cherry blossom fill park,True
191,smell hot asphalt overwhelming midday heat,smell hot asphalt overwhelming midday heat,True
192,warm molasse cookie carry rich spicy aroma house,warm molasse cookie carry rich spicy aroma house,True
193,faint smoky aroma linger extinguish scented candle,faint smoky aroma linger extinguish scented candle,True
194,clean sharp scent eucalyptus fill steam room,clean sharp scent eucalyptus fill steam room,True
195,salty briny odor clams rise simmer pot,salty briny odor clams rise simmer pot,True
196,nutty roasted scent almond waft shop,nutty roasted scent almond waft shop,True
197,faintly metallic smell rain fill air storm,faintly metallic smell rain fill air storm,True
198,sweet tang tangerine perfume market stall,sweet tang tangerine perfume market stall,True
199,burn wood release nostalgic smoky aroma crisp night air,burn wood release nostalgic smoky aroma crisp night air,True
200,rich chocolatey aroma brownie bake spread house,rich chocolatey aroma brownie bake spread house,True
201,spicy scent clove add warmth mulled wine,spicy scent clove add warmth mulled wine,True
202,sharp piney smell tree fill room,sharp piney smell tree fill room,True
203,freshly cut lemon release tangy zesty fragrance air,freshly cut lemon release tangy zesty fragrance air,True
204,stale smell old newspaper linger dusty archive,stale smell old newspaper linger dusty archive,True
205,savory aroma sizzle bacon waft kitchen stove,savory aroma sizzle bacon waft kitchen stove,True
206,faint floral scent cling petal wild rose,faint floral scent cling petal wild rose,True
207,earthy nutty aroma roasted chestnut fill winter market,earthy nutty aroma roasted chestnut fill winter market,True
208,briny salty ocean smell accompany sound crash wave,briny salty ocean smell accompany sound crash wave,True
209,sweet powdery smell baby lotion remind childhood,sweet powdery smell baby lotion remind childhood,True
210,pungent odor garlic frying oil fill air,pungent odor garlic frying oil fill air,True
211,faint citrus smell rise freshly clean countertops,faint citrus smell rise freshly clean countertops,True
212,warm spicy scent gingerbread cookie permeate holiday party,warm spicy scent gingerbread cookie permeate holiday party,True
213,sharp chemical smell paint thinner linger studio,sharp chemical smell paint thinner linger studio,True
214,smoky leathery aroma come new leather bind journal,smoky leathery aroma come new leather bind journal,True
215,sweet scent strawberry blend tartness rhubarb,sweet scent strawberry blend tartness rhubarb,True
216,fresh pine needle exude crisp resinous aroma rain,fresh pine needle exude crisp resinous aroma rain,True
217,tangy smell sourdough starter bubble corner jar,tangy smell sourdough starter bubble corner jar,True
218,herbal scent sage burn fill meditation room,herbal scent sage burn fill meditation room,True
219,faintly sweet nutty smell rise toasted sesame bagel,faintly sweet nutty smell rise toasted sesame bagel,True
220,strong odor asphalt tar fill hot summer construction site,strong odor asphalt tar fill hot summer construction site,True
221,buttery scent hollandaise sauce accompany steam egg benedict,buttery scent hollandaise sauce accompany steam egg benedict,True
222,faintly fruity scent linger glass red wine,faintly fruity scent linger glass red wine,True
223,acrid smell burn rubber accompany screeching tire,acrid smell burn rubber accompany screeching tire,True
224,rich vanilla like aroma come freshly brew chair team,rich vanilla like aroma come freshly brew chair team,True
225,earthy scent damp wood chip fill garden path,earthy scent damp wood chip fill garden path,True
226,light floral smell drift bloom,light floral smell drift bloom,True
227,strong spicy smell cinnamon stick fill festive kitchen,strong spicy smell cinnamon stick fill festive kitchen,True
228,cool refreshing scent peppermint fill holiday gift shop,cool refreshing scent peppermint fill holiday gift shop,True
229,faint metallic smell come old radiator corner,faint metallic smell come old radiator corner,True
230,sharp tang blue cheese fill deli taste area,sharp tang blue cheese fill deli taste area,True
231,warm nutty aroma hazelnut toast oven linger,warm nutty aroma hazelnut toast oven linger,True
232,sour acidic smell vinegar rise cleaning bucket,sour acidic smell vinegar rise cleaning bucket,True
233,faint powdery lavend scent cling freshly launder sheet,faint powdery lavend scent cling freshly launder sheet,True
234,rich earthy smell cocoa powder fill pastry kitchen,rich earthy smell cocoa powder fill pastry kitchen,True
235,strong herbal aroma rosemary infuse roasted vegetable,strong herbal aroma rosemary infuse roasted vegetable,True
236,sharp pungent scent ammonia hang air,sharp pungent scent ammonia hang air,True
237,sweet floral aroma honeysuckle carry breeze,sweet floral aroma honeysuckle carry breeze,True
238,acrid smell burn wire fill small electronic workshop,acrid smell burn wire fill small electronic workshop,True
239,faint musty smell damp stone rise cellar,faint musty smell damp stone rise cellar,True
240,tangy sweet scent mango fill tropical fruit market,tangy sweet scent mango fill tropical fruit market,True
241,freshly cut eucalyptus branch fill room refreshing scent,freshly cut eucalyptus branch fill room refreshing scent,True
242,faint spicy aroma black pepper linger cutting board,faint spicy aroma black pepper linger cutting board,True
243,strong savory smell soy sauce permeate bustle kitchen,strong savory smell soy sauce permeate bustle kitchen,True
244,metallic scent copper coin cling hand,metallic scent copper coin cling hand,True
245,warm nutty aroma toasted fill air,warm nutty aroma toasted fill air,True
246,sharp citrus smell grapefruit clean brighten morning chore,sharp citrus smell grapefruit clean brighten morning chore,True
247,rich creamy scent melt chocolate rise fondue pot,rich creamy scent melt chocolate rise fondue pot,True
248,earthy smell wet clay fill pottery studio,earthy smell wet clay fill pottery studio,True
249,faint salty smell accompany crisp breeze lake,faint salty smell accompany crisp breeze lake,True
250,sharp peppery scent arugula rise salad bowl,sharp peppery scent arugula rise salad bowl,True
251,faintly sweet smell maple syrup linger pancake,faintly sweet smell maple syrup linger pancake,True
252,musky warm aroma sandalwood oil fill yoga studio,musky warm aroma sandalwood oil fill yoga studio,True
253,freshly fall leave release crisp earthy scent air,freshly fall leave release crisp earthy scent air,True
254,metallic odor blood fill sterile hospital room,metallic odor blood fill sterile hospital room,True
255,delicate floral smell orchid brighten greenhouse interior,delicate floral smell orchid brighten greenhouse interior,True
256,faint burn sugar aroma come caramelize top,faint burn sugar aroma come caramelize top,True
257,sharp acidic smell cleaning spray fill kitchen,sharp acidic smell cleaning spray fill kitchen,True
258,warm spicy scent cumin season simmer stew,warm spicy scent cumin season simmer stew,True
259,faint powdery scent talcum rise antique vanity,faint powdery scent talcum rise antique vanity,True
260,earthy rich smell pot soil fill nursery,earthy rich smell pot soil fill nursery,True
261,faint chocolate aroma cling storefront window,faint chocolate aroma cling storefront window,True
262,sharp herbal smell oregano waft pizza oven,sharp herbal smell oregano waft pizza oven,True
263,pungent sour smell pickled cabbage fill fermentation jar,pungent sour smell pickled cabbage fill fermentation jar,True
264,sweet fruity scent ripe peach perfume summer market,sweet fruity scent ripe peach perfume summer market,True
265,fresh herbal scent parsley brighten kitchen air,fresh herbal scent parsley brighten kitchen air,True
266,faint smoky smell cling coat bonfire,faint smoky smell cling coat bonfire,True
267,tangy refreshing smell lime mix salt air,tangy refreshing smell lime mix salt air,True
268,acrid stench burn leave hang autumn breeze,acrid stench burn leave hang autumn breeze,True
269,faintly sweet nutty aroma rise almond milk latte,faintly sweet nutty aroma rise almond milk latte,True
270,sharp bitter scent hop fill brewery production,sharp bitter scent hop fill brewery production,True
271,rich savory smell roasting garlic fill dinner table,rich savory smell roasting garlic fill dinner table,True
272,faint metallic odor come iron gate rain,faint metallic odor come iron gate rain,True
273,warm sugary aroma caramel apple fill festival ground,warm sugary aroma caramel apple fill festival ground,True
274,earthy scent damp moss cling forest rock,earthy scent damp moss cling forest rock,True
275,faint citrus scent accompany lather soap bar,faint citrus scent accompany lather soap bar,True
276,acrid smell burn toast linger cramped kitchen,acrid smell burn toast linger cramped kitchen,True
277,soft powdery fragrance lily fill funeral parlor,soft powdery fragrance lily fill funeral parlor,True
278,sharp spicy scent mustard seed pop hot oil,sharp spicy scent mustard seed pop hot oil,True
279,warm buttery smell croissant greet customer,warm buttery smell croissant greet customer,True
280,faintly sweet smell honey linger glove,faintly sweet smell honey linger glove,True
281,earthy nutty aroma roasted coffee bean fill air,earthy nutty aroma roasted coffee bean fill air,True
282,metallic tang steel tool hang garage,metallic tang steel tool hang garage,True
283,tangy zesty smell citrus infuse cocktail station,tangy zesty smell citrus infuse cocktail station,True
284,acrid stench charred wood rise burnout cabin,acrid stench charred wood rise burnout cabin,True
285,faint floral scent come bloom wildflower trail,faint floral scent come bloom wildflower trail,True
286,sweet warm aroma vanilla extract fill cupboard,sweet warm aroma vanilla extract fill cupboard,True
287,sharp pungent scent fresh cut onion bring tear eye,sharp pungent scent fresh cut onion bring tear eye,True
288,rich smoky aroma grill meat waft backyard,rich smoky aroma grill meat waft backyard,True
289,faint salty odor seawater cling beach towel,faint salty odor seawater cling beach towel,True
290,crisp refreshing scent cucumber brighten summer salad,crisp refreshing scent cucumber brighten summer salad,True
291,earthy smell mushroom rise woodland path,earthy smell mushroom rise woodland path,True
292,warm nutty aroma peanut butter spread snack bar,warm nutty aroma peanut butter spread snack bar,True
293,faint sulfur smell linger volcanic edge,faint sulfur smell linger volcanic edge,True
294,zesty aroma lemon zest fill air bake,zesty aroma lemon zest fill air bake,True
295,sharp smell acetone rise nail polish remover,sharp smell acetone rise nail polish remover,True
296,sweet juicy aroma melon fill market booth,sweet juicy aroma melon fill market booth,True
297,faint metallic odor old penny cling finger,faint metallic odor old penny cling finger,True
298,earthy smoky smell tobacco hang wooden cigar box,earthy smoky smell tobacco hang wooden cigar box,True
299,warm yeasty aroma bread dough rise,warm yeasty aroma bread dough rise,True
300,tangy scent orange peel brighten winter morning,tangy scent orange peel brighten winter morning,True
301,earthy resinous smell cedarwood chip perfume wooden chest,earthy resinous smell cedarwood chip perfume wooden chest,True
302,warm chocolatey aroma cocoa fill cozy,warm chocolatey aroma cocoa fill cozy,True
303,faint spicy cardamom scent linger chair teapot,faint spicy cardamom scent linger chair teapot,True
304,sharp acrid smell burn paper rise fire,sharp acrid smell burn paper rise fire,True
305,fresh green smell come crush mint leave,fresh green smell come crush mint leave,True
306,nutty sweet aroma almond visconti fill air,nutty sweet aroma almond visconti fill air,True
307,metallic tang iron clung rusty gate,metallic tang iron clung rusty gate,True
308,earthy damp smell freshly water plant fill greenhouse,earthy damp smell freshly water plant fill greenhouse,True
309,warm spicy clove scent linger air brew,warm spicy clove scent linger air brew,True
310,sharp citrus aroma grapefruit brighten afternoon team,sharp citrus aroma grapefruit brighten afternoon team,True
311,pungent smell soy sauce marinate sizzle stir fry,pungent smell soy sauce marinate sizzle stir fry,True
312,faint floral fragrance violet waft spring meadow,faint floral fragrance violet waft spring meadow,True
313,warm buttery aroma popcorn fill movie theater lobby,warm buttery aroma popcorn fill movie theater lobby,True
314,sharp acrid scent gasoline hang air pump,sharp acrid scent gasoline hang air pump,True
315,fresh herbal aroma basil enhance homemade pasta sauce,fresh herbal aroma basil enhance homemade pasta sauce,True
316,faintly sweet floral lavender scent linger laundry room,faintly sweet floral lavender scent linger laundry room,True
317,earthy woody aroma mushroom fill kitchen,earthy woody aroma mushroom fill kitchen,True
318,tangy sharp smell vinegar add zest dressing,tangy sharp smell vinegar add zest dressing,True
319,faint metallic scent copper coin remind old collection,faint metallic scent copper coin remind old collection,True
320,sugary caramelize scent toffee waft candy shop,sugary caramelize scent toffee waft candy shop,True
321,rich warm smell espresso fill early morning,rich warm smell espresso fill early morning,True
322,faint smoky scent incense drift meditation center,faint smoky scent incense drift meditation center,True
323,sharp pungent smell ammonia linger freshly mop hallway,sharp pungent smell ammonia linger freshly mop hallway,True
324,fruity sweet aroma mango perfume tropical orchard,fruity sweet aroma mango perfume tropical orchard,True
325,tangy salty smell olive fill bustling marketplace,tangy salty smell olive fill bustling marketplace,True
326,earthy smell freshly dug soil surround gardening toolshed,earthy smell freshly dug soil surround gardening toolshed,True
327,fresh green aroma cut grass signal start summer,fresh green aroma cut grass signal start summer,True
328,faint floral jasmine drift bloom garden trellis,faint floral jasmine drift bloom garden trellis,True
329,sharp chemical smell bleach permeate sterile hospital corridor,sharp chemical smell bleach permeate sterile hospital corridor,True
330,nutty rich aroma hazelnut spread fill sandwich shop,nutty rich aroma hazelnut spread fill sandwich shop,True
331,faint salty tang sweat cling gym clothe,faint salty tang sweat cling gym clothe,True
332,smoky savory smell barbecued rib hang backyard air,smoky savory smell barbecued rib hang backyard air,True
333,spicy peppery scent crush black pepper season meal,spicy peppery scent crush black pepper season meal,True
334,faintly metallic smell rise newly sharpen kitchen knife,faintly metallic smell rise newly sharpen kitchen knife,True
335,sweet fruity aroma ripe banana fill smoothie stand,sweet fruity aroma ripe banana fill smoothie stand,True
336,sharp tart scent cranberry add brightness sauce,sharp tart scent cranberry add brightness sauce,True
337,faint earthy moss smell cling old stone wall,faint earthy moss smell cling old stone wall,True
338,warm sugary scent honeyed pastry greet bakery patron,warm sugary scent honeyed pastry greet bakery patron,True
339,fresh zesty aroma lime brighten tropical cocktail station,fresh zesty aroma lime brighten tropical cocktail station,True
340,pungent odor garlic clove crush knife fill air,pungent odor garlic clove crush knife fill air,True
341,faintly herbal smell rise chamomile tea steep,faintly herbal smell rise chamomile tea steep,True
