,clean_sentence,clean_token,ref_type,original_ref_type
212,puddle gasoline shimmer release tangy chemical smell,chemical gasoline smell tangy  ,Olfactive,Quality
63,market stall,  ,Olfactive,Quality
193,roast beef kitchen fill meaty rich aroma,aroma beef  ,Olfactive,Quality
369,fruit stand full melon peach tang,melon peach tang  ,Olfactive,Quality
83,sharp peppery aroma arugula fill garden spring,aroma sharp  ,Olfactive,Quality
472,aroma hot soup swirl steam bowl,aroma soup  ,Olfactive,Quality
33,dry line carry fresh sunlit air,fresh  ,Olfactive,Quality
85,wet dog smell fill car beach trip,smell  ,Olfactive,Quality
91,salty smell pretzel waft bustling street fair,salty smell  ,Olfactive,Quality
0,aroma fresh baked bread linger warmly air,aroma bread fresh  ,Olfactive,Quality
11,acrid scent burn toast linger unpleasantly air,scent  ,Olfactive,Quality
262,puppy breath soft yeasty sweet,yeasty sweet  ,Olfactive,Quality
22,freshly cut grass bring bright lively smell summer,grass smell  ,Olfactive,Quality
355,public bus faint odor food perfume people,food odor perfume  ,Olfactive,Quality
185,locker room heavy scent sweat disinfectant,scent sweat  ,Olfactive,Quality
