,level_0,Unnamed: 0,index,filename,sentence_id,sentence,token,ref_type,original_ref_type,len,clean_sentence,clean_token,pred_token,prec,rec,enriched_prec,enriched_rec
30,546,546,1243,072E Richard Middleton 1619 Goodnes the blessed mans badge__18_distribution_REL.txt,24,"If that bee so , then thou mayest call a lumpe of waxe or clay an apple , because it is round like an apple : thou mayest say , it hath the smell and taste of an apple .",of an apple a lumpe of waxe or clay it smell,Olfactive,Evoked\_Odorant,40,bee thou mayest call lumpe waxe clay apple because round like apple thou mayest say hath smell taste apple,apple lumpe waxe clay smell,smell smell,1.0,0.2,1.0,0.2
31,60,60,139,007E Dan McKenzie 1923 Aromatics and the soul__748_MED.txt,24,"Stenches have attained to the dignity of a legal topic of interest , and are now by Act of Parliament become “ nuisances ” in law as well as in nature , with the result that they have been , for the most part , banished from the face of the land and the noses of its inhabitants .",Stenches,Olfactive,Smell\_Word,59,stenches attained dignity legal topic interest act parliament become “ nuisances ” law well nature result part banished face land noses inhabitants,stenches,stenches,1.0,1.0,1.0,1.0
32,300,300,701,017E Henry Austin 1857 Report on the meanings of deodorizing and utilizing the sewage of towns__112_PUB.txt,26,It appears that neither of these substances has much deodorizing power when mixed with liquid .,these substances deodorizing,Olfactive,Smell\_Source,16,appears neither substances much deodorizing power mixed liquid,substances deodorizing,deodorizing deodorizing,1.0,0.5,1.0,0.5
33,259,259,597,016E Havelock Ellis 1905 Studies in the Psychology of Sex__1003_SCIE.txt,2,"If the primitive man was inclined to disparage a woman whose odor was slight or imperceptible , — turning away from her with contempt , as the Polynesian turned away from the ladies of Sydney : 	_	_	_	
2-38	486-490	They	Smell\_Source	Anaphoric	2-32[8_0]	
2-39	492-496	have	_	_	_	
2-40	497-499	no	_	_	_	
2-41	500-505	smell	Smell\_Word	*	2-38	
2-42	505-506	!	_	_	_	
2-43	506-507	",slight imperceptible a woman whose the ladies of Sydney odor,Olfactive,Quality,71,primitive man inclined disparage woman whose odor slight imperceptible — turning away contempt polynesian turned away ladies sydney smellsource anaphoric no smell smellword,slight imperceptible woman whose ladies sydney odor,primitive woman inclined disparage woman whose odor slight imperceptible — turning away contempt polynesian turned away ladies sydney smellsource anaphoric no smell smellword odor smell,0.34782608695652173,1.0,0.36,1.0
34,280,280,658,016E Havelock Ellis 1905 Studies in the Psychology of Sex__1003_SCIE.txt,45,"But , although musk in its simple form , and under its ancient name , has lost its hold in Europe , it is an interesting and significant fact that it is still the perfumes which contains musk that are the most widely popular .",the most widely popular musk perfumes,Olfactive,Quality,45,although musk simple form ancient name lost hold europe interesting significant fact still perfumes contains musk widely popular,widely popular musk perfumes,musk musk musk,1.0,0.25,1.0,0.25
35,228,228,518,014E John Floyer 1687 Pharmako Basnos__2427_MED.txt,65,"The Third Class of Opiates , is Sweetish , Acrid , and Fetid , differing from Poppy smell , as Cicutaria , Napellus .",Sweetish Acrid Fetid The Third Class of Opiates Cicutaria Napellus smell,Olfactive,Quality,24,third class opiates sweetish acrid fetid differing poppy smell cicutaria napellus,sweetish acrid fetid third class opiates cicutaria napellus smell,sweetish acrid fetid differing poppy smell acrid fetid smell,0.6666666666666666,0.4444444444444444,0.7777777777777778,0.4444444444444444
36,11,11,22,006E W Murdoch 1858 Report of the Medical Officer of Health for Rotherhithe 1857  Wellcome Londons Pulse database_PUB.txt,106,"The tide not being now let in from the river either so often or so abundantly as formerly , the water in the remote ramifications of the stream scarcely covers the mud , is hardly ever properly renewed , stagnates , and putrifies .",the water putrifies,Olfactive,Smell\_Source,44,tide not let river either often abundantly formerly water remote ramifications stream scarcely covers mud hardly ever properly renewed stagnates putrifies,water putrifies,putrifies,1.0,0.5,1.0,0.5
37,412,412,923,020E A H Swinton 1880 Insect Variety__210_SCIE.txt,6,"At other times , the scent spot on the fore wings is replaced by a brush of hair , and that on the hind wing is chalky and fragrant of musk , as may be seen in the common canary-coloured butterflies of the tropics , Callidryas .",spot of musk scent fragrant,Olfactive,Smell\_Source,47,times scent spot fore wings replaced brush hair hind wing chalky fragrant musk may seen common canarycoloured butterflies tropics callidryas,spot musk scent fragrant,scent scent fragrant musk,1.0,0.25,1.0,0.75
38,83,83,189,007E Dan McKenzie 1923 Aromatics and the soul__748_MED.txt,8,"it was the Irish Sea , and I stepped on to the train straight from the mail-boat , so that . . . in a word , I remember that luscious but washy odour too vividly to bestow upon Ireland the white flower of a stenchless life .",luscious washy life odour stenchless,Olfactive,Quality,48,irish sea stepped train straight mailboat word remember luscious washy odour vividly bestow upon ireland white flower stenchless life,luscious washy life odour stenchless,luscious washy odour odour,1.0,0.6,1.0,0.6
39,90,90,203,008E Anon 1779 A short history of drugs.txt_distribution.txt,115,"Is a bulbous Root of the Zedoary kind , but more resembling in shape Turmerick ; it breaks of a fine Orange-colour , of a fragrant Smell , and aromatic Taste .",fragrant it Smell,Olfactive,Quality,32,bulbous root zedoary kind resembling shape turmerick breaks fine orangecolour fragrant smell aromatic taste,fragrant smell,fragrant smell fragrant smell aromatic,1.0,1.0,0.8,1.0
40,208,208,462,014E John Floyer 1687 Pharmako Basnos__2427_MED.txt,42,"It does appear by divers Herbs bottled with Water for two Months , that a Fetor is produced ; from the Mucilaginous , as Mallow-Leaves ; from the Bitter , as Artichoak-Leaves ; from the Narcotick , an exceeding Fetidness , as Henbane-Leaves ; from the Excoriators , as Spurge : These smelling like the Excrements of Animals .",like the Excrements of Animals exceeding by divers Herbs from the Mucilaginous Mallow-Leaves from the Bitter Artichoak-Leaves from the Narcotick Henbane-Leaves from the Excoriators Spurge These Fetor Fetidness smelling,Olfactive,Evoked\_Odorant,59,appear divers herbs bottled water two months fetor produced mucilaginous mallowleaves bitter artichoakleaves narcotick exceeding fetidness henbaneleaves excoriators spurge smelling like excrements animals,like excrements animals exceeding divers herbs mucilaginous mallowleaves bitter artichoakleaves narcotick henbaneleaves excoriators spurge fetor fetidness smelling,fetor produced mucilaginous mallowleaves bitter artichoakleaves fetor bitter smelling,0.8333333333333334,0.29411764705882354,0.8888888888888888,0.35294117647058826
41,538,538,1230,068E Alfred Swaine Taylor 1859 On Poisons__531_distribution_LAW.txt,24,"On other occasions the odour may be concealed by peppermint , tobacco , or other odours .",odour,Olfactive,Smell\_Word,17,occasions odour may concealed peppermint tobacco odours,odour,odour may concealed peppermint tobacco odours odour,0.16666666666666666,1.0,0.2857142857142857,1.0
42,335,335,780,018E Thomas Laycock 1865 Notes on Fetid Bronchitis__285_distribution.txt,55,The pus of fibroid pyogenic cavities and of fetid bronchitis undergoes a similar change .,bronchitis fetid,Olfactive,Smell\_Source,15,pus fibroid pyogenic cavities fetid bronchitis undergoes similar change,bronchitis fetid,pus fibroid pyogenic cavities fetid bronchitis fetid,0.3333333333333333,1.0,0.42857142857142855,1.0
43,79,79,177,007E Dan McKenzie 1923 Aromatics and the soul__748_MED.txt,66,"Who can ever forget the bazaar smells of India , the mingled must and fust with its background of garlic and strange vices , or the still more mysterious atmospheres of China with their deep suggestion of musk ?",mysterious of garlic strange vices with their deep suggestion of musk smells atmospheres,Olfactive,Quality,39,ever forget bazaar smells india mingled must fust background garlic strange vices still mysterious atmospheres china deep suggestion musk,mysterious garlic strange vices deep suggestion musk smells atmospheres,smells garlic musk,1.0,0.1111111111111111,1.0,0.3333333333333333
44,434,434,972,056E Thomas Reid 1764 An inquiry into the human mind__102_distribution_SCIE.txt,10,"For if he means by smell what the rest of mankind most commonly mean , he is certainly mad .",smell,Olfactive,Smell\_Word,20,means smell rest mankind commonly mean certainly mad,smell,smell smell,1.0,1.0,1.0,1.0
45,140,140,297,009E Erasmus Darwin 1794 Zoonomia or the laws of organic life London 1794 ECCO TCP_MED.txt,32,"This pleasing sensation of smell is followed by the early affection of the infant to the mother that suckles it , and hence the tender feelings of gratitude and love , as well as of hopeless grief , are ever after joined with the titillation of the extremity of the lacrymal ducts , and a profusion of tears .",pleasing smell,Olfactive,Quality,59,pleasing sensation smell followed early affection infant mother suckles hence tender feelings gratitude love well hopeless grief ever joined titillation extremity lacrymal ducts profusion tears,pleasing smell,pleasing sensation smell followed early affection infant mother suckles hence tender feelings gratitude love well hopeless grief ever joined titillation extremity lacrymal ducts profusion tears smell,0.08,1.0,0.11538461538461539,1.0
46,281,281,661,016E Havelock Ellis 1905 Studies in the Psychology of Sex__1003_SCIE.txt,46,"Peau d ' Espagne may be mentioned as a highly complex and luxurious perfume , often the favorite scent of sensuous persons , which really owes a large part of its potency to the presence of the crude animal sexual odors of musk and civet .",highly complex luxurious the favorite animal sexual Peau d ' Espagne of musk civet perfume scent odors,Olfactive,Quality,46,peau espagne may mentioned highly complex luxurious perfume often favorite scent sensuous persons really owes large part potency presence crude animal sexual odors musk civet,highly complex luxurious favorite animal sexual peau espagne musk civet perfume scent odors,perfume perfume scent musk civet odors odors odors odors,1.0,0.07692307692307693,1.0,0.38461538461538464
47,268,268,625,016E Havelock Ellis 1905 Studies in the Psychology of Sex__1003_SCIE.txt,3,"— women would inevitably seek to supplement any natural defects in this respect , and to accentuate their odorous qualities , in the same way as by corsets and bustles , even in civilization , they have sought to accentuate the sexual saliencies of their bodies .",women their odorous,Olfactive,Smell\_Source,47,— women would inevitably seek supplement natural defects respect accentuate odorous qualities way corsets bustles even civilization sought accentuate sexual saliencies bodies,women odorous,— women would inevitably seek supplement natural defects respect accentuate odorous qualities way corsets bustles even civilization sought accentuate sexual saliencies bodies odorous,0.09090909090909091,1.0,0.13043478260869565,1.0
48,414,414,927,020E A H Swinton 1880 Insect Variety__210_SCIE.txt,9,"In other genera certain “ plumules / ' or club-shaped scales , fringed with fine hair , have been accused of possessing scent properties .",plumules club-shaped scales scent,Olfactive,Smell\_Source,25,genera certain “ plumules clubshaped scales fringed fine hair accused possessing scent properties,plumules clubshaped scales scent,genera certain “ plumules clubshaped scales fringed fine hair accused possessing scent properties scent,0.3076923076923077,1.0,0.35714285714285715,1.0
49,199,199,440,014E John Floyer 1687 Pharmako Basnos__2427_MED.txt,28,"The Second Class of Aromaticks , is the Bitterish Aromaticks , as Rosemary , Marjoram , Basil , Calamint , and Penny-Royal : By their Bitterness adjoyned to their Volatile Oyl and Salt , they correct Acids in the Stomach , cleanse the Lungs , and open Obstructions in the Glands , caused by coagulate Serum .",Bitterish Rosemary Marjoram Basil Calamint Penny-Royal Aromaticks,Olfactive,Quality,57,second class aromaticks bitterish aromaticks rosemary marjoram basil calamint pennyroyal bitterness adjoyned volatile oyl salt correct acids stomach cleanse lungs open obstructions glands caused coagulate serum,bitterish rosemary marjoram basil calamint pennyroyal aromaticks,aromaticks bitterish aromaticks rosemary marjoram,1.0,0.42857142857142855,1.0,0.5714285714285714
