,index,Unnamed: 0,text,output,label,spellchecked_text,normalized_text,token,sentence,ref_type,clean_sentence,clean_token,pred_token,prec,rec,enriched_prec,enriched_rec
10,447,601,clusters of small bananas on a table behind bars.,['bananas'],"[{'start': 18, 'end': 25, 'text': 'bananas', 'labels': ['ENTITY']}]",clusters of small bananas on a table behind bars,cluster small banana table bar,bananas,clusters of small bananas on a table behind bars.,Olfactive,clusters small bananas table behind bars,bananas,table,0.0,0.0,0.0,0.0
11,665,896,a woman is hitting a tennis ball across the tennis court,"['tennis ball', 'woman', 'tennis court']","[{'start': 21, 'end': 32, 'text': 'tennis ball', 'labels': ['ENTITY']}, {'start': 2, 'end': 7, 'text': 'woman', 'labels': ['ENTITY']}, {'start': 44, 'end': 56, 'text': 'tennis court', 'labels': ['ENTITY']}]",a woman is hitting a tennis ball across the tennis court,woman hit tennis ball tennis court,tennis ball woman tennis court,a woman is hitting a tennis ball across the tennis court,Olfactive,woman hitting tennis ball across tennis court,tennis ball woman tennis court,tennis,1.0,0.4,1.0,0.4
12,872,1144,the big ben clock tower sitting beneath a fog filled sky.,['ben clock'],"[{'start': 8, 'end': 17, 'text': 'ben clock', 'labels': ['ENTITY']}]",the big ben clock tower sitting beneath a fog filled sky,tower sit fog fill sky,ben clock,the big ben clock tower sitting beneath a fog filled sky.,Olfactive,big ben clock tower sitting beneath fog filled sky,ben clock,,0.0,0.0,0.0,0.0
13,682,916,a baseball player at home plate preparing to swing.,['baseball player'],"[{'start': 2, 'end': 17, 'text': 'baseball player', 'labels': ['ENTITY']}]",a baseball player at home plate preparing to swing,baseball player home plate prepare swing,baseball player,a baseball player at home plate preparing to swing.,Olfactive,baseball player home plate preparing swing,baseball player,,0.0,0.0,0.0,0.0
14,382,522,a man in uniform with a bunch of guys in line.,"['guys', 'man']","[{'start': 33, 'end': 37, 'text': 'guys', 'labels': ['ENTITY']}, {'start': 2, 'end': 5, 'text': 'man', 'labels': ['ENTITY']}]",a man in uniform with a bunch of guys in line,man uniform bunch guy line,guys man,a man in uniform with a bunch of guys in line.,Olfactive,man uniform bunch guys line,guys man,,0.0,0.0,0.0,0.0
15,66,83,an airplane sitting on the water next to a dock.,"['airplane', 'water']","[{'start': 3, 'end': 11, 'text': 'airplane', 'labels': ['ENTITY']}, {'start': 27, 'end': 32, 'text': 'water', 'labels': ['ENTITY']}]",an airplane sitting on the water next to a dock,airplane sit water dock,airplane water,an airplane sitting on the water next to a dock.,Olfactive,airplane sitting water next dock,airplane water,,0.0,0.0,0.0,0.0
16,740,987,a baseball player getting ready to swing his bat.,['baseball player'],"[{'start': 2, 'end': 17, 'text': 'baseball player', 'labels': ['ENTITY']}]",a baseball player getting ready to swing his bath,baseball player get ready swing bath,baseball player,a baseball player getting ready to swing his bat.,Olfactive,baseball player getting ready swing bat,baseball player,,0.0,0.0,0.0,0.0
17,617,844,a young man appears to be taking a break from the waves. ,"['break', 'waves', 'man']","[{'start': 35, 'end': 40, 'text': 'break', 'labels': ['ENTITY']}, {'start': 50, 'end': 55, 'text': 'waves', 'labels': ['ENTITY']}, {'start': 8, 'end': 11, 'text': 'man', 'labels': ['ENTITY']}]",a young man appears to be taking a break from the waves,young man appear take break wave,break waves man,a young man appears to be taking a break from the waves. ,Olfactive,young man appears taking break waves,break waves man,,0.0,0.0,0.0,0.0
18,912,1210,a stuffed bear laying on the ground in some water.,"['water', 'bear']","[{'start': 44, 'end': 49, 'text': 'water', 'labels': ['ENTITY']}, {'start': 10, 'end': 14, 'text': 'bear', 'labels': ['ENTITY']}]",a stuffed bear laying on the ground in some water,stuff bear lay ground water,water bear,a stuffed bear laying on the ground in some water.,Olfactive,stuffed bear laying ground water,water bear,,0.0,0.0,0.0,0.0
19,745,995,a uniformed baseball player poses with a bat in the air.,['baseball player'],"[{'start': 12, 'end': 27, 'text': 'baseball player', 'labels': ['ENTITY']}]",a uniformed baseball player poses with a bat in the air,uniformed baseball player pose bat air,baseball player,a uniformed baseball player poses with a bat in the air.,Olfactive,uniformed baseball player poses bat air,baseball player,,0.0,0.0,0.0,0.0
20,765,1019,a baseball player pitching a ball on top of a field.,"['baseball player', 'ball']","[{'start': 2, 'end': 17, 'text': 'baseball player', 'labels': ['ENTITY']}, {'start': 6, 'end': 10, 'text': 'ball', 'labels': ['ENTITY']}]",a baseball player pitching a ball on top of a field,baseball player pitch ball field,baseball player ball,a baseball player pitching a ball on top of a field.,Olfactive,baseball player pitching ball top field,baseball player ball,pitching,0.0,0.0,0.0,0.0
21,436,586,a close up of a sheet of paper with a piece of bread near two glasses of wine,"['paper', 'sheet', 'close', 'wine']","[{'start': 25, 'end': 30, 'text': 'paper', 'labels': ['ENTITY']}, {'start': 16, 'end': 21, 'text': 'sheet', 'labels': ['ENTITY']}, {'start': 2, 'end': 7, 'text': 'close', 'labels': ['ENTITY']}, {'start': 73, 'end': 77, 'text': 'wine', 'labels': ['ENTITY']}]",a close up of a sheet of paper with a piece of bread near two glasses of wine,close sheet paper piece bread glass wine,paper sheet close wine,a close up of a sheet of paper with a piece of bread near two glasses of wine,Olfactive,close sheet paper piece bread near two glasses wine,paper sheet close wine,,0.0,0.0,0.0,0.0
22,440,590,two small brown and black dogs standing next to each other.,['dogs'],"[{'start': 26, 'end': 30, 'text': 'dogs', 'labels': ['ENTITY']}]",two small brown and black dogs standing next to each other,small brown black dog stand,dogs,two small brown and black dogs standing next to each other.,Olfactive,two small brown black dogs standing next,dogs,brown,0.0,0.0,0.0,0.0
23,318,448,"a quite cluttered desk with a lap and many other office material, plus a cat. ",['cat'],"[{'start': 73, 'end': 76, 'text': 'cat', 'labels': ['ENTITY']}]",a quite cluttered desk with a lap and many other office material plus a cat,cluttered desk lap office material cat,cat,"a quite cluttered desk with a lap and many other office material, plus a cat. ",Olfactive,quite cluttered desk lap many office material plus cat,cat,clut,0.0,0.0,0.0,0.0
24,512,710,"a tray with bread, cheese, fruits and vegetables.","['bread', 'cheese']","[{'start': 12, 'end': 17, 'text': 'bread', 'labels': ['ENTITY']}, {'start': 19, 'end': 25, 'text': 'cheese', 'labels': ['ENTITY']}]",a tray with bread cheese fruits and vegetables,tray bread cheese fruit vegetable,bread cheese,"a tray with bread, cheese, fruits and vegetables.",Olfactive,tray bread cheese fruits vegetables,bread cheese,cheese,1.0,0.5,1.0,0.5
25,174,285,a train engine that is being looked over by an train engineer.,"['train engine', 'train engineer']","[{'start': 2, 'end': 14, 'text': 'train engine', 'labels': ['ENTITY']}, {'start': 47, 'end': 61, 'text': 'train engineer', 'labels': ['ENTITY']}]",a train engine that is being looked over by an train engineer,train engine look train engineer,train engine train engineer,a train engine that is being looked over by an train engineer.,Olfactive,train engine looked train engineer,train engine train engineer,,0.0,0.0,0.0,0.0
26,497,688,this is a still life of fruit and an old man.,"['life', 'fruit']","[{'start': 16, 'end': 20, 'text': 'life', 'labels': ['ENTITY']}, {'start': 24, 'end': 29, 'text': 'fruit', 'labels': ['ENTITY']}]",this is a still life of fruit and an old man,life fruit old man,life fruit,this is a still life of fruit and an old man.,Olfactive,still life fruit old man,life fruit,,0.0,0.0,0.0,0.0
27,723,963,entrance of a large building with a clock on the front. ,['clock'],"[{'start': 36, 'end': 41, 'text': 'clock', 'labels': ['ENTITY']}]",entrance of a large building with a clock on the front,entrance large building clock,clock,entrance of a large building with a clock on the front. ,Olfactive,entrance large building clock front,clock,,0.0,0.0,0.0,0.0
28,679,912,an unoccupied room with wooden flooring and a fireplace.,['fireplace'],"[{'start': 46, 'end': 55, 'text': 'fireplace', 'labels': ['ENTITY']}]",an unoccupied room with wooden flooring and a fireplace,unoccupied room wooden flooring fireplace,fireplace,an unoccupied room with wooden flooring and a fireplace.,Olfactive,unoccupied room wooden flooring fireplace,fireplace,floor,0.0,0.0,0.0,0.0
29,120,191,a sign asking for witnesses is posted in front of a destroyed home.,['witnesses'],"[{'start': 18, 'end': 27, 'text': 'witnesses', 'labels': ['ENTITY']}]",a sign asking for witnesses is posted in front of a destroyed home,sign ask witness post destroy home,witnesses,a sign asking for witnesses is posted in front of a destroyed home.,Olfactive,sign asking witnesses posted front destroyed home,witnesses,,0.0,0.0,0.0,0.0
30,110,168,two birds perched on sticks on the water.,"['water', 'birds']","[{'start': 35, 'end': 40, 'text': 'water', 'labels': ['ENTITY']}, {'start': 4, 'end': 9, 'text': 'birds', 'labels': ['ENTITY']}]",two birds perched on sticks on the water,bird perch stick water,water birds,two birds perched on sticks on the water.,Olfactive,two birds perched sticks water,water birds,,0.0,0.0,0.0,0.0
31,878,1160,a fridge in front of a white back door  ,['fridge'],"[{'start': 2, 'end': 8, 'text': 'fridge', 'labels': ['ENTITY']}]",a fridge in front of a white back door,fridge white door,fridge,a fridge in front of a white back door  ,Olfactive,fridge front white back door,fridge,,0.0,0.0,0.0,0.0
32,754,1004,a baseball player hit the ball with his bat.,"['baseball player', 'bat', 'ball']","[{'start': 2, 'end': 17, 'text': 'baseball player', 'labels': ['ENTITY']}, {'start': 40, 'end': 43, 'text': 'bat', 'labels': ['ENTITY']}, {'start': 6, 'end': 10, 'text': 'ball', 'labels': ['ENTITY']}]",a baseball player hit the ball with his bath,baseball player hit ball bath,baseball player bat ball,a baseball player hit the ball with his bat.,Olfactive,baseball player hit ball bat,baseball player bat ball,,0.0,0.0,0.0,0.0
33,468,644,a polar bear presses down on a plastic bin in a river.,"['river', 'bear']","[{'start': 48, 'end': 53, 'text': 'river', 'labels': ['ENTITY']}, {'start': 8, 'end': 12, 'text': 'bear', 'labels': ['ENTITY']}]",a polar bear presses down on a plastic bin in a river,polar bear press plastic bin river,river bear,a polar bear presses down on a plastic bin in a river.,Olfactive,polar bear presses plastic bin river,river bear,,0.0,0.0,0.0,0.0
34,417,562,a woman eats a candied apple while riding a beach amusement ferris wheel.,"['woman', 'beach amusement ferris wheel', 'amusement ferris wheel']","[{'start': 2, 'end': 7, 'text': 'woman', 'labels': ['ENTITY']}, {'start': 44, 'end': 72, 'text': 'beach amusement ferris wheel', 'labels': ['ENTITY']}, {'start': 50, 'end': 72, 'text': 'amusement ferris wheel', 'labels': ['ENTITY']}]",a woman eats a candied apple while riding a beach amusement ferris wheel,woman eat candy apple ride beach amusement wheel,woman beach amusement ferris wheel amusement ferris wheel,a woman eats a candied apple while riding a beach amusement ferris wheel.,Olfactive,woman eats candied apple riding beach amusement ferris wheel,woman beach amusement ferris wheel amusement ferris wheel,cand,0.0,0.0,0.0,0.0
35,306,435,three people are riding on a brown elephant.,"['people', 'elephant']","[{'start': 6, 'end': 12, 'text': 'people', 'labels': ['ENTITY']}, {'start': 35, 'end': 43, 'text': 'elephant', 'labels': ['ENTITY']}]",three people are riding on a brown elephant,people ride brown elephant,people elephant,three people are riding on a brown elephant.,Olfactive,three people riding brown elephant,people elephant,,0.0,0.0,0.0,0.0
36,559,770,a woman standing on a tennis court holding a racquet.,"['woman', 'racquet', 'tennis court']","[{'start': 2, 'end': 7, 'text': 'woman', 'labels': ['ENTITY']}, {'start': 45, 'end': 52, 'text': 'racquet', 'labels': ['ENTITY']}, {'start': 22, 'end': 34, 'text': 'tennis court', 'labels': ['ENTITY']}]",a woman standing on a tennis court holding a racquet,woman stand tennis court hold racquet,woman racquet tennis court,a woman standing on a tennis court holding a racquet.,Olfactive,woman standing tennis court holding racquet,woman racquet tennis court,racquet,1.0,0.25,1.0,0.25
37,244,358,a woman is laying on a bed wearing heels with butt exposed.,['woman'],"[{'start': 2, 'end': 7, 'text': 'woman', 'labels': ['ENTITY']}]",a woman is laying on a bed wearing heels with butt exposed,woman lay bed wear heel butt expose,woman,a woman is laying on a bed wearing heels with butt exposed.,Olfactive,woman laying bed wearing heels butt exposed,woman,,0.0,0.0,0.0,0.0
38,370,500,there is a battleship floating in the water.,['water'],"[{'start': 38, 'end': 43, 'text': 'water', 'labels': ['ENTITY']}]",there is a battleship floating in the water,battleship float water,water,there is a battleship floating in the water.,Olfactive,battleship floating water,water,,0.0,0.0,0.0,0.0
39,522,726,a little boy is laying on a white mattress on the wooden floor.,['boy'],"[{'start': 9, 'end': 12, 'text': 'boy', 'labels': ['ENTITY']}]",a little boy is laying on a white mattress on the wooden floor,little boy lay white mattress wooden floor,boy,a little boy is laying on a white mattress on the wooden floor.,Olfactive,little boy laying white mattress wooden floor,boy,white,0.0,0.0,0.0,0.0
40,365,495,a couple of elephants standing next to each other.,['elephants'],"[{'start': 12, 'end': 21, 'text': 'elephants', 'labels': ['ENTITY']}]",a couple of elephants standing next to each other,couple elephant stand,elephants,a couple of elephants standing next to each other.,Olfactive,couple elephants standing next,elephants,,0.0,0.0,0.0,0.0
41,584,796,"
a cast iron pot over hot coals with food cooking in it.",['food cooking'],"[{'start': 37, 'end': 49, 'text': 'food cooking', 'labels': ['ENTITY']}]",a cast iron pot over hot coals with food cooking in it,cast iron pot hot coal food cook,food cooking,"
a cast iron pot over hot coals with food cooking in it.",Olfactive,cast iron pot hot coals food cooking,food cooking,cooking,1.0,0.5,1.0,0.5
42,669,900,a tennis player has her racket raised and a ball is in the air.,"['tennis player', 'racket']","[{'start': 2, 'end': 15, 'text': 'tennis player', 'labels': ['ENTITY']}, {'start': 24, 'end': 30, 'text': 'racket', 'labels': ['ENTITY']}]",a tennis player has her racket raised and a ball is in the air,tennis player racket raise ball air,tennis player racket,a tennis player has her racket raised and a ball is in the air.,Olfactive,tennis player racket raised ball air,tennis player racket,racket,1.0,0.3333333333333333,1.0,0.3333333333333333
43,307,436,a large elephant with a couple people on the top.,"['people', 'elephant']","[{'start': 31, 'end': 37, 'text': 'people', 'labels': ['ENTITY']}, {'start': 8, 'end': 16, 'text': 'elephant', 'labels': ['ENTITY']}]",a large elephant with a couple people on the top,large elephant couple people,people elephant,a large elephant with a couple people on the top.,Olfactive,large elephant couple people top,people elephant,,0.0,0.0,0.0,0.0
44,653,883,young boys sitting at table enjoying lunch on deck.,['boys'],"[{'start': 6, 'end': 10, 'text': 'boys', 'labels': ['ENTITY']}]",young boys sitting at table enjoying lunch on deck,young boy sit table enjoy lunch deck,boys,young boys sitting at table enjoying lunch on deck.,Olfactive,young boys sitting table enjoying lunch deck,boys,,0.0,0.0,0.0,0.0
45,254,374,a bunch of animals on a beach near the water.,['water'],"[{'start': 39, 'end': 44, 'text': 'water', 'labels': ['ENTITY']}]",a bunch of animals on a beach near the water,bunch animal beach water,water,a bunch of animals on a beach near the water.,Olfactive,bunch animals beach near water,water,,0.0,0.0,0.0,0.0
46,837,1101,a young child and cat in a living room.,"['cat', 'child']","[{'start': 18, 'end': 21, 'text': 'cat', 'labels': ['ENTITY']}, {'start': 8, 'end': 13, 'text': 'child', 'labels': ['ENTITY']}]",a young child and cat in a living room,young child cat live room,cat child,a young child and cat in a living room.,Olfactive,young child cat living room,cat child,living,0.0,0.0,0.0,0.0
47,302,431,people ride an elephant through a path in the forest.,"['people', 'elephant']","[{'start': 0, 'end': 6, 'text': 'people', 'labels': ['ENTITY']}, {'start': 15, 'end': 23, 'text': 'elephant', 'labels': ['ENTITY']}]",people ride an elephant through a path in the forest,people ride elephant path forest,people elephant,people ride an elephant through a path in the forest.,Olfactive,people ride elephant path forest,people elephant,,0.0,0.0,0.0,0.0
48,518,716,some different foods are laying out on a table,['foods'],"[{'start': 15, 'end': 20, 'text': 'foods', 'labels': ['ENTITY']}]",some different foods are laying out on a table,different food lay table,foods,some different foods are laying out on a table,Olfactive,different foods laying table,foods,,0.0,0.0,0.0,0.0
49,198,311,a few empty boats at a river ride,['river ride'],"[{'start': 23, 'end': 33, 'text': 'river ride', 'labels': ['ENTITY']}]",a few empty boats at a river ride,boat river ride,river ride,a few empty boats at a river ride,Olfactive,empty boats river ride,river ride,,0.0,0.0,0.0,0.0
50,451,621,an airplane meal including a sandwich and coffee.,['airplane meal'],"[{'start': 3, 'end': 16, 'text': 'airplane meal', 'labels': ['ENTITY']}]",an airplane meal including a sandwich and coffee,airplane meal include sandwich coffee,airplane meal,an airplane meal including a sandwich and coffee.,Olfactive,airplane meal including sandwich coffee,airplane meal,coffee,0.0,0.0,0.0,0.0
51,352,482,a boy standing next to a fence in front of a vintage train.,"['train', 'boy']","[{'start': 53, 'end': 58, 'text': 'train', 'labels': ['ENTITY']}, {'start': 2, 'end': 5, 'text': 'boy', 'labels': ['ENTITY']}]",a boy standing next to a fence in front of a vintage train,boy stand fence vintage train,train boy,a boy standing next to a fence in front of a vintage train.,Olfactive,boy standing next fence front vintage train,train boy,,0.0,0.0,0.0,0.0
52,917,1216,a wet teddy bear is on the ground by a car.,['car'],"[{'start': 39, 'end': 42, 'text': 'car', 'labels': ['ENTITY']}]",a wet teddy bear is on the ground by a care,wet bear ground care,car,a wet teddy bear is on the ground by a car.,Olfactive,wet teddy bear ground car,car,eddy,0.0,0.0,0.0,0.0
53,78,120,this kitchen seems to have been burnt all appliances are burned,['appliances'],"[{'start': 42, 'end': 52, 'text': 'appliances', 'labels': ['ENTITY']}]",this kitchen seems to have been burnt all appliances are burned,kitchen burn appliance burn,appliances,this kitchen seems to have been burnt all appliances are burned,Olfactive,kitchen seems burnt appliances burned,appliances,appliances,1.0,1.0,1.0,1.0
54,605,832,two men in kitchen preparing hot dog buns.,['men'],"[{'start': 4, 'end': 7, 'text': 'men', 'labels': ['ENTITY']}]",two men in kitchen preparing hot dog buns,man kitchen prepare hot dog bun,men,two men in kitchen preparing hot dog buns.,Olfactive,two men kitchen preparing hot dog buns,men,hot,0.0,0.0,0.0,0.0
55,323,453,an elephant looking through a gray meshed area.,['elephant'],"[{'start': 3, 'end': 11, 'text': 'elephant', 'labels': ['ENTITY']}]",an elephant looking through a gray meshed area,elephant look gray mesh area,elephant,an elephant looking through a gray meshed area.,Olfactive,elephant looking gray meshed area,elephant,mes,0.0,0.0,0.0,0.0
56,275,402,a blurred cat sitting in front of a screen.,['cat'],"[{'start': 10, 'end': 13, 'text': 'cat', 'labels': ['ENTITY']}]",a blurred cat sitting in front of a screen,blurred cat sit screen,cat,a blurred cat sitting in front of a screen.,Olfactive,blurred cat sitting front screen,cat,,0.0,0.0,0.0,0.0
57,411,555,a beautiful young lady eating a candy apple on an amusement park ride.,"['amusement park', 'lady']","[{'start': 50, 'end': 64, 'text': 'amusement park', 'labels': ['ENTITY']}, {'start': 18, 'end': 22, 'text': 'lady', 'labels': ['ENTITY']}]",a beautiful young lady eating a candy apple on an amusement park ride,beautiful young lady eat candy apple amusement park ride,amusement park lady,a beautiful young lady eating a candy apple on an amusement park ride.,Olfactive,beautiful young lady eating candy apple amusement park ride,amusement park lady,,0.0,0.0,0.0,0.0
58,601,819,a bunch of hot dogs sitting next to each other on a table.,['table'],"[{'start': 52, 'end': 57, 'text': 'table', 'labels': ['ENTITY']}]",a bunch of hot dogs sitting next to each other on a table,bunch hot dog sit table,table,a bunch of hot dogs sitting next to each other on a table.,Olfactive,bunch hot dogs sitting next table,table,hot,0.0,0.0,0.0,0.0
59,547,758,two young boys sitting in the back of a truck while holding tennis racquets.,"['boys', 'truck', 'tennis racquets']","[{'start': 10, 'end': 14, 'text': 'boys', 'labels': ['ENTITY']}, {'start': 40, 'end': 45, 'text': 'truck', 'labels': ['ENTITY']}, {'start': 60, 'end': 75, 'text': 'tennis racquets', 'labels': ['ENTITY']}]",two young boys sitting in the back of a truck while holding tennis racquets,young boy sit truck hold tennis racquet,boys truck tennis racquets,two young boys sitting in the back of a truck while holding tennis racquets.,Olfactive,two young boys sitting back truck holding tennis racquets,boys truck tennis racquets,racquets,1.0,0.25,1.0,0.25
60,394,534,a man is standing in a blue shirt,['man'],"[{'start': 2, 'end': 5, 'text': 'man', 'labels': ['ENTITY']}]",a man is standing in a blue shirt,man stand blue shirt,man,a man is standing in a blue shirt,Olfactive,man standing blue shirt,man,,0.0,0.0,0.0,0.0
61,65,82,a small kitchen adjacent to a living room and dining area,"['dining area', 'living room']","[{'start': 46, 'end': 57, 'text': 'dining area', 'labels': ['ENTITY']}, {'start': 30, 'end': 41, 'text': 'living room', 'labels': ['ENTITY']}]",a small kitchen adjacent to a living room and dining area,small kitchen adjacent living room dining area,dining area living room,a small kitchen adjacent to a living room and dining area,Olfactive,small kitchen adjacent living room dining area,dining area living room,dining,1.0,0.25,1.0,0.25
62,141,232,there are three birds each standing on one leg on wet ground.,['birds'],"[{'start': 16, 'end': 21, 'text': 'birds', 'labels': ['ENTITY']}]",there are three birds each standing on one leg on wet ground,bird stand leg wet ground,birds,there are three birds each standing on one leg on wet ground.,Olfactive,three birds standing one leg wet ground,birds,,0.0,0.0,0.0,0.0
63,644,874,a man smiling showing off a loaded pizza ,['man'],"[{'start': 2, 'end': 5, 'text': 'man', 'labels': ['ENTITY']}]",a man smiling showing off a loaded pizza,man smile show loaded pizza,man,a man smiling showing off a loaded pizza ,Olfactive,man smiling showing loaded pizza,man,,0.0,0.0,0.0,0.0
64,589,804,a woman laying on top of a surfboard in the ocean.,"['woman', 'ocean']","[{'start': 2, 'end': 7, 'text': 'woman', 'labels': ['ENTITY']}, {'start': 44, 'end': 49, 'text': 'ocean', 'labels': ['ENTITY']}]",a woman laying on top of a surfboard in the ocean,woman lay surfboard ocean,woman ocean,a woman laying on top of a surfboard in the ocean.,Olfactive,woman laying top surfboard ocean,woman ocean,,0.0,0.0,0.0,0.0
65,493,684,"in asia, the outdoor market has plentiful fresh local produce.",['market'],"[{'start': 21, 'end': 27, 'text': 'market', 'labels': ['ENTITY']}]",in asian the outdoor market has plentiful fresh local produce,asian outdoor market plentiful fresh local produce,market,"in asia, the outdoor market has plentiful fresh local produce.",Olfactive,asia outdoor market plentiful fresh local produce,market,,0.0,0.0,0.0,0.0
66,622,849,a man is riding on the back end of his surfboard,['man'],"[{'start': 2, 'end': 5, 'text': 'man', 'labels': ['ENTITY']}]",a man is riding on the back end of his surfboard,man ride end surfboard,man,a man is riding on the back end of his surfboard,Olfactive,man riding back end surfboard,man,,0.0,0.0,0.0,0.0
67,362,492,heavily equipped boats are prepared to go to sea. ,"['boats', 'sea']","[{'start': 17, 'end': 22, 'text': 'boats', 'labels': ['ENTITY']}, {'start': 45, 'end': 48, 'text': 'sea', 'labels': ['ENTITY']}]",heavily equipped boats are prepared to go to sea,heavily equip boat prepared sea,boats sea,heavily equipped boats are prepared to go to sea. ,Olfactive,heavily equipped boats prepared go sea,boats sea,,0.0,0.0,0.0,0.0
68,883,1166,two cellphones that are laying on a blanket.,['cellphones'],"[{'start': 4, 'end': 14, 'text': 'cellphones', 'labels': ['ENTITY']}]",two cellphones that are laying on a blanket,cellphone lay blanket,cellphones,two cellphones that are laying on a blanket.,Olfactive,two cellphones laying blanket,cellphones,cellphones,1.0,1.0,1.0,1.0
69,673,906,a man is holding a blue surfboard beside a sign at the beach,['man'],"[{'start': 2, 'end': 5, 'text': 'man', 'labels': ['ENTITY']}]",a man is holding a blue surfboard beside a sign at the beach,man hold blue surfboard sign beach,man,a man is holding a blue surfboard beside a sign at the beach,Olfactive,man holding blue surfboard beside sign beach,man,,0.0,0.0,0.0,0.0
70,634,863,a smiling man holding up a small pizza with toppings.,['man'],"[{'start': 10, 'end': 13, 'text': 'man', 'labels': ['ENTITY']}]",a smiling man holding up a small pizza with toppings,smile man hold small pizza topping,man,a smiling man holding up a small pizza with toppings.,Olfactive,smiling man holding small pizza toppings,man,topp,0.0,0.0,0.0,0.0
71,260,380,cows wander and laze on a white sand beach,['cows'],"[{'start': 0, 'end': 4, 'text': 'cows', 'labels': ['ENTITY']}]",cows wander and laze on a white sand beach,cow wander laze white sand beach,cows,cows wander and laze on a white sand beach,Olfactive,cows wander laze white sand beach,cows,,0.0,0.0,0.0,0.0
