,index,Unnamed: 0,sentence,potential_positives,token,eval,type,Unnamed: 5,spellchecked_text,clean_sentence,clean_token,ref_type,pred_token,prec,rec
13,553,553,"554. Sculptors shaped marble blocks, unveiling figures beneath chiseling over time.","['Sculptors', 'marble blocks']",shaped marble blocks,1.0,"people, material",,shaped marble blocks,sculptor shape marble block unveil figure chisel time,shape marble block,Olfactive,sculptor shape marble block unveil figure chisel,0.42857142857142855,1.0
14,414,414,"415. Submarines patrolled coastlines, conducting research for marine conservation initiatives globally.","['coastlines', 'marine']",coastlines,1.0,"environment, nature",,coastlines,submarine patrol coastline conduct research marine conservation initiative globally,coastline,Olfactive,marine conservation,0.0,0.0
15,456,456,"457. Lunar geologists gathered samples, studying unique crater formations across terrains.","['geologists', 'samples']",samples,1.0,"people, material",,samples,lunar geologist gather sample study unique crater formation terrain,sample,Olfactive,unique crater formation terrain,0.0,0.0
16,504,504,"505. Farmstead families gathered harvests, celebrating traditions passed down through generations.","['Farmstead families', 'harvests']",harvests,1.0,"people, plant",,harvests,family gather harvest celebrate tradition pass generation,harvest,Olfactive,tradition,0.0,0.0
17,7,7,8. Cold ocean currents guided icebergs across distant northern shipping lanes.,"['ocean', 'icebergs']",ocean,1.0,environment,,ocean,cold ocean current guide iceberg distant northern shipping lane,ocean,Olfactive,cold ocean current,0.3333333333333333,1.0
18,413,413,"414. Botanical gardens flourished, displaying rare petals under advanced greenhouse technologies.","['Botanical gardens', 'flourished', 'petals', 'greenhouse']","gardens, flourished, petals, greenhouse",1.0,"environment, nature, plant",,gardens flourished petals greenhouse,botanical garden flourish display rare petal advanced greenhouse technology,garden flourish petal greenhouse,Olfactive,botanical garden flourish display rare petal advanced greenhouse technology,0.4444444444444444,1.0
19,85,85,"86. Falcons soared overhead, scanning valleys for prey hidden among brush.","['Falcons', 'valleys', 'brush']",brush,1.0,"environment, animal",,brush,falcon soar overhead scan valley prey hide brush,brush,Olfactive,falcon,0.0,0.0
20,454,454,"455. Park managers removed invasive plants, helping ecosystems restore natural diversity.","['Park managers', 'invasive plants', 'ecosystems', 'natural diversity']","plant, ecosystems natural diversity",1.0,"environment, people, nature, plant",,plant ecosystems natural diversity,park manager remove invasive plant help ecosystem restore natural diversity,plant ecosystem natural diversity,Olfactive,invasive plant,0.5,0.25
21,48,48,"49. Breathtaking hot-air balloons floated over farmland, pleasing crowds at sunrise festivals.","['farmland', 'crowds', 'festivals']",farmland,0.0,"environment, people",,farmland,breathtaking hot air balloon float farmland pleasing crowd sunrise festival,farmland,Olfactive,hot air balloon,0.0,0.0
22,222,222,"223. Lighthouse keepers maintained beacons, guiding ships safely past dangerous offshore reefs","['Lighthouse keepers', 'beacons', 'offshore reefs']",reefs,0.0,"environment, people, object, nature",ambigu,reefs,lighthouse keeper maintain beacon guide ship safely dangerous offshore reef,reef,Olfactive,dangerous offshore reef,0.3333333333333333,1.0
23,637,637,"638. Freediver championships tested endurance, challenging participants across depths near reefs.","['Freediver', 'reefs']",reefs,1.0,"environment, people",,reefs,greedy championship test endurance challenge participant depth reef,reef,Olfactive,depth reef,0.5,1.0
24,230,230,"231. Bird watchers identified warblers, logging movements across seasonal migratory corridors","['Bird watchers', 'warblers,']",Bird,1.0,"environment, animal, people",ambigu,Bird,bird watcher identify warbler log movement seasonal migratory corridor,bird,Olfactive,bird watcher,0.5,1.0
25,38,38,"39. Wildlife photographers crawled cautiously behind bushes, capturing breathtaking safari snapshots today.","['bushes,', 'safari']",bushes,1.0,"plant, environment, people",,bushes,wildlife photographer crawl cautiously bush capture breathtaking safari snapshot today,bush,Olfactive,wildlife photographer crawl cautiously bush capture breathtaking safari snapshot,0.1111111111111111,1.0
26,399,399,"400. Farmers markets attracted shoppers, supporting local trades amid vibrant weekend communities.","['Farmers markets', 'shoppers', 'communities.']",Farmers markets,1.0,"environment, people, natural product, aliment",,Farmers markets,farmer market attract shopper support local trade vibrant weekend community,farmer market,Olfactive,farmer market attract shopper support local trade,0.2857142857142857,1.0
27,236,236,"237. Sculptors chiseled granite, shaping monuments commemorating influential political leaders worldwide","['Sculptors', 'chiseled granite']",chiseled granite,1.0,"people, material",,chiseled granite,sculptor chisel granite shaping monument commemorate influential political leader worldwide,chiseled granite,Olfactive,chiseled granite shaping monument,0.5,1.0
28,633,633,"634. Pathologists examined tissues, aiding physicians diagnosing ailments inside hospital environments.","['Pathologists', 'tissues', 'hospital environments']","tissues, hospital",1.0,"environment, people, object",,tissues hospital,pathologist examine tissue aid physician diagnose ailment hospital environment,tissue hospital,Olfactive,pathologist,0.0,0.0
29,230,230,"231. Bird watchers identified warblers, logging movements across seasonal migratory corridors","['Bird watchers', 'warblers,']",Bird,1.0,"environment, animal, people",ambigu,Bird,bird watcher identify warbler log movement seasonal migratory corridor,bird,Olfactive,bird watcher,0.5,1.0
30,74,74,"75. Red foxes roamed farmland edges, stalking rodents scurrying between fields.","['Red foxes', 'farmland', 'rodents']","foxes', 'farmland','rodents'",1.0,"environment, animal",ambigu,"foxes 'farmland','rodents'",red fox roam farmland edge stalk rodent scurry field,fox farmlandrodent,Olfactive,red fox,0.5,0.5
31,187,187,"188. veterinarians stabilized frightened animals, administering treatments despite available clinic resources.","['veterinarians','frightened animals', 'treatments']",animals,1.0,"people, animal",,animals,veterinarian stabilize frightened animal administer treatment available clinic resource,animal,Olfactive,frightened animal,0.5,1.0
32,419,419,"420. Blacksmiths repaired vintage armors, sustaining traditions once forgotten by modernization.","['Blacksmiths', 'vintage armors']",Blacksmiths repaired,1.0,"people, material, chemical",,Blacksmiths repaired,blacksmith repair vintage armor sustain tradition forget modernization,blacksmith repair,Olfactive,blacksmith repair vintage armor,0.5,1.0
33,193,193,"194. boat crews coordinated schedules, transporting passengers between coastal harbor terminals.","['boat crews', 'passengers', 'coasta harbor']",oasta harbor,1.0,"environment, people, nature",,pasta harbor,boat crew coordinate schedule transport passenger coastal harbor terminal,pasta harbor,Olfactive,boat crew,0.0,0.0
34,637,637,"638. Freediver championships tested endurance, challenging participants across depths near reefs.","['Freediver', 'reefs']",reefs,1.0,"environment, people",,reefs,greedy championship test endurance challenge participant depth reef,reef,Olfactive,depth reef,0.5,1.0
35,91,91,"92. Exhausted marathon runners chugged electrolyte drinks, recuperating beneath temporary race tents.","['marathon runners', 'electrolyte drinks', 'race tents.']",electrolyte drinks,1.0,"environment, people, aliment",,electrolyte drinks,exhausted marathon runner chug electrolyte drink recuperate temporary race tent,electrolyte drink,Olfactive,chug electrolyte,0.5,0.5
36,452,452,"453. Shelter organizers recruited foster families, rehabilitating abandoned pets needing environments.","['Shelter', 'families', 'abandoned pets']",pets,1.0,"environment, animal, people",,pets,shelter organizer recruit foster family rehabilitate abandon pet need environment,pet,Olfactive,pet need environment,0.3333333333333333,1.0
37,188,188,"189. Seasonal floods threatened farmland, prompting defensive barriers amid concerns communities.","['Seasonal floods', 'farmland']","floods, farmland",1.0,"environment, event, nature",,floods farmland,seasonal flood threaten farmland prompt defensive barrier concern community,flood farmland,Olfactive,seasonal flood threaten farmland prompt defensive barrier concern community,0.2222222222222222,1.0
38,504,504,"505. Farmstead families gathered harvests, celebrating traditions passed down through generations.","['Farmstead families', 'harvests']",harvests,1.0,"people, plant",,harvests,family gather harvest celebrate tradition pass generation,harvest,Olfactive,tradition,0.0,0.0
39,32,32,"33. Ivy gradually covered abandoned walls, reclaiming crumbling bricks without hesitation.",['Ivy'],Ivy,1.0,plant,,Ivy,gradually cover abandon wall reclaim crumble brick hesitation,ivy,Olfactive,crumble brick hesitation,0.0,0.0
40,455,455,"456. Emergency responders evacuated residents, reducing dangers from rising floodwaters regionally.","['Emergency responders', 'residents', 'floodwaters']",floodwaters,1.0,"environment, people, nature",ambigu,floodwater,emergency responder evacuate resident reduce danger rise floodwater regionally,floodwater,Olfactive,floodwater,1.0,1.0
41,637,637,"638. Freediver championships tested endurance, challenging participants across depths near reefs.","['Freediver', 'reefs']",reefs,1.0,"environment, people",,reefs,greedy championship test endurance challenge participant depth reef,reef,Olfactive,depth reef,0.5,1.0
42,455,455,"456. Emergency responders evacuated residents, reducing dangers from rising floodwaters regionally.","['Emergency responders', 'residents', 'floodwaters']",floodwaters,1.0,"environment, people, nature",ambigu,floodwater,emergency responder evacuate resident reduce danger rise floodwater regionally,floodwater,Olfactive,floodwater,1.0,1.0
43,441,441,"442. Barbers styled clients, perfecting trends within upscale grooming studios downtown.","['Barbers', 'clients,', 'grooming studios']",grooming studios,1.0,"environment, people, chemical",,grooming studios,barber style client perfect trend upscale grooming studio downtown,groom studio,Olfactive,barber style,0.0,0.0
44,566,566,"567. Chemistry teachers performed experiments, reinforcing concepts for advanced laboratory coursework.","['Chemistry teachers', 'experiments', 'laboratory']",experiments,1.0,"environment, people, objetc, chemical",ambigu,experiments,chemistry teacher perform experiment reinforce concept advanced laboratory coursework,experiment,Olfactive,chemistry teacher perform experiment reinforce concept advanced laboratory coursework,0.1111111111111111,1.0
45,131,131,"132. Energetic volunteers directed traffic, guiding visitors toward festival parking lots.","['volunteers','traffic', 'visitors', 'parking lots.']",traffic,1.0,"environment, people, event, chemical",,traffic,energetic volunteer direct traffic guide visitor festival parking lot,traffic,Olfactive,direct traffic guide visitor festival parking lot,0.14285714285714285,1.0
46,230,230,"231. Bird watchers identified warblers, logging movements across seasonal migratory corridors","['Bird watchers', 'warblers,']",Bird,1.0,"environment, animal, people",ambigu,Bird,bird watcher identify warbler log movement seasonal migratory corridor,bird,Olfactive,bird watcher,0.5,1.0
47,608,608,"609. Outdoor enthusiasts pitched tents, slumbering peacefully under heavenly constellations overhead.","['Outdoor enthusiasts', 'pitched tents']", pitched tents,1.0,"environment, people, nature",,pitched tents,outdoor enthusiast pitch tent slumber peacefully heavenly constellation overhead,pitch tent,Olfactive,outdoor enthusiast pitch tent slumber peacefully heavenly constellation overhead,0.2222222222222222,1.0
48,15,15,16. Kayakers navigated choppy rapids between jagged cliffs beneath low-hanging storm clouds.,"['Kayakers', 'rapids']",rapids,1.0,"environment, people",,rapids,kayaker navigate choppy rapid jagged cliff low hang storm cloud,rapid,Olfactive,kayaker navigate choppy rapid jagged cliff low hang storm cloud,0.1,1.0
49,16,16,17. Thick vines clung persistently around cracked statues near the overgrown courtyard.,"['vines', 'overgrown courtyard']","vines, overgrown courtyard",1.0,"plant, environment",,vines overgrown courtyard,thick vine cling persistently crack statue overgrown courtyard,vine overgrown courtyard,Olfactive,thick vine,0.5,0.3333333333333333
50,241,241,"242. Tapestry weavers dyed threads, crafting elaborate scenes for royal commissions","['Tapestry weavers', 'dyed threads']","Tapestry, dyed",1.0,"people, material, chemical",,tapestry dyed,tapestry weaver dye thread craft elaborate scene royal commission,tapestry dye,Olfactive,tapestry,1.0,0.5
51,414,414,"415. Submarines patrolled coastlines, conducting research for marine conservation initiatives globally.","['coastlines', 'marine']",coastlines,1.0,"environment, nature",,coastlines,submarine patrol coastline conduct research marine conservation initiative globally,coastline,Olfactive,marine conservation,0.0,0.0
52,496,496,"497. Textile merchants traded fabrics, negotiating exchanges across ancient caravan routes.","['Textile merchants', 'fabrics']",fabrics,1.0,"people, material",ambigu,fabrics,textile merchant trade fabric negotiate exchange ancient caravan route,fabric,Olfactive,textile merchant trade fabric,0.25,1.0
53,270,270,"271. Riverboat operators narrated folklore, recounting historical legends along scenic waterways","['Riverboat operators', 'waterways']",waterways,1.0,"environment, people, nature",,waterways,operator narrate folklore recount historical legend scenic waterway,waterway,Olfactive,scenic waterway,0.5,1.0
54,216,216,"217. Ice sculptors carved displays, crafting ephemeral masterpieces for seasonal winter festivals","['Ice sculptors', 'winter festivals']",winter festivals,1.0,"environment, people, event",ambigu,winter festivals,ice sculptor carve display craft ephemeral masterpiece seasonal winter festival,winter festival,Olfactive,ice sculptor carve display craft ephemeral masterpiece seasonal winter festival,0.2,1.0
55,470,470,"471. Hikers prepared meticulously, packing supplies for multi-day mountainous trekking expeditions.","['Hikers','supplies', 'mountainous trekking']",mountainous trekking,1.0,"environment, object, people, nature",ambigu,mountainous trekking,hiker prepare meticulously pack supply multi day mountainous trekking expedition,mountainous trekking,Olfactive,hiker prepare meticulously pack supply multi day mountainous trekking,0.2222222222222222,1.0
56,225,225,"226. Harbor patrols enforced regulations, ensuring compliance among moored fishing trawlers daily","['Harbor patrols', 'moored fishing trawlers']",Harbor,1.0,"environment, nature",,Harbor,harbor patrol enforce regulation ensure compliance moor fishing trawler daily,harbor,Olfactive,moor fishing trawler,0.0,0.0
57,384,384,"385. Marathon meditators maintained posture, centering thoughts amid bustling city life distractions.","['Marathon meditators', 'bustling city life']",city,1.0,"environment, people",,city,marathon mediator maintain posture center thought bustle city life distraction,city,Olfactive,bustle city life distraction,0.25,1.0
58,443,443,"444. Volunteer doctors established clinics, delivering vaccines amid remote mountain settlements.","['doctors', 'clinics,', 'mountain']",clinics,1.0,"environment, people",,clinics,volunteer doctor establish clinic deliver vaccine remote mountain settlement,clinic,Olfactive,volunteer doctor establish clinic deliver vaccine remote mountain settlement,0.1111111111111111,1.0
59,217,217,"218. Beekeeping apprentices monitored hives, supporting pollination efforts essential for crop sustainability","['Beekeeping', 'hives,', 'pollination', 'crop']",pollination,1.0,"natural product, amilent",ambigu,pollination,beekeepe apprentice monitor hive support pollination effort essential crop sustainability,pollination,Olfactive,beekeepe,0.0,0.0
60,496,496,"497. Textile merchants traded fabrics, negotiating exchanges across ancient caravan routes.","['Textile merchants', 'fabrics']",fabrics,1.0,"people, material",ambigu,fabrics,textile merchant trade fabric negotiate exchange ancient caravan route,fabric,Olfactive,textile merchant trade fabric,0.25,1.0
61,301,301,"302. Suburban cyclists formed clubs, conquering scenic weekend trails through local parks.","['cyclists', 'local parks']",parks,1.0,"plant, environment, people, nature",,parks,suburban cyclist form club conquer scenic weekend trail local park,park,Olfactive,scenic weekend trail,0.0,0.0
62,418,418,"419. Forest rangers tracked wildlife, safeguarding species vulnerable to habitat degradation.","['Forest rangers', 'wildlife']",wildlife,1.0,"environment, people, nature, plant, animal",,wildlife,forest ranger track wildlife safeguard specie vulnerable degradation,wildlife,Olfactive,vulnerable degradation,0.0,0.0
63,128,128,"129. Lakes hosted fishing tournaments, awarding prizes for record-breaking trophy catches.","['Lakes', 'fishing tournaments']",fishing,1.0,"environmentenvironment, people, event",,fishing,lake host fishing tournament award prize record break trophy catch,fishing,Olfactive,catch,0.0,0.0
64,36,36,37. Tall oak trees sheltered small creatures seeking refuge from midday heat.,"['oak trees', 'small creatures']",oak trees,1.0,"plant, animal",,oak trees,tall oak tree shelter small creature seek refuge midday heat,oak tree,Olfactive,tall oak tree,0.6666666666666666,1.0
65,524,524,"525. Florists arranged bouquets, coordinating vibrant petals throughout wedding reception venues.","['Florists', 'bouquets', 'petals', 'wedding reception']","bouquets, petals",1.0,"environment, people, plant, event",,bouquets petals,florist arrange bouquet coordinate vibrant petal wedding reception venue,bouquet petal,Olfactive,florist arrange bouquet,0.3333333333333333,0.5
66,38,38,"39. Wildlife photographers crawled cautiously behind bushes, capturing breathtaking safari snapshots today.","['bushes,', 'safari']",bushes,1.0,"plant, environment, people",,bushes,wildlife photographer crawl cautiously bush capture breathtaking safari snapshot today,bush,Olfactive,wildlife photographer crawl cautiously bush capture breathtaking safari snapshot,0.1111111111111111,1.0
67,320,320,"321. Harsh desert conditions tested hikers, challenging them throughout blistering midday heat.","['desert', 'hikers,']",desert,1.0,"environment, people, nature",,desert,harsh desert condition test hiker challenge blister midday heat,desert,Olfactive,harsh desert condition test hiker challenge blister midday heat,0.1111111111111111,1.0
68,410,410,"411. Firefighters tackled blazes, safeguarding wilderness territories from spreading infernos annually.","['Firefighters', 'blazes', 'wilderness territories', 'infernos']","blazes, wilderness territories, infernos",1.0,"environment, people, nature, chemical",,blazes wilderness territories infernos,firefighter tackle blaze safeguard wilderness territory spread infernos annually,blaze wilderness territory infernos,Olfactive,infernos,1.0,0.25
69,57,57,58. Muscular blacksmiths hammered red-hot steel amid showers of bright flying sparks.,['red-hot steel'],red-hot steel,1.0,chemical,,redroot steel,muscular blacksmith hammer redroot steel shower bright flying spark,redroot steel,Olfactive,bright flying spark,0.0,0.0
70,470,470,"471. Hikers prepared meticulously, packing supplies for multi-day mountainous trekking expeditions.","['Hikers','supplies', 'mountainous trekking']",mountainous trekking,1.0,"environment, object, people, nature",ambigu,mountainous trekking,hiker prepare meticulously pack supply multi day mountainous trekking expedition,mountainous trekking,Olfactive,hiker prepare meticulously pack supply multi day mountainous trekking,0.2222222222222222,1.0
71,515,515,"516. Rangers patrolled grasslands, observing roaming herds throughout nature protection zones.","['Rangers', 'grasslands', 'herds', 'nature protection zones']"," grasslands, herds, nature",1.0,"environment, nature, plant, animal",,grasslands herds nature,ranger patrol grassland observe roam herd nature protection zone,grassland herd nature,Olfactive,grassland observe roam herd nature protection zone,0.42857142857142855,1.0
72,255,255,"256. Ceramic artists glazed tiles, producing mosaics enhancing interior architectural aesthetics","['Ceramic artists', 'glazed']","Ceramic, glazed",1.0,"people, material, chemical",,ceramic glazed,ceramic artist glaze tile produce mosaic enhance interior architectural aesthetic,ceramic glaze,Olfactive,ceramic artist glaze tile produce mosaic enhance interior architectural aesthetic,0.2,1.0
73,216,216,"217. Ice sculptors carved displays, crafting ephemeral masterpieces for seasonal winter festivals","['Ice sculptors', 'winter festivals']",winter festivals,1.0,"environment, people, event",ambigu,winter festivals,ice sculptor carve display craft ephemeral masterpiece seasonal winter festival,winter festival,Olfactive,ice sculptor carve display craft ephemeral masterpiece seasonal winter festival,0.2,1.0
74,608,608,"609. Outdoor enthusiasts pitched tents, slumbering peacefully under heavenly constellations overhead.","['Outdoor enthusiasts', 'pitched tents']", pitched tents,1.0,"environment, people, nature",,pitched tents,outdoor enthusiast pitch tent slumber peacefully heavenly constellation overhead,pitch tent,Olfactive,outdoor enthusiast pitch tent slumber peacefully heavenly constellation overhead,0.2222222222222222,1.0
75,505,505,506. Resilient search teams located survivors trapped under collapsed earthquake rubble.,"['teams', 'survivors', 'collapsed earthquake rubble']",collapsed earthquake rubble,1.0,"environment, people, material, event",,collapsed earthquake rubble,resilient search team locate survivor trap collapse earthquake rubble,collapse earthquake rubble,Olfactive,search team locate survivor trap collapse earthquake rubble,0.375,1.0
76,32,32,"33. Ivy gradually covered abandoned walls, reclaiming crumbling bricks without hesitation.",['Ivy'],Ivy,1.0,plant,,Ivy,gradually cover abandon wall reclaim crumble brick hesitation,ivy,Olfactive,crumble brick hesitation,0.0,0.0
77,301,301,"302. Suburban cyclists formed clubs, conquering scenic weekend trails through local parks.","['cyclists', 'local parks']",parks,1.0,"plant, environment, people, nature",,parks,suburban cyclist form club conquer scenic weekend trail local park,park,Olfactive,scenic weekend trail,0.0,0.0
78,524,524,"525. Florists arranged bouquets, coordinating vibrant petals throughout wedding reception venues.","['Florists', 'bouquets', 'petals', 'wedding reception']","bouquets, petals",1.0,"environment, people, plant, event",,bouquets petals,florist arrange bouquet coordinate vibrant petal wedding reception venue,bouquet petal,Olfactive,florist arrange bouquet,0.3333333333333333,0.5
79,416,416,"417. Basket weavers exhibited craftsmanship, presenting patterns during cultural fairs globally.","['Basket weavers', 'craftsmanship', 'cultural fairs']","weavers', 'craftsmanship'",1.0,"environment, people, material, event",,weavers craftsmanship,basket weaver exhibit craftsmanship present pattern cultural fair globally,weaver craftsmanship,Olfactive,basket weaver,0.5,0.5
80,524,524,"525. Florists arranged bouquets, coordinating vibrant petals throughout wedding reception venues.","['Florists', 'bouquets', 'petals', 'wedding reception']","bouquets, petals",1.0,"environment, people, plant, event",,bouquets petals,florist arrange bouquet coordinate vibrant petal wedding reception venue,bouquet petal,Olfactive,florist arrange bouquet,0.3333333333333333,0.5
81,633,633,"634. Pathologists examined tissues, aiding physicians diagnosing ailments inside hospital environments.","['Pathologists', 'tissues', 'hospital environments']","tissues, hospital",1.0,"environment, people, object",,tissues hospital,pathologist examine tissue aid physician diagnose ailment hospital environment,tissue hospital,Olfactive,pathologist,0.0,0.0
82,469,469,"470. Town councils repaired walkways, promoting pedestrian safety amid traffic congestion.",['traffic congestion'],traffic,0.0,chemical,ambigu,traffic,town council repair walkway promote pedestrian safety traffic congestion,traffic,Olfactive,traffic congestion,0.5,1.0
83,216,216,"217. Ice sculptors carved displays, crafting ephemeral masterpieces for seasonal winter festivals","['Ice sculptors', 'winter festivals']",winter festivals,1.0,"environment, people, event",ambigu,winter festivals,ice sculptor carve display craft ephemeral masterpiece seasonal winter festival,winter festival,Olfactive,ice sculptor carve display craft ephemeral masterpiece seasonal winter festival,0.2,1.0
84,164,164,"165. cyclists pedaled tirelessly, passing farmland vistas during cross-country charity expeditions.","['cyclists', 'farmland']",farmland,1.0,"environment, people",,farmland,cyclist pedal tirelessly pass farmland vista cross country charity expedition,farmland,Olfactive,cyclist pedal,0.0,0.0
85,241,241,"242. Tapestry weavers dyed threads, crafting elaborate scenes for royal commissions","['Tapestry weavers', 'dyed threads']","Tapestry, dyed",1.0,"people, material, chemical",,tapestry dyed,tapestry weaver dye thread craft elaborate scene royal commission,tapestry dye,Olfactive,tapestry,1.0,0.5
86,452,452,"453. Shelter organizers recruited foster families, rehabilitating abandoned pets needing environments.","['Shelter', 'families', 'abandoned pets']",pets,1.0,"environment, animal, people",,pets,shelter organizer recruit foster family rehabilitate abandon pet need environment,pet,Olfactive,pet need environment,0.3333333333333333,1.0
87,243,243,"244. Rock climbers ascended cliffs, navigating overhangs requiring precise grip strength techniques","['Rock climbers', 'cliffs']",cliffs,1.0,"environment, people, nature",ambigu,cliffs,rock climber ascend cliff navigate overhang require precise grip strength technique,cliff,Olfactive,rock climber,0.0,0.0
88,75,75,76. Seasoned bakers kneaded dough vigorously before shaping loaves for community feasts.,"['bakers', 'dough', 'loaves', 'feasts.']"," 'dough', 'loaves'",1.0,aliment,,dough's loaves,seasoned baker knead dough vigorously shape loaf community feast,dough loaf,Olfactive,knead dough vigorously shape loaf community feast,0.2857142857142857,1.0
89,385,385,"386. Neighborhood scouts camped overnight, mastering survival tactics within designated nature reserves.","['scouts', 'camped', 'nature reserves']",nature reserves,1.0,"environment, people, nature",,nature reserves,neighborhood scout camp overnight master survival tactic designate nature reserve,nature reserve,Olfactive,survival tactic designate nature reserve,0.4,1.0
90,46,46,"47. Fluttering kites dotted the sky, weaving patterns over the sprawling beach.",['beach'],beach,1.0,environment ,,beach,fluttering kite dot sky weave pattern sprawling beach,beach,Olfactive,fluttering kite,0.0,0.0
91,414,414,"415. Submarines patrolled coastlines, conducting research for marine conservation initiatives globally.","['coastlines', 'marine']",coastlines,1.0,"environment, nature",,coastlines,submarine patrol coastline conduct research marine conservation initiative globally,coastline,Olfactive,marine conservation,0.0,0.0
92,505,505,506. Resilient search teams located survivors trapped under collapsed earthquake rubble.,"['teams', 'survivors', 'collapsed earthquake rubble']",collapsed earthquake rubble,1.0,"environment, people, material, event",,collapsed earthquake rubble,resilient search team locate survivor trap collapse earthquake rubble,collapse earthquake rubble,Olfactive,search team locate survivor trap collapse earthquake rubble,0.375,1.0
93,537,537,"538. Souvenir shopkeepers displayed trinkets, drawing international tourists along coastal boardwalks.","['Souvenir shopkeepers', 'tourists', 'coastal boardwalks.']",coastal boardwalks,0.0,"environment, people, nature",,coastal boardwalks,souvenir shopkeeper display trinket draw international tourist coastal boardwalk,coastal boardwalk,Olfactive,trinket,0.0,0.0
94,154,154,"155. Expert archeologists unearthed artifacts, verifying ancient timelines for museum records.","['archeologists', 'unearthed artifacts']",unearthed artifacts,1.0,"environment, object, people, nature",,unearthed artifacts,expert archeologist unearth artifact verify ancient timeline museum record,unearth artifact,Olfactive,expert archeologist unearth artifact verify ancient timeline museum record,0.2222222222222222,1.0
95,85,85,"86. Falcons soared overhead, scanning valleys for prey hidden among brush.","['Falcons', 'valleys', 'brush']",brush,1.0,"environment, animal",,brush,falcon soar overhead scan valley prey hide brush,brush,Olfactive,falcon,0.0,0.0
