,contains_ref,normalized_text,,,,
1192,True,secondly heat doth resist coldness moisture brain hinder smell,,,,
831,True,come memory heliotrope,,,,
314,False,note cabbage colewort lettuce pompous musk mellon cucumber dangerous mate contagious time approve root garlic justice body onion leek radish say onely,,,,
152,False,poor people signore say shrug smile stop look mefor go little take hat introduce new monument,,,,
1011,False,refine,,,,
272,True,strew window ledge new wormwood lavender penyriall contrary cold weather hot primrose violet roseleave barrage cool scent,,,,
270,True,perfume houshold cold moist weather frankincense story pitch rosin magnum alle magnum rhodium iuniper wood berry,,,,
439,False,draw breath continually wee live minute food spirit need heed draw pure wholesome,,,,
1159,False,give uneasiness maid nurse carry visit use manner ceremony creature sort consequence strip skin smock presence place toilet directly naked body sure far tempting sight give emotion horror disgust skin appear coarse uneven variously colour see near mole broad trench hair hang thick packthread far concern rest person,,,,
2215,True,mean use prevent escape premise mixer receive pit object seek discharge shaft elevation foot travel long distance atmosphere,,,,
1525,True,characteristic odour fetid bronchitis differ essentially fetid abscess true pulmonary gangrene,,,,
2719,True,burn incense breath smell,,,,
2206,False,,,,,
986,True,worsen,,,,
1149,False,day take thick cudgel throw strength luckily linnet knock seize neck hand run triumph nurse,,,,
2482,False,adulterate fill musk cop goat blood little toasted bread mix quarter musk beat,,,,
257,False,onely counsel,,,,
2650,False,tool,,,,
2044,False,group consist follow establishment essex bark creek,,,,
1472,True,savage performing body practice object induce love partner,,,,
1058,False,saltwater get thing dry soon wormy rotten,,,,
1000,False,fine cane spirit suppose distil rice great esteem high duty lessen demand leader sufficient year consumption,,,,
254,False,simple putrid plague,,,,
1813,False,,,,,
911,True,,,,,
2707,False,course remember usually universally primitive church martyr bury altar come priest sense altar south end stoop sense foot dear servant head come north body pass north south,,,,
168,False,corpulent hairdresser sit slipper shop door twirl lady window natural constancy sex cease twirl languish stock beautiful face address blind corner establishment impossible admirer penetrate,,,,
2630,True,gentleman humour delicacy utter tramontane language tell lovely roxanne say audience stunk,,,,
2691,True,understand hot reek dung filthy stink carcass cast chanel odious sight smell impediment sinner sight nostril angel,,,,
798,False,child affect severe diarrhoea,,,,
291,False,heart red fallow deer special good young steered calf kid lamb cordial reason sympathy solidnesse flesh cause corruptible,,,,
736,False,proctor lavender dock visit,,,,
532,True,house situate outlet thame suffer health teach generate pond empty,,,,
1936,True,variety odour describe say sickening distinctly acid say perceive accord direction wind,,,,
2211,False,drake medical officer health act efficiently respect work appear unexceptional,,,,
135,False,mexican chief great pear shape club shoulder hercule,,,,
2342,False,likewise import bengal,,,,
2133,True,material manure make fish shoddy guano coprolite mineral phosphate generally,,,,
1210,True,quality diet drug hath bene say good smell vine likewise procure quill smell,,,,
367,False,stricken wonder peaceable conscience man go killing,,,,
1116,True,observe young infant suck early period life sensation affect organ smell powerfully repeat habit smell inure odour common strength adult year strong smell time agreeable volatile spirit continue produce increase secretion tear,,,,
1338,True,inwardly fetid volatile part pierce channel nerve mend crudity nervous juice factor excite different motion hysteric fit convulsion remove cause tumultuous motion spirit correct activity stagnation success nervous dispose glandulous liquor,,,,
1340,True,narcotic heavy offensive smell poppy solarium sweet heady smell root bear ear,,,,
2127,False,,,,,
602,False,death register parish month diarrhoea dysentery child adult elderly female aged,,,,
1349,True,aforementioned instance appear opiate hot effluvium offend smell,,,,
1502,False,case constitutional condition graft localize affection left lung,,,,
1652,False,give nervous depression,,,,
2113,False,,,,,
2518,True,leaf flower perfume depend essential oil different state condition,,,,
2148,True,time occasionally effluvia work manure work assist create nuisance complain,,,,
1488,False,happen,,,,
210,False,procession long include immense number people divide small party party chant nasally account reference produce dismal result,,,,
581,False,underground slaughterhouse,,,,
2035,True,source offensive hot pitch run still mean adopt prevent nuisance source future mean nature appear likely successful,,,,
2834,True,organism likewise interfere preservation food change consistency flavor odor produce definite poisonous decomposition product term ptomaine,,,,
365,False,come putrefaction blood humor body pleaseth instrument punishing justice mix simple plague mention,,,,
2203,False,farmer oil vitriol manure work map establish ^ year,,,,
436,False,sixe string vial consistent harmonic health,,,,
807,False,let add justice southward vauxhall company water good quality,,,,
1765,True,far odour concern interesting fairy form coloured thing tropical,,,,
506,False,pattern lively draw life especially death saviour say,,,,
2309,True,mean smell rest mankind commonly mean certainly mad,,,,
2605,False,reasonably expect preserve health penthouse chastity damn lascivious town,,,,
407,True,proof daily experience garment coffer nay wall chamber long time retain strong send fume,,,,
108,False,silent presence invade see twittering bird fly crevice stone little nook architecture nest,,,,
1651,False,contain cent phosphorus,,,,
642,False,house cesspool common,,,,
420,False,principal cause protection almighty preserve miraculously justice strike,,,,
1317,False,know turpentine gum latent acid easily distil addition absorbent true virtue well extract tincture satis tartar,,,,
332,False,break,,,,
1422,True,musk chief member group adore ambrosiacce group sexual significance zwaardemaker remark rank carry group odor,,,,
2517,True,leaf odour hand latent negative rarely detect leave touch press bruise,,,,
1097,False,observe canary bird morning house,,,,
415,False,infect plainly perceive take,,,,
889,False,change recently bring,,,,
693,False,inmate complain scavenger remove dust sufficiently,,,,
1336,False,mucilaginous generally narcotic,,,,
2672,False,sheep ass,,,,
2804,False,swallow mistake,,,,
498,False,rage cool treat meekness,,,,
199,False,assure arrive good time fast talk fast charming good humour answer joke expense friar joke expense layman say friar engage strong man board tooth carry deck,,,,
2809,False,brain affect,,,,
651,False,death hooping cough fever record,,,,
289,False,capon pull partridge pheasant pigeon turtle lake blackbird thrash finch,,,,
246,False,town extraordinary place build gloomy open arch ramble town pretty terrace garden town clang shipwright hammer building small vessel beach,,,,
2288,True,air generate putrid mouse stand water mixture common air extinguish flame noxious animal common air taint putrefaction,,,,
1599,True,speculation naturally arise immediate origin composition volatile matter cause stench blood easily impregnate volatile stuff readily conclude come blood,,,,
1094,False,soon young animal bear important sensation occur occasion oppression precordia want respiration sudden transition ninetyeight degree heat cold climate,,,,
463,True,true gather flower weed bitter offensive flower henbane hayseed smell inform,,,,
2700,True,deck pearl precious stone smell strong,,,,
486,False,becommeth flesh flesh bone bone,,,,
744,False,drain untapped pan water supply closet,,,,
96,False,scheme stop century ago lie rest day judgment,,,,
1797,True,vapour odour peculiar different odour proceeding manure work appear distinguish inhabitant charlton,,,,
2134,True,mean use prevent free escape offensive vapour generate external atmosphere,,,,
2560,True,find dead privy shortly body warm smell tobacco smoke mouth completely overpower conceal odour prussic acid,,,,
705,False,nuisance certainly open ditch small compare mill stream yard nearly stagnant water green slime mud putrefying vegetable matter comment report,,,,
1195,False,secondly quality complexion maketh convertible soon hot monster element,,,,
2204,False,work say cover acre building appear cover nearly space,,,,
2742,True,smell term vnnecessari sense employ case necessity witness celebration feast fast day sustain nature onely smell hot bread,,,,
2475,True,hang time jake house office ill scent innate virtue odour excited revive,,,,
2131,False,waste gas escape external atmosphere condense apparatus use,,,,
1924,False,^,,,,
104,False,long long line tree bind garland take hold come dance field,,,,
2045,False,,,,,
1010,False,good package bring home iron bind cask press cask line turenague prevent getting wood evaporate exceed subtle volatile nature,,,,
2457,True,distill rhodium way say need macerated hour water menstrual distill kyle hath pleasing smell manner equal kyle rose,,,,
809,False,railway arch nuisance somewhat abate,,,,
2246,False,experiment try cotton similar colour result,,,,
518,False,reward patience,,,,
2394,True,evaporate air diffuse strong odour,,,,
565,False,respectfully,,,,
521,False,gentleman person absent rotherliithe year present visit fail strike improvement take place general aspect filling ditch open sewer intersect direction,,,,
2093,True,state probably oil vitriol manufacture,,,,
226,False,perfect kind contemplative way allow placid gaze rest late companion see life,,,,
231,True,fancy calm reality time day stand look sweet scent garden rise perfect dream happiness,,,,
1289,False,principle bitter unite fire produce fix salt correct acid well bitter act fix salt effect,,,,
251,False,moment,,,,
111,False,decayed mutilated painting church cover thinking remarkably mournful depressing influence,,,,
51,False,fort wall good king build command town beat house genovese ear case discontent command height right,,,,
1602,True,possibly faecal odour excretion observed case originate call metastasis note state faece odour observe change,,,,
1161,False,handsome maid pleasant frolicsome girl set astride nipple trick reader excuse particular,,,,
1805,False,law bark creek pass work mess,,,,
2726,False,essay,,,,
1377,False,mixture principle salt hinder greening syrup violet decoction hart horn reason spirit turn colour,,,,
2254,False,similar experiment camphor instead afford precisely result,,,,
930,False,,,,,
1732,False,oil distil fresh leave eucalyptus globule eucalyptus amygdala probably specie eucalyptus,,,,
1302,False,sweetness sharpness hum lennie acrimony salt open passage lung kidney extraordinarily discuss tumor outwardly open pore attenuate matter include taste spread part plant salt plant umbelliferous,,,,
2259,True,smell strong remark family home recognise piece dress day,,,,
1539,False,think find cavity highly fibroid lung reasonably conclude form ulcer solution continuity tissue state fibroid degeneration class rodent fibroid ulcer skin cervix,,,,
464,True,flower participate ill send herbe meddle gallop cheesrunnet,,,,
1264,False,procure assurance woman live dead hold feather looking glasse mouth stir spot undoubted sign liveth,,,,
2272,False,experiment nature necessary camphor volatilize convert vapour colour substance place come contact camphor state,,,,
557,False,convenience yard time revisit early month lady habit purpose piece ground expose view foot square situate south yard describe,,,,
2773,False,small kind particularly term native come season later generally sweetest,,,,
2547,True,affect olfactory nerve produce merely sense constriction throat,,,,
1103,False,natural sign artificial one invent understand ingeniously observe,,,,
2756,True,amend smell taste french rhenish foul,,,,
1278,True,thlaspi taste horseradish smell garlic,,,,
212,False,look anxiously cappuccino presently brown robe code girdle see come body,,,,
2020,True,subject complaint probably extend considerable distance,,,,
2007,False,work extensive scale,,,,
1418,False,significance practice fully reveal study papa strait initiative courtship take woman,,,,
422,False,give angel charge way psalm sing,,,,
755,False,new branch industry spring report write making urinate hydrochloride ammonia,,,,
313,False,good woman offend mother crate affirm consul allay white wine sugar,,,,
1359,False,water lose fluidity small particle cold mercury solid fume lead,,,,
2172,False,material manufacture manure shoddy waste leather dry bone bone ash refuse sugar bakery coprolite mineral phosphate generally,,,,
533,True,consider king mill stream nuisance bad kind complaint think advisable bring notice vestry,,,,
1378,False,know vinegar acid lemon citron sorrel well correct pungent acrimony vegetable salt vinegar wallet oil securing stomach corrosive acrimony acrid salt vegetable ferment acid animal salt,,,,
1616,True,visit yellow faint odour bland oleaginous taste,,,,
2525,True,change experiment soak ordinary shooting boot oil aniseed walk park,,,,
1450,True,perfume contain musk state know book art perfumer sell well,,,,
218,False,friend cappuccino advance fold arm look straight visage little frenchman bland serene compose abstraction describe,,,,
1366,False,opium bitter acrid mutilate convenient acid humor,,,,
1608,True,Stimulant carminative , given as an adjunct to purgative to relieve flatulence .,stimulant carminative give adjunct purgative relieve flatulence,,
1808,False,cover space acre,,,,
2703,True,lateral music consecrate masse audience incense procure access throne grace smell say solemn assembly,,,,
916,True,true surprising odoriferous fragrant smell pungent agreeable bitter astringent taste turgid ticklish consistency yellowish colour little come year stranger cautious buy specie turpentine mix,,,,
2071,False,ton shoddy premise considerable quantity mineral phosphate ton guano,,,,
1992,True,large manure establishment visit material burn manufacture oil vitriol crude sulphur pyrate,,,,
1034,False,red ominous gum bring oval lump size chestnut pull egg large mass compose small grain tear good appear deep shine red colour reduce powder change elegant bright crimson meet different account mix dross dirt bad colour dragon blood cut tear safe buy break clear glass powder fine crimson red excellence japaniary physic,,,,
1330,True,flower strong offensive get little drying aromatic preparation musk civet great quantity fresh stink small quantity grateful leave coriander stink seed aromatic,,,,
554,False,cloud dust issue bag great annoyance neighbour tradesman fill dwelling injure good,,,,
2528,True,accordingly keen observer come conclusion setter distinguish trail peculiar smell boot particular scent foot body,,,,
564,True,gentleman complaint continually inhabitant street southern extremity swan lane horn foul smell oblige endure time past,,,,
964,False,oil cinnamon,,,,
1777,False,fan likewise say exist male rivet hawk moth characterise genus sphinx,,,,
1032,True,kind pepper difference tail stalk berry aromatic pepper resemble call common people spice generally buy salazar coast dry sound clean,,,,
1620,False,oil peppermint,,,,
1374,False,infusion aron root water little green syrup violet time,,,,
781,False,house rotherliithe wall tenant greengrocer warehouse factory,,,,
2416,True,wooden box big occasion line dry paper lie bed snuff inch thick bed flower let lay flower hour search snuff flower renew time continue day think snuff perfume flower close box dry place meddle flower heat,,,,
2784,False,excellent fire bright clear free blaze particularly suit broiling burn refuse,,,,
358,False,kind passion vehement doe offer violence spirit well natural sort,,,,
1910,False,marsh manure work group,,,,
259,False,walk abroad sunny,,,,
1468,True,mention colleague inform prostitute client desire odor new shoe room accustom obtain desire perfume hold shoe moment flame spirit lamp,,,,
2289,False,lodging space street large bee free passage narrow preserve necessary heat,,,,
2370,True,yellow light water agreeable aromatic odour castoreum time leave,,,,
790,False,feel duty remark leave subject,,,,
2304,False,suppose consist unknown radical intimately combine oxygen,,,,
794,False,request vestry clerk examine tenement new road railway arch,,,,
1357,False,symptom allow narcotic argue work owl volatile salt produce expansion agitation tumult spirit conjecture narcotic faculty good deductible combination volatile oil salt mutilate gain particular figure motion texture reason weaken motion spirit great quantity destroy fluidity,,,,
2243,False,enclose equal weight black red white wool drawer similar quantity coloured wood drawer camphor,,,,
2599,False,clod,,,,
2221,False,,,,,
456,False,religion great enemy religion false true favor team vestal face wash come instead honey find gunpowder,,,,
462,True,bee neat sweet cleanly creature naturally absorb stinking place strong sending herbe,,,,
2123,False,mixer receive pit simply ventilate pipe conduct vapour roof external air,,,,
1967,False,group consist follow establishment,,,,
381,False,hee commander course alter pleasure hee sunny moon stand iosuah draw sunny tense degree cause stare fight course sister,,,,
2023,False,schroeder oil vitriol manure work map work recently establish building course construction,,,,
1927,False,necessary inspect factory blackball reach west edith reach east,,,,
2010,False,burner act badly far escape sulphurous acid open feeding door concern,,,,
2831,True,certain related compound contain sulphur common cause bad odor attendant putrefaction,,,,
1270,True,strong bitter fetid odor ballot bitterness correct acid stomach blood fetidness amend acid nervous juice cause equal expansive motion spirit prevent unequal distribution nerve fit convulsion,,,,
2583,True,filthy fetid uncomfortable dangerous,,,,
2769,True,light watery perfection joint leg stiff body agreeable smell,,,,
700,False,gardiner row rotherhithe new road cesspool dig garden receive drainage house,,,,
829,False,atmosphere love grief call,,,,
2256,True,smell invariably find corresponding intensity accord colour wood,,,,
2183,False,material say manufacture manure dry bone guano mineral phosphate sulphate ammonia add kind manure,,,,
2395,False,heat fume nitric acid resinifie assume grass green colour,,,,
542,False,,,,,
1146,False,tell pleased mortify observe solitary walk small bird appear afraid hop yard distance look worm food indifference security creature,,,,
1607,False,prepare liniment amphorae composite spiritus lavandulae tincture lavandulae composite,,,,
594,False,alley receptacle sort offal disgusting state,,,,
2316,True,deserve notice sensation closely related mind subject nose organ connection operate powerfully imagination connection rise concomitant,,,,
1229,True,truth assumption appear sick leader scarce thou find vine smell blood opening vein,,,,
1577,False,case kind care infirmary seat lesion common left lung persistent pain tingle palm left hand,,,,
2770,False,eye look dead loose stale,,,,
2737,False,provident hath great workman bin creature delight tabernacle earth want accomplished sense devout barnyard obserueth gate world doth besiege devil doth tempt flesh ensnare rightly employ peculiar good benefit resound comfort soul awhile utility body,,,,
1902,False,,,,,
1641,False,oleacacea,,,,
1510,False,character doubtless differ different case accord complication dilate bronchi gangrenous cavern blood exude decompose lie cavity kind fermentation modify pus bronchial secretion,,,,
435,False,air esta quiet depletion audio sound moderate mutant immoderate docent,,,,
662,False,call proximate cause human control relate locality individual,,,,
237,False,carter mule driver assemble broken waggon man original turn mind propose general joint effort thing tonight clear layman idea verily believe present friend remain,,,,
1397,False,situation inhabitant certain district town expose nuisance district entirely exempt effect,,,,
109,False,busy rise cold shade temple hand sunny air,,,,
2597,False,,,,,
163,False,green cool,,,,
1913,False,,,,,
252,False,stroll away geno bind good place placenta town start coup machine travel caravan company brave courier lady large dog howl hopefully interval night,,,,
1801,True,inspector nuisance charlton state occasion distinctly trace pungent odour sulphurous acid river work,,,,
1423,True,It is a perfume of ancient origin , its name is Persian 1 ( indicating doubtless the channel whence it reached Europe ) and ultimately derived from the Sanskrit word for testicle in allusion to the fact that it was contained in a pouch removed from the sexual parts of the male musketeer .,perfume ancient origin indicate doubtless channel reach ultimately derive sanskrit word testicle allusion fact contain pouch remove sexual part male musketeer,,
958,False,bear,,,,
605,False,reside swan lane foot mill stream describe report great nuisance metropolis,,,,
2561,True,open body smell acid perceptible,,,,
612,False,,,,,
2229,False,crude material deal coal tar receive contain jess admixture ammoniacal liquor,,,,
803,True,examine water smell recently dip sewer,,,,
677,False,stomach perpetually congested appetite go liver worm whiskey alcohol pass generally functionally organically disease make ready recipient complaint,,,,
1044,False,lack call sticklack,,,,
1113,True,lively impression pleasure infant enjoy nativity excite odour mother milk,,,,
1068,False,good mixed piece drowsy light small gum dust genuine sell price large,,,,
2296,False,bee begin work soft acquire firm consistency day length assume brown colour hard wax,,,,
461,False,civ,,,,
952,False,gum anime coal gum climb come cheap,,,,
157,False,like meadow,,,,
1745,False,stimulant diuretic,,,,
1544,False,pulmonary mouldiness pneumono mycosis parasitic bronchitis result irritation aspergillus bronchi,,,,
2004,True,factory equally offensive issue perceptible short distance work effluvia experience show carry wind distance mile,,,,
238,False,great cost labour pause hand wound hair ray hope lighten misery,,,,
2124,True,work extend mil certainly source nuisance proper mean adopt intercept offensive vapour necessarily generate process,,,,
998,False,article,,,,
2714,False,opinion sensing person thing method incense distinctly christian finally deny possible find custom church antiquity superstition setting doctrine perfect sufficiency sacrifice calvary need gather intercession eternal victim sweet savour rise mercy seat high,,,,
100,False,twine tree let trail hedge vineyard tree regularly plant purpose vine twine cluster,,,,
315,False,roasting good way dress flesh frying broiling fish,,,,
2649,False,write,,,,
2130,False,pyrate source sulphur,,,,
2664,False,surely,,,,
1398,False,encircle irrigate field nearly fourth landward frontier ingress egress city encounter annoyance,,,,
261,True,let street keep clean wash channel morning evening sweep away hurt leave stake root herbe offal leave dunghill noisome matter street,,,,
644,False,deservedly merit give vale health place swarm child half barefoote doubt short allowance look comely healthy hardy take good specimen waterside population,,,,
2077,False,scarcely probable work occasion nuisance inhabitant plumstead,,,,
1911,True,time occasionally effluvia work manure work assist create nuisance complain,,,,
1506,True,fact ground conclusion special odour fetid bronchitis cause abandon term perplexing unscientific philosophical correct phrase bronchitis fetid expectation,,,,
179,False,accordingly little boat holiday people come greet warn away authority declare quarantine great flag solemnly run masthead wharf know town,,,,
2213,False,material manufacture manure say dry bone coprolite mineral phosphate generally,,,,
2724,False,mention christian sacrifice oppose allow sacrifice agreeable dispensation spiritual ex code property,,,,
2466,False,,,,,
2551,True,man swallow large dose prussic acid odour breath patient room,,,,
907,False,root grow bring home piece inch long warm aromatic taste resemble ginger,,,,
480,False,right honourable,,,,
2806,False,burning acrid taste sensation tightness round throat strangle skin touch destroy retch follow actual vomiting set vomited matter contain blood dark brown colour little shred flesh change vegetable blue colour green,,,,
2330,True,opinion philosopher blame,,,,
1871,True,village plumstead variety odour perceive accord wind north northeast wind blow direction bark creek distant mile direction edith marsh distant mile,,,,
1025,True,produce coast salazar good contain square pod husk large large pea little judgment require chase provide fresh sound fill husk polish colour grateful smell resemble camphor,,,,
2234,True,find odoriferous principle preserve close glass bottle length time,,,,
2310,False,put different meaning word observe give warning abuse language disgrace philosophy service truth man exchange meaning word daughter cow endeavour prove plain neighbour cow daughter daughter cow,,,,
1554,True,That it does undergo decomposition seems certain , but it does not follow that the change is putrefaction .,undergo decomposition certain follow change putrefaction,,
759,False,mother liquor contain urinate ammonia solution draw allow settle,,,,
2153,True,tolerably certain complain proceed direction bark creek issue mainly manure work mess,,,,
1743,True,pale greenish yellow characteristic odour fruit warm aromatic taste,,,,
2016,True,observation inspection group factory specially direct ascertain extent work duration existence character proceed mean use prevent escape offensive effluvia,,,,
811,False,death fever occur child year old take place measle smallpox scarlet fever hooping cough,,,,
247,False,broad bay fleet ride anchor,,,,
670,False,approve surely diet good keep man healthy state enable pass comfortably daily wear tear life necessarily variable constitution individual observe certainly know diet,,,,
1017,False,second sort cassia line generally get octavia open sort small twig foot long strong pungent flavour cinnamon sell cut,,,,
1939,False,appear elevated part great distance shore river butler part situate low level near shore,,,,
1883,False,pyrate burn source sulphurous acid waste gas chamber pass condense apparatus supply steam,,,,
347,False,sleep watch fifth point,,,,
2870,False,yield seed plentifully sow time broken earth especially mud wall moist set root branch slip floor root crop summer flower winter winter seed untimely,,,,
1624,True,pale yellow greenish yellow recent gradually thick reddish age odour peppermint strong penetrate aromatic taste follow sensation coldness mouth,,,,
2176,False,mess,,,,
1105,False,true vehicular seminal sum experiment fluid glance penis frigate,,,,
2651,False,tell wee try man wee try money,,,,
1677,True,oil distil caraway fruit,,,,
1558,False,think observed fact instance point,,,,
742,False,application admission premise refuse inspector,,,,
445,False,,,,,
617,False,correspondence relative state property recently take place vestry clerk freeloader inspector induce examine cursory superficially visitation house note merit demerit place result observation condense follow report,,,,
1110,False,assure truth observation attend pass read distressful tale tear overflow eye invariably feel distillation extremity lacrymal duct terminate nostril compression eye succeed profusion tear,,,,
912,True,bituminous substance solid fullers earth chiefly find float sea shore fine perfume greyish ash colour good great value black dirty ordinary adulterate rosin red hot knitting needle wire discover true ambergrease melt heat chiefly come north,,,,
903,True,concrete gummy substance strong fetid smell resemble onion shallot small drop tear pack form mass lump,,,,
2335,False,musk take pod pod cut small piece grate fine mean tin grater,,,,
1431,True,see chinese poet haunt musky odor mistress armpit oriental saying concern attractive woman navel fill musk,,,,
2440,False,yield vary lab tree accord age position,,,,
547,False,middle erect temporary tent awning,,,,
1615,False,oil express heat linseed,,,,
263,False,way commend devious genius natural mirai lib cap,,,,
2620,False,prefer idle scandalous life prety innocent huswifely life country look family visit neighbour,,,,
2106,False,,,,,
353,False,putrid plague popular favor venomous infectious strike chiefly heart accompany swelling call blaine botch carbuncle spot call god token,,,,
208,False,soon free hurry away wash dress decent appearance procession see frenchman take station main street pass squeeze place elaborately renovate throw little coat broad bar velvet waistcoat sprinkle star adjust cane utterly bewilder transfer friar appear,,,,
1190,False,chap,,,,
2083,False,work small establish year,,,,
2154,False,law,,,,
1596,True,ally offensive odour form rheumatic fever case acute recuitcnt attack leprous inflammation skin paroxysm terminate copious plastic education cutaneous cellular tissue,,,,
1376,False,juice aron root turn leek root slice water mix syrup violet turn long time,,,,
57,False,fifth huge stew garlic truffle don know conclude entertainment,,,,
1133,True,absent hearing small white spaniel belong chief gardener get accident garden happen range place lie dog follow scent come directly take mouth run straight master wag tail set gently ground,,,,
2138,False,oil vitriol manure work map work cover acre,,,,
561,False,number death register month average monthly mortality corresponding month year,,,,
229,False,afternoon start geno famed cornish road,,,,
1990,False,danish oil vitriol manure work map establish,,,,
707,False,beginning winter usual effect aged death person age record age nonagenarian widow mariner reside paradisestreet,,,,
789,False,old person register male aged female attain age,,,,
937,False,inspissated juice plant reduce consistency spanish juice brownish colour purgative quality chiefly come turkey adulterate old druggist scarcely ascertain real quality,,,,
1399,False,pleasure walk neighbourhood deteriorate presence,,,,
2564,False,persia,,,,
1225,False,disease observe self,,,,
424,False,secondly pestilent contagion nature hath equal conformity constitution age manner living contagion apt infect onely sanguine complexion choleric phlegmaticke onely child youth ripe age ancient people rich poor onely seminar tincture hath analogue verge flight infection,,,,
69,False,horse arrive hour,,,,
679,False,respectfully,,,,
2012,False,drake medical officer health act efficiently respect work appear unexceptional,,,,
1537,True,follow fact distinct kind pulmonary face ohana gangrene remain ascertain arise,,,,
1425,True,primitive man inclined disparage woman odor slight imperceptible turn away contempt polynesian turn away lady smell,,,,
1702,True,oil distil coriander fruit,,,,
1295,False,hot bitter,,,,
620,False,main drainage street excellent new sewer lately construct order vestry,,,,
1987,False,accidentally doubt extension work considerable distance,,,,
1090,False,final unrefined borax,,,,
695,False,sander inspector call thereto attention contractor,,,,
1234,True,afraid reader ill long detain unpleasing smell self begin wake dearie vnworthie thing take pleasure leave well,,,,
